63.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
10:49:39.0 (302688)|USER_INFO|[EXTERNAL]|0051R00000JeE4n|truck.care.process@loves.com|(GMT-06:00) Central Standard Time (America/Chicago)|GMT-06:00
10:49:39.0 (388875)|EXECUTION_STARTED
10:49:39.0 (414052)|CODE_UNIT_STARTED|[EXTERNAL]|FutureHandler - state load
10:49:39.0 (2458260)|CODE_UNIT_FINISHED|FutureHandler - state load
10:49:39.0 (2486263)|EXECUTION_FINISHED
10:49:39.36 (36880344)|USER_INFO|[EXTERNAL]|0051R00000JeE4n|truck.care.process@loves.com|(GMT-06:00) Central Standard Time (America/Chicago)|GMT-06:00
10:49:39.36 (36900515)|EXECUTION_STARTED
10:49:39.36 (36928639)|CODE_UNIT_STARTED|[EXTERNAL]|01p3600000JZQWj|messageQueue_Util.publish(String, String, String, String, String, String)
10:49:39.36 (37075804)|HEAP_ALLOCATE|[95]|Bytes:3
10:49:39.36 (37164577)|HEAP_ALLOCATE|[100]|Bytes:152
10:49:39.36 (37177048)|HEAP_ALLOCATE|[417]|Bytes:408
10:49:39.36 (37187355)|HEAP_ALLOCATE|[430]|Bytes:408
10:49:39.36 (37206659)|HEAP_ALLOCATE|[317]|Bytes:6
10:49:39.36 (37225707)|VARIABLE_SCOPE_BEGIN|[18]|messageQueue_Util.HTTP_STATUS|String|false|true
10:49:39.36 (37230254)|VARIABLE_SCOPE_BEGIN|[19]|messageQueue_Util.HTTP_STATUS_CODE|Integer|false|true
10:49:39.36 (37234549)|VARIABLE_SCOPE_BEGIN|[13]|messageQueue_Util.RABBIT_ACTION|String|false|true
10:49:39.36 (37237940)|VARIABLE_SCOPE_BEGIN|[15]|messageQueue_Util.RABBIT_METHOD|String|false|true
10:49:39.36 (37241243)|VARIABLE_SCOPE_BEGIN|[14]|messageQueue_Util.RABBIT_ROUTING|String|false|true
10:49:39.36 (37244670)|VARIABLE_SCOPE_BEGIN|[12]|messageQueue_Util.RABBIT_TOPIC|String|false|true
10:49:39.36 (37248256)|VARIABLE_SCOPE_BEGIN|[11]|messageQueue_Util.RABBIT_TYPE|String|false|true
10:49:39.36 (37251736)|VARIABLE_SCOPE_BEGIN|[16]|messageQueue_Util.RABBIT_URL|String|false|true
10:49:39.36 (37255696)|VARIABLE_SCOPE_BEGIN|[20]|messageQueue_Util.settings|AppSettings|true|true
10:49:39.36 (37296378)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:26
10:49:39.36 (37299944)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
10:49:39.36 (37301964)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
10:49:39.36 (37369914)|VARIABLE_ASSIGNMENT|[EXTERNAL]|messageQueue_Util.HTTP_STATUS|"OK"
10:49:39.36 (37373861)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
10:49:39.36 (37379011)|VARIABLE_ASSIGNMENT|[EXTERNAL]|messageQueue_Util.RABBIT_ACTION|"publish"
10:49:39.36 (37381585)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:49:39.36 (37385086)|VARIABLE_ASSIGNMENT|[EXTERNAL]|messageQueue_Util.RABBIT_METHOD|"POST"
10:49:39.36 (37387394)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
10:49:39.36 (37391226)|VARIABLE_ASSIGNMENT|[EXTERNAL]|messageQueue_Util.RABBIT_ROUTING|"workorder_status"
10:49:39.36 (37393543)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:19
10:49:39.36 (37397394)|VARIABLE_ASSIGNMENT|[EXTERNAL]|messageQueue_Util.RABBIT_TOPIC|"tirecare_api_events"
10:49:39.36 (37399551)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
10:49:39.36 (37403568)|VARIABLE_ASSIGNMENT|[EXTERNAL]|messageQueue_Util.RABBIT_TYPE|"exchanges"
10:49:39.36 (37490589)|METHOD_ENTRY|[10]|01p3600000JZQWj|messageQueue_Util.messageQueue_Util()
10:49:39.36 (37495697)|STATEMENT_EXECUTE|[10]
10:49:39.36 (37499422)|STATEMENT_EXECUTE|[10]
10:49:39.36 (37500386)|STATEMENT_EXECUTE|[16]
10:49:39.36 (37502380)|HEAP_ALLOCATE|[16]|Bytes:17
10:49:39.36 (37507082)|HEAP_ALLOCATE|[16]|Bytes:6
10:49:39.36 (37509329)|HEAP_ALLOCATE|[16]|Bytes:1
10:49:39.36 (37523339)|HEAP_ALLOCATE|[16]|Bytes:59
10:49:39.36 (37532229)|VARIABLE_ASSIGNMENT|[16]|messageQueue_Util.RABBIT_URL|"callout:RabbitMQ/exc (39 more) ..."
10:49:39.36 (37534890)|STATEMENT_EXECUTE|[19]
10:49:39.36 (37540027)|HEAP_ALLOCATE|[19]|Bytes:4
10:49:39.36 (37546212)|VARIABLE_ASSIGNMENT|[19]|messageQueue_Util.HTTP_STATUS_CODE|200
10:49:39.36 (37548624)|STATEMENT_EXECUTE|[20]
10:49:39.36 (37550723)|HEAP_ALLOCATE|[20]|Bytes:29
10:49:39.36 (37553086)|HEAP_ALLOCATE|[20]|Bytes:44
10:49:39.36 (37563632)|METHOD_ENTRY|[11]|01pbV0000002xX3|AppSettings.AppSettings()
10:49:39.36 (37566419)|STATEMENT_EXECUTE|[11]
10:49:39.36 (37568146)|STATEMENT_EXECUTE|[11]
10:49:39.36 (37585008)|HEAP_ALLOCATE|[68]|Bytes:5
10:49:39.36 (37606269)|HEAP_ALLOCATE|[74]|Bytes:5
10:49:39.36 (37611181)|HEAP_ALLOCATE|[82]|Bytes:7
10:49:39.36 (39247709)|SYSTEM_MODE_ENTER|false
10:49:39.36 (39469396)|HEAP_ALLOCATE|[20]|Bytes:5
10:49:39.36 (39479252)|STATEMENT_EXECUTE|[131]
10:49:39.36 (39485129)|SYSTEM_MODE_EXIT|false
10:49:39.36 (39510206)|METHOD_EXIT|[11]|AppSettings
10:49:39.36 (39518605)|HEAP_ALLOCATE|[20]|Bytes:12
10:49:39.36 (39522717)|HEAP_ALLOCATE|[20]|Bytes:8
10:49:39.36 (39548029)|CONSTRUCTOR_ENTRY|[20]|01pbV0000002xX3|<init>(String)|AppSettings
10:49:39.36 (39574465)|VARIABLE_SCOPE_BEGIN|[16]|this|AppSettings|true|false
10:49:39.36 (39610430)|VARIABLE_ASSIGNMENT|[16]|this|{}|0x6a9ffda3
10:49:39.36 (39613643)|VARIABLE_SCOPE_BEGIN|[16]|applicationName|String|false|false
10:49:39.36 (39620267)|VARIABLE_ASSIGNMENT|[16]|applicationName|"RabbitMQ"
10:49:39.36 (39627846)|SYSTEM_MODE_ENTER|false
10:49:39.36 (39631497)|HEAP_ALLOCATE|[17]|Bytes:5
10:49:39.36 (39633946)|STATEMENT_EXECUTE|[11]
10:49:39.36 (39635810)|HEAP_ALLOCATE|[17]|Bytes:5
10:49:39.36 (39637345)|STATEMENT_EXECUTE|[12]
10:49:39.36 (39638429)|STATEMENT_EXECUTE|[13]
10:49:39.36 (39644366)|HEAP_ALLOCATE|[17]|Bytes:6
10:49:39.36 (42624929)|STATEMENT_EXECUTE|[16]
10:49:39.36 (42627784)|STATEMENT_EXECUTE|[17]
10:49:39.36 (42639749)|VARIABLE_ASSIGNMENT|[17]|this.applicationName|"RabbitMQ"|0x6a9ffda3
10:49:39.36 (42646709)|STATEMENT_EXECUTE|[18]
10:49:39.36 (42733624)|HEAP_ALLOCATE|[18]|Bytes:22
10:49:39.36 (42764599)|METHOD_ENTRY|[1]|01pbV0000000ZVh|ApplicationSettings_Util.ApplicationSettings_Util()
10:49:39.36 (42769490)|STATEMENT_EXECUTE|[1]
10:49:39.36 (42771827)|STATEMENT_EXECUTE|[1]
10:49:39.36 (42779213)|HEAP_ALLOCATE|[18]|Bytes:5
10:49:39.36 (42787889)|METHOD_EXIT|[1]|ApplicationSettings_Util
10:49:39.36 (42812379)|METHOD_ENTRY|[18]|01pbV0000000ZVh|ApplicationSettings_Util.getApplicationConfigurationsByAppName(String)
10:49:39.36 (42827578)|VARIABLE_SCOPE_BEGIN|[33]|applicationName|String|false|false
10:49:39.36 (42833789)|VARIABLE_ASSIGNMENT|[33]|applicationName|"RabbitMQ"
10:49:39.36 (42839724)|HEAP_ALLOCATE|[34]|Bytes:5
10:49:39.36 (42842798)|STATEMENT_EXECUTE|[33]
10:49:39.36 (42843769)|STATEMENT_EXECUTE|[34]
10:49:39.36 (42857056)|HEAP_ALLOCATE|[34]|Bytes:4
10:49:39.36 (42866778)|VARIABLE_SCOPE_BEGIN|[34]|applicationConfigMap|Map<String,String>|true|false
10:49:39.36 (42880426)|VARIABLE_ASSIGNMENT|[34]|applicationConfigMap|{}|0x6e726d1a
10:49:39.36 (42888432)|METHOD_ENTRY|[35]|01pbV0000000ZVh|ApplicationSettings_Util.getApplicationDefaultConfigurations(String)
10:49:39.36 (42894750)|VARIABLE_SCOPE_BEGIN|[65]|applicationName|String|false|false
10:49:39.36 (42899682)|VARIABLE_ASSIGNMENT|[65]|applicationName|"RabbitMQ"
10:49:39.36 (42903476)|HEAP_ALLOCATE|[66]|Bytes:5
10:49:39.36 (42905415)|STATEMENT_EXECUTE|[65]
10:49:39.36 (42906304)|STATEMENT_EXECUTE|[66]
10:49:39.36 (42908211)|HEAP_ALLOCATE|[66]|Bytes:380
10:49:39.36 (42914680)|HEAP_ALLOCATE|[66]|Bytes:4
10:49:39.36 (42918402)|HEAP_ALLOCATE|[66]|Bytes:7
10:49:39.36 (43815714)|SOQL_EXECUTE_BEGIN|[66]|Aggregations:0|SELECT Label, value__c, ApplicationSettings__c, ApplicationSettings__r.Label, ApplicationSettings__r.DeveloperName, ApplicationSettings__r.Active__c, ApplicationSettings__r.APIConsumer__r.Username__c FROM Application_Configuration__mdt WHERE (ApplicationSettings__r.Active__c = TRUE AND ApplicationSettings__r.MasterLabel = :tmpVar1 AND ApplicationSettings__r.APIConsumer__c = '')
10:49:39.36 (57294158)|SOQL_EXECUTE_EXPLAIN|[66]|No explain plan is available
10:49:39.36 (57319821)|SOQL_EXECUTE_END|[66]|Rows:1
10:49:39.36 (57337006)|LIMIT_USAGE|[66]|SOQL_ROWS|1|50000
10:49:39.36 (57360163)|HEAP_ALLOCATE|[66]|Bytes:8
10:49:39.36 (57378124)|HEAP_ALLOCATE|[66]|Bytes:232
10:49:39.36 (57468023)|HEAP_ALLOCATE|[66]|Bytes:8
10:49:39.36 (57491979)|METHOD_EXIT|[35]|01pbV0000000ZVh|ApplicationSettings_Util.getApplicationDefaultConfigurations(String)
10:49:39.36 (57535747)|SYSTEM_METHOD_ENTRY|[35]|List<Application_Configuration__mdt>.iterator()
10:49:39.36 (57613202)|SYSTEM_METHOD_EXIT|[35]|List<Application_Configuration__mdt>.iterator()
10:49:39.36 (57628046)|SYSTEM_METHOD_ENTRY|[35]|system.ListIterator.hasNext()
10:49:39.36 (57638470)|HEAP_ALLOCATE|[35]|Bytes:5
10:49:39.36 (57642496)|SYSTEM_METHOD_EXIT|[35]|system.ListIterator.hasNext()
10:49:39.36 (57663730)|HEAP_ALLOCATE|[35]|Bytes:24
10:49:39.36 (57672486)|VARIABLE_SCOPE_BEGIN|[35]|config|Application_Configuration__mdt|true|false
