63.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
10:49:08.0 (198017)|USER_INFO|[EXTERNAL]|0051R00000JeE4n|truck.care.process@loves.com|(GMT-06:00) Central Standard Time (America/Chicago)|GMT-06:00
10:49:08.0 (258041)|EXECUTION_STARTED
10:49:08.0 (276052)|CODE_UNIT_STARTED|[EXTERNAL]|FutureHandler - state load
10:49:08.0 (1861044)|CODE_UNIT_FINISHED|FutureHandler - state load
10:49:08.0 (1874766)|EXECUTION_FINISHED
10:49:08.26 (26830661)|USER_INFO|[EXTERNAL]|0051R00000JeE4n|truck.care.process@loves.com|(GMT-06:00) Central Standard Time (America/Chicago)|GMT-06:00
10:49:08.26 (26850404)|EXECUTION_STARTED
10:49:08.26 (26881221)|CODE_UNIT_STARTED|[EXTERNAL]|01p3600000JZQWj|messageQueue_Util.publish(String, String, String, String, String, String)
10:49:08.26 (27017582)|VARIABLE_SCOPE_BEGIN|[18]|messageQueue_Util.HTTP_STATUS|String|false|true
10:49:08.26 (27079558)|VARIABLE_SCOPE_BEGIN|[19]|messageQueue_Util.HTTP_STATUS_CODE|Integer|false|true
10:49:08.26 (27085110)|VARIABLE_SCOPE_BEGIN|[13]|messageQueue_Util.RABBIT_ACTION|String|false|true
10:49:08.26 (27089752)|VARIABLE_SCOPE_BEGIN|[15]|messageQueue_Util.RABBIT_METHOD|String|false|true
10:49:08.26 (27093924)|VARIABLE_SCOPE_BEGIN|[14]|messageQueue_Util.RABBIT_ROUTING|String|false|true
10:49:08.26 (27098902)|VARIABLE_SCOPE_BEGIN|[12]|messageQueue_Util.RABBIT_TOPIC|String|false|true
10:49:08.26 (27106582)|VARIABLE_SCOPE_BEGIN|[11]|messageQueue_Util.RABBIT_TYPE|String|false|true
10:49:08.26 (27111192)|VARIABLE_SCOPE_BEGIN|[16]|messageQueue_Util.RABBIT_URL|String|false|true
10:49:08.26 (27219118)|VARIABLE_SCOPE_BEGIN|[20]|messageQueue_Util.settings|AppSettings|true|true
