63.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
10:49:40.0 (301556)|USER_INFO|[EXTERNAL]|0051R00000JeE4n|truck.care.process@loves.com|(GMT-06:00) Central Standard Time (America/Chicago)|GMT-06:00
10:49:40.0 (396252)|EXECUTION_STARTED
10:49:40.0 (423312)|CODE_UNIT_STARTED|[EXTERNAL]|FutureHandler - state load
10:49:40.0 (3165542)|CODE_UNIT_FINISHED|FutureHandler - state load
10:49:40.0 (3193416)|EXECUTION_FINISHED
10:49:40.30 (30663570)|USER_INFO|[EXTERNAL]|0051R00000JeE4n|truck.care.process@loves.com|(GMT-06:00) Central Standard Time (America/Chicago)|GMT-06:00
10:49:40.30 (30688190)|EXECUTION_STARTED
10:49:40.30 (30722498)|CODE_UNIT_STARTED|[EXTERNAL]|01p3600000JZQWj|messageQueue_Util.publish(String, String, String, String, String, String)
10:49:40.30 (30882557)|VARIABLE_SCOPE_BEGIN|[18]|messageQueue_Util.HTTP_STATUS|String|false|true
10:49:40.30 (30963629)|VARIABLE_SCOPE_BEGIN|[19]|messageQueue_Util.HTTP_STATUS_CODE|Integer|false|true
10:49:40.30 (30972362)|VARIABLE_SCOPE_BEGIN|[13]|messageQueue_Util.RABBIT_ACTION|String|false|true
10:49:40.30 (30979354)|VARIABLE_SCOPE_BEGIN|[15]|messageQueue_Util.RABBIT_METHOD|String|false|true
10:49:40.30 (30986213)|VARIABLE_SCOPE_BEGIN|[14]|messageQueue_Util.RABBIT_ROUTING|String|false|true
10:49:40.30 (30993189)|VARIABLE_SCOPE_BEGIN|[12]|messageQueue_Util.RABBIT_TOPIC|String|false|true
10:49:40.30 (31000378)|VARIABLE_SCOPE_BEGIN|[11]|messageQueue_Util.RABBIT_TYPE|String|false|true
10:49:40.30 (31008009)|VARIABLE_SCOPE_BEGIN|[16]|messageQueue_Util.RABBIT_URL|String|false|true
10:49:40.30 (31153986)|VARIABLE_SCOPE_BEGIN|[20]|messageQueue_Util.settings|AppSettings|true|true
10:49:40.30 (31253328)|HEAP_ALLOCATE|[95]|Bytes:3
10:49:40.30 (31303053)|HEAP_ALLOCATE|[100]|Bytes:152
10:49:40.30 (31322375)|HEAP_ALLOCATE|[417]|Bytes:408
10:49:40.30 (31339352)|HEAP_ALLOCATE|[430]|Bytes:408
