66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
21:56:02.0 (225456)|USER_INFO|[EXTERNAL]|005360000036OeQ|victor.felisbino@loves.com.dev2|(GMT-06:00) Central Standard Time (America/Chicago)|GMT-06:00
21:56:02.0 (317127)|EXECUTION_STARTED
21:56:02.0 (338422)|CODE_UNIT_STARTED|[EXTERNAL]|apex://svc_Context/ACTION$getCaseContextValues
21:56:02.0 (5463575)|CODE_UNIT_STARTED|[EXTERNAL]|01p1R00000JXTnj|svc_Context.getCaseContextValues(String, String, String, String, Boolean)
21:56:02.0 (5783661)|HEAP_ALLOCATE|[95]|Bytes:3
21:56:02.0 (5867415)|HEAP_ALLOCATE|[100]|Bytes:152
21:56:02.0 (5882597)|HEAP_ALLOCATE|[417]|Bytes:408
21:56:02.0 (5893202)|HEAP_ALLOCATE|[430]|Bytes:408
21:56:02.0 (5913067)|HEAP_ALLOCATE|[317]|Bytes:6
21:56:02.0 (5923130)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
21:56:02.0 (5926163)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
21:56:02.0 (5936786)|METHOD_ENTRY|[24]|01p1R00000JXTnj|svc_Context.svc_Context()
21:56:02.0 (5941592)|STATEMENT_EXECUTE|[24]
21:56:02.0 (5946029)|STATEMENT_EXECUTE|[24]
21:56:02.0 (5949986)|METHOD_EXIT|[24]|svc_Context
21:56:02.0 (5952400)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
21:56:02.0 (5953944)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:17
21:56:02.0 (5955246)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
21:56:02.0 (5956565)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:17
21:56:02.0 (6158980)|HEAP_ALLOCATE|[68]|Bytes:5
