66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
21:56:01.0 (232261)|USER_INFO|[EXTERNAL]|005360000036OeQ|victor.felisbino@loves.com.dev2|(GMT-06:00) Central Standard Time (America/Chicago)|GMT-06:00
21:56:01.0 (303415)|EXECUTION_STARTED
21:56:01.0 (328236)|CODE_UNIT_STARTED|[EXTERNAL]|apex://com_Notes/ACTION$getMostRecentNote
21:56:01.0 (4320471)|CODE_UNIT_STARTED|[EXTERNAL]|01p3600000JX1Jb|com_Notes.getMostRecentNote(String, String, String, String)
21:56:01.0 (4654112)|HEAP_ALLOCATE|[95]|Bytes:3
21:56:01.0 (4721333)|HEAP_ALLOCATE|[100]|Bytes:152
21:56:01.0 (4731516)|HEAP_ALLOCATE|[417]|Bytes:408
21:56:01.0 (4741804)|HEAP_ALLOCATE|[430]|Bytes:408
21:56:01.0 (4760804)|HEAP_ALLOCATE|[317]|Bytes:6
21:56:01.0 (4770353)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
21:56:01.0 (4773379)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:15
21:56:01.0 (4775371)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:17
21:56:01.0 (4794095)|METHOD_ENTRY|[11]|01p3600000JX1Jb|com_Notes.com_Notes()
21:56:01.0 (4801364)|STATEMENT_EXECUTE|[11]
21:56:01.0 (4807619)|STATEMENT_EXECUTE|[11]
21:56:01.0 (4821565)|HEAP_ALLOCATE|[68]|Bytes:5
21:56:01.0 (4842459)|HEAP_ALLOCATE|[74]|Bytes:5
21:56:01.0 (4848296)|HEAP_ALLOCATE|[82]|Bytes:7
21:56:01.0 (4859228)|SYSTEM_MODE_ENTER|true
21:56:01.0 (4973263)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
21:56:01.0 (4977573)|STATEMENT_EXECUTE|[109]
21:56:01.0 (4978799)|STATEMENT_EXECUTE|[113]
21:56:01.0 (4983386)|SYSTEM_MODE_EXIT|true
21:56:01.0 (4994521)|METHOD_EXIT|[11]|com_Notes
21:56:01.0 (4998499)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
21:56:01.0 (5000361)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
21:56:01.0 (5002755)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
21:56:01.0 (5004589)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
21:56:01.0 (5022811)|VARIABLE_SCOPE_BEGIN|[13]|recordId|String|false|false
21:56:01.0 (5052454)|VARIABLE_ASSIGNMENT|[13]|recordId|"500WH00000R4iULYAZ"
21:56:01.0 (5055819)|VARIABLE_SCOPE_BEGIN|[13]|obj|String|false|false
21:56:01.0 (5060617)|VARIABLE_ASSIGNMENT|[13]|obj|"CaseComment"
21:56:01.0 (5063771)|VARIABLE_SCOPE_BEGIN|[13]|lookupField|String|false|false
21:56:01.0 (5068363)|VARIABLE_ASSIGNMENT|[13]|lookupField|"ParentId"
21:56:01.0 (5071159)|VARIABLE_SCOPE_BEGIN|[13]|commentField|String|false|false
21:56:01.0 (5075356)|VARIABLE_ASSIGNMENT|[13]|commentField|"CommentBody"
21:56:01.0 (5082528)|SYSTEM_MODE_ENTER|true
21:56:01.0 (5086234)|HEAP_ALLOCATE|[14]|Bytes:5
21:56:01.0 (5088975)|STATEMENT_EXECUTE|[13]
21:56:01.0 (5089946)|STATEMENT_EXECUTE|[14]
21:56:01.0 (5317720)|HEAP_ALLOCATE|[14]|Bytes:104
21:56:01.0 (5322204)|HEAP_ALLOCATE|[14]|Bytes:7
21:56:01.0 (5335087)|HEAP_ALLOCATE|[14]|Bytes:12
21:56:01.0 (5355645)|CONSTRUCTOR_ENTRY|[14]|01p3600000JX1Jb|<init>()|com_Notes.note
21:56:01.0 (5388142)|VARIABLE_SCOPE_BEGIN|[109]|this|com_Notes.note|true|false
21:56:01.0 (5531007)|VARIABLE_ASSIGNMENT|[109]|this|{}|0x571c04a
21:56:01.0 (5538079)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
21:56:01.0 (8351589)|STATEMENT_EXECUTE|[109]
21:56:01.0 (8355394)|STATEMENT_EXECUTE|[110]
21:56:01.0 (8356671)|STATEMENT_EXECUTE|[111]
21:56:01.0 (8383057)|CONSTRUCTOR_EXIT|[14]|01p3600000JX1Jb|<init>()|com_Notes.note
21:56:01.0 (8394627)|VARIABLE_SCOPE_BEGIN|[14]|n|com_Notes.note|true|false
21:56:01.0 (8429792)|VARIABLE_ASSIGNMENT|[14]|n|{}|0x571c04a
21:56:01.0 (8432983)|STATEMENT_EXECUTE|[15]
21:56:01.0 (8476945)|HEAP_ALLOCATE|[15]|Bytes:33
21:56:01.0 (8489771)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
21:56:01.0 (8492277)|STATEMENT_EXECUTE|[1]
21:56:01.0 (8498857)|SYSTEM_METHOD_EXIT|[1]|Type
21:56:01.0 (8517462)|METHOD_ENTRY|[15]||System.Type.forName(String)
21:56:01.0 (8754728)|METHOD_EXIT|[15]||System.Type.forName(String)
21:56:01.0 (8766291)|METHOD_ENTRY|[15]||System.Type.newInstance()
21:56:01.0 (9018209)|METHOD_EXIT|[15]||System.Type.newInstance()
21:56:01.0 (9049222)|SYSTEM_METHOD_ENTRY|[15]|SObject.getSObjectType()
21:56:01.0 (9066237)|SYSTEM_METHOD_EXIT|[15]|SObject.getSObjectType()
21:56:01.0 (9071329)|VARIABLE_SCOPE_BEGIN|[15]|objType|Schema.SObjectType|true|false
21:56:01.0 (9271731)|VARIABLE_ASSIGNMENT|[15]|objType|"common.apex.runtime.impl.ApexSObjectTypeToken@8a08d5a"|0x8a08d5a
21:56:01.0 (9277281)|STATEMENT_EXECUTE|[16]
21:56:01.0 (9278560)|STATEMENT_EXECUTE|[16]
21:56:01.0 (9279594)|STATEMENT_EXECUTE|[17]
21:56:01.0 (9283079)|HEAP_ALLOCATE|[17]|Bytes:34
21:56:01.0 (9294290)|HEAP_ALLOCATE|[17]|Bytes:45
21:56:01.0 (9298992)|VARIABLE_SCOPE_BEGIN|[17]|queryFields|String|false|false
21:56:01.0 (9308432)|VARIABLE_ASSIGNMENT|[17]|queryFields|"Id, createdbyid, las (25 more) ..."
21:56:01.0 (9310924)|STATEMENT_EXECUTE|[18]
21:56:01.0 (9409143)|HEAP_ALLOCATE|[18]|Bytes:4
21:56:01.0 (9454158)|SYSTEM_CONSTRUCTOR_ENTRY|[18]|<init>()
21:56:01.0 (9482857)|SYSTEM_CONSTRUCTOR_EXIT|[18]|<init>()
21:56:01.0 (9486791)|VARIABLE_SCOPE_BEGIN|[18]|queryConditions|List<QueryBuilder.Condition>|true|false
21:56:01.0 (9505448)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
21:56:01.0 (9516266)|VARIABLE_ASSIGNMENT|[18]|queryConditions|[]|0x447782ac
21:56:01.0 (9523843)|STATEMENT_EXECUTE|[19]
21:56:01.0 (9557943)|HEAP_ALLOCATE|[19]|Bytes:119
21:56:01.0 (9564564)|HEAP_ALLOCATE|[19]|Bytes:28
21:56:01.0 (9567474)|HEAP_ALLOCATE|[19]|Bytes:11
21:56:01.0 (9581961)|CONSTRUCTOR_ENTRY|[19]|01p1R00000K3rJn|<init>(String)|QueryBuilder.CompareCondition
21:56:01.0 (9596398)|VARIABLE_SCOPE_BEGIN|[1074]|this|QueryBuilder.CompareCondition|true|false
21:56:01.0 (9670028)|VARIABLE_ASSIGNMENT|[1074]|this|{}|0x422f699f
21:56:01.0 (9674413)|VARIABLE_SCOPE_BEGIN|[1074]|fieldName|String|false|false
21:56:01.0 (9680025)|VARIABLE_ASSIGNMENT|[1074]|fieldName|"CreatedById"
21:56:01.0 (9683873)|STATEMENT_EXECUTE|[1072]
21:56:01.0 (9685522)|STATEMENT_EXECUTE|[1075]
21:56:01.0 (9689058)|HEAP_ALLOCATE|[1075]|Bytes:14
21:56:01.0 (9696718)|CONSTRUCTOR_ENTRY|[1075]|01p1R00000K3rJn|<init>(String)|QueryBuilder.FieldCondition
21:56:01.0 (9706843)|VARIABLE_SCOPE_BEGIN|[1031]|this|QueryBuilder.FieldCondition|true|false
21:56:01.0 (9724543)|VARIABLE_ASSIGNMENT|[1031]|this|{}|0x422f699f
21:56:01.0 (9728403)|VARIABLE_SCOPE_BEGIN|[1031]|fieldName|String|false|false
21:56:01.0 (9732932)|VARIABLE_ASSIGNMENT|[1031]|fieldName|"CreatedById"
21:56:01.0 (9735753)|STATEMENT_EXECUTE|[1027]
