66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
21:56:02.0 (269935)|USER_INFO|[EXTERNAL]|005360000036OeQ|victor.felisbino@loves.com.dev2|(GMT-06:00) Central Standard Time (America/Chicago)|GMT-06:00
21:56:02.0 (340176)|EXECUTION_STARTED
21:56:02.0 (361242)|CODE_UNIT_STARTED|[EXTERNAL]|apex://loy_BaseController/ACTION$getHousehold
21:56:02.0 (5091871)|CODE_UNIT_STARTED|[EXTERNAL]|01p3600000JX5ep|loy_BaseController.getHousehold(String, Boolean)
21:56:02.0 (5235351)|VARIABLE_SCOPE_BEGIN|[15]|loy_BaseController.DISPLAY_OPTION|String|false|true
21:56:02.0 (5278144)|VARIABLE_SCOPE_BEGIN|[17]|loy_BaseController.GALLONS|String|false|true
21:56:02.0 (5282537)|VARIABLE_SCOPE_BEGIN|[16]|loy_BaseController.HIGHEST_TIER|String|false|true
21:56:02.0 (5289197)|VARIABLE_SCOPE_BEGIN|[18]|loy_BaseController.hasCombinedTiers|Boolean|false|true
21:56:02.0 (5385314)|VARIABLE_SCOPE_BEGIN|[19]|loy_BaseController.household|loy_Household|true|true
21:56:02.0 (5433752)|HEAP_ALLOCATE|[95]|Bytes:3
21:56:02.0 (5458292)|HEAP_ALLOCATE|[100]|Bytes:152
21:56:02.0 (5468052)|HEAP_ALLOCATE|[417]|Bytes:408
21:56:02.0 (5477841)|HEAP_ALLOCATE|[430]|Bytes:408
21:56:02.0 (5495161)|HEAP_ALLOCATE|[317]|Bytes:6
21:56:02.0 (5503967)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
21:56:02.0 (5507508)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:34
21:56:02.0 (5509527)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:25
21:56:02.0 (5562767)|VARIABLE_ASSIGNMENT|[EXTERNAL]|loy_BaseController.DISPLAY_OPTION|"Loyalty Details - Su (5 more) ..."
21:56:02.0 (5566032)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
21:56:02.0 (5571267)|VARIABLE_ASSIGNMENT|[EXTERNAL]|loy_BaseController.GALLONS|"Gallons"
21:56:02.0 (5573467)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
21:56:02.0 (5577314)|VARIABLE_ASSIGNMENT|[EXTERNAL]|loy_BaseController.HIGHEST_TIER|"Diamond"
21:56:02.0 (5594830)|METHOD_ENTRY|[14]|01p3600000JX5ep|loy_BaseController.loy_BaseController()
21:56:02.0 (5599122)|STATEMENT_EXECUTE|[14]
21:56:02.0 (5602441)|STATEMENT_EXECUTE|[14]
21:56:02.0 (5603464)|STATEMENT_EXECUTE|[18]
21:56:02.0 (5616312)|HEAP_ALLOCATE|[68]|Bytes:5
21:56:02.0 (5633467)|HEAP_ALLOCATE|[74]|Bytes:5
21:56:02.0 (5638074)|HEAP_ALLOCATE|[82]|Bytes:7
21:56:02.0 (5777899)|HEAP_ALLOCATE|[18]|Bytes:5
21:56:02.0 (5789539)|VARIABLE_ASSIGNMENT|[18]|loy_BaseController.hasCombinedTiers|false
21:56:02.0 (5797388)|METHOD_EXIT|[14]|loy_BaseController
21:56:02.0 (5805167)|VARIABLE_SCOPE_BEGIN|[23]|cardNumber|String|false|false
21:56:02.0 (5811072)|VARIABLE_ASSIGNMENT|[23]|cardNumber|null
21:56:02.0 (5813309)|VARIABLE_SCOPE_BEGIN|[23]|combineTiers|Boolean|false|false
21:56:02.0 (5816906)|VARIABLE_ASSIGNMENT|[23]|combineTiers|null
21:56:02.0 (5822072)|STATEMENT_EXECUTE|[23]
21:56:02.0 (5823137)|STATEMENT_EXECUTE|[24]
21:56:02.0 (5827963)|VARIABLE_ASSIGNMENT|[24]|loy_BaseController.hasCombinedTiers|null
21:56:02.0 (5829980)|STATEMENT_EXECUTE|[25]
21:56:02.0 (5831540)|HEAP_ALLOCATE|[25]|Bytes:24
21:56:02.0 (5842132)|HEAP_ALLOCATE|[25]|Bytes:28
21:56:02.0 (5844891)|VARIABLE_SCOPE_BEGIN|[25]|endpoint|String|false|false
21:56:02.0 (5852586)|VARIABLE_ASSIGNMENT|[25]|endpoint|"/Loyalty/api/Househo (8 more) ..."
21:56:02.0 (5854542)|STATEMENT_EXECUTE|[26]
21:56:02.0 (5855585)|HEAP_ALLOCATE|[26]|Bytes:13
21:56:02.0 (8335323)|VARIABLE_SCOPE_BEGIN|[17]|ServiceLog.Error_Message_MAX_SIZE|Integer|false|true
21:56:02.0 (8349741)|VARIABLE_SCOPE_BEGIN|[24]|ServiceLog.MAX_PAYLOAD_SIZE|Integer|false|true
21:56:02.0 (8353991)|VARIABLE_SCOPE_BEGIN|[21]|ServiceLog.RequestBody_MAX_SIZE|Integer|false|true
21:56:02.0 (8358086)|VARIABLE_SCOPE_BEGIN|[19]|ServiceLog.RequestHeaders_MAX_SIZE|Integer|false|true
21:56:02.0 (8362050)|VARIABLE_SCOPE_BEGIN|[20]|ServiceLog.RequestParameters_MAX_SIZE|Integer|false|true
21:56:02.0 (8366203)|VARIABLE_SCOPE_BEGIN|[18]|ServiceLog.RequestURI_MAX_SIZE|Integer|false|true
21:56:02.0 (8370212)|VARIABLE_SCOPE_BEGIN|[22]|ServiceLog.ResponseBody_MAX_SIZE|Integer|false|true
21:56:02.0 (8374103)|VARIABLE_SCOPE_BEGIN|[23]|ServiceLog.ResponseHeaders_MAX_SIZE|Integer|false|true
21:56:02.0 (8378272)|VARIABLE_SCOPE_BEGIN|[15]|ServiceLog.includeRequestBody|Boolean|false|true
21:56:02.0 (8383301)|VARIABLE_SCOPE_BEGIN|[13]|ServiceLog.log|ServiceLog|true|true
21:56:02.0 (8466611)|VARIABLE_SCOPE_BEGIN|[11]|ServiceLog.logList|List<Service_Log__c>|true|true
21:56:02.0 (8472428)|VARIABLE_SCOPE_BEGIN|[14]|ServiceLog.serviceLogName|String|false|true
21:56:02.0 (10302469)|VARIABLE_SCOPE_BEGIN|[9]|ServiceLog.settings|AppSettings|true|true
21:56:02.0 (10316372)|HEAP_ALLOCATE|[26]|Bytes:88
21:56:02.0 (10323005)|HEAP_ALLOCATE|[26]|Bytes:84
21:56:02.0 (10325191)|HEAP_ALLOCATE|[26]|Bytes:19
21:56:02.0 (10362704)|METHOD_ENTRY|[8]|01p3600000JZQWB|ServiceLog.ServiceLog()
21:56:02.0 (10367625)|STATEMENT_EXECUTE|[8]
21:56:02.0 (10370392)|STATEMENT_EXECUTE|[8]
21:56:02.0 (10377031)|SYSTEM_MODE_ENTER|true
21:56:02.0 (10384224)|HEAP_ALLOCATE|[9]|Bytes:5
21:56:02.0 (10386894)|STATEMENT_EXECUTE|[9]
21:56:02.0 (10389275)|HEAP_ALLOCATE|[9]|Bytes:29
21:56:02.0 (10391435)|HEAP_ALLOCATE|[9]|Bytes:44
21:56:02.0 (10405669)|METHOD_ENTRY|[11]|01pbV0000002xX3|AppSettings.AppSettings()
21:56:02.0 (10408139)|STATEMENT_EXECUTE|[11]
21:56:02.0 (10409739)|STATEMENT_EXECUTE|[11]
21:56:02.0 (10412954)|SYSTEM_MODE_ENTER|false
21:56:02.0 (10414924)|HEAP_ALLOCATE|[9]|Bytes:5
21:56:02.0 (10416638)|STATEMENT_EXECUTE|[131]
21:56:02.0 (10421889)|SYSTEM_MODE_EXIT|false
21:56:02.0 (10430150)|METHOD_EXIT|[11]|AppSettings
21:56:02.0 (10446944)|HEAP_ALLOCATE|[9]|Bytes:12
21:56:02.0 (10450356)|HEAP_ALLOCATE|[9]|Bytes:10
21:56:02.0 (10464874)|CONSTRUCTOR_ENTRY|[9]|01pbV0000002xX3|<init>(String)|AppSettings
21:56:02.0 (10489781)|VARIABLE_SCOPE_BEGIN|[16]|this|AppSettings|true|false
21:56:02.0 (10531449)|VARIABLE_ASSIGNMENT|[16]|this|{}|0x37e9403
21:56:02.0 (10535020)|VARIABLE_SCOPE_BEGIN|[16]|applicationName|String|false|false
21:56:02.0 (10542055)|VARIABLE_ASSIGNMENT|[16]|applicationName|"ServiceLog"
21:56:02.0 (10546776)|SYSTEM_MODE_ENTER|false
21:56:02.0 (10549337)|HEAP_ALLOCATE|[17]|Bytes:5
21:56:02.0 (10551349)|STATEMENT_EXECUTE|[11]
21:56:02.0 (10553079)|HEAP_ALLOCATE|[17]|Bytes:5
21:56:02.0 (10554528)|STATEMENT_EXECUTE|[12]
21:56:02.0 (10555387)|STATEMENT_EXECUTE|[13]
21:56:02.0 (10559884)|HEAP_ALLOCATE|[17]|Bytes:6
21:56:02.0 (14438854)|STATEMENT_EXECUTE|[16]
21:56:02.0 (14442280)|STATEMENT_EXECUTE|[17]
21:56:02.0 (14461132)|VARIABLE_ASSIGNMENT|[17]|this.applicationName|"ServiceLog"|0x37e9403
21:56:02.0 (14470579)|STATEMENT_EXECUTE|[18]
21:56:02.0 (16228532)|HEAP_ALLOCATE|[18]|Bytes:22
21:56:02.0 (16274885)|METHOD_ENTRY|[1]|01pbV0000000ZVh|ApplicationSettings_Util.ApplicationSettings_Util()
21:56:02.0 (16280262)|STATEMENT_EXECUTE|[1]
21:56:02.0 (16283404)|STATEMENT_EXECUTE|[1]
21:56:02.0 (16289710)|HEAP_ALLOCATE|[18]|Bytes:5
21:56:02.0 (16299519)|METHOD_EXIT|[1]|ApplicationSettings_Util
21:56:02.0 (16334470)|METHOD_ENTRY|[18]|01pbV0000000ZVh|ApplicationSettings_Util.getApplicationConfigurationsByAppName(String)
21:56:02.0 (16376733)|VARIABLE_SCOPE_BEGIN|[33]|applicationName|String|false|false
21:56:02.0 (16386984)|VARIABLE_ASSIGNMENT|[33]|applicationName|"ServiceLog"
21:56:02.0 (16392744)|HEAP_ALLOCATE|[34]|Bytes:5
21:56:02.0 (16395645)|STATEMENT_EXECUTE|[33]
21:56:02.0 (16396535)|STATEMENT_EXECUTE|[34]
21:56:02.0 (16405013)|HEAP_ALLOCATE|[34]|Bytes:4
21:56:02.0 (16413072)|VARIABLE_SCOPE_BEGIN|[34]|applicationConfigMap|Map<String,String>|true|false
