66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
21:56:02.0 (894128)|USER_INFO|[EXTERNAL]|005360000036OeQ|victor.felisbino@loves.com.dev2|(GMT-06:00) Central Standard Time (America/Chicago)|GMT-06:00
21:56:02.0 (968468)|EXECUTION_STARTED
21:56:02.0 (991070)|CODE_UNIT_STARTED|[EXTERNAL]|apex://svc_CauseAndResolution/ACTION$lookupValues
21:56:02.0 (6000118)|CODE_UNIT_STARTED|[EXTERNAL]|01p1R00000JXU9D|svc_CauseAndResolution.lookupValues(String, String, String, String)
21:56:02.0 (8175182)|HEAP_ALLOCATE|[95]|Bytes:3
21:56:02.0 (8280555)|HEAP_ALLOCATE|[100]|Bytes:152
21:56:02.0 (8297266)|HEAP_ALLOCATE|[417]|Bytes:408
21:56:02.0 (8313733)|HEAP_ALLOCATE|[430]|Bytes:408
21:56:02.0 (8342946)|HEAP_ALLOCATE|[317]|Bytes:6
21:56:02.0 (8359041)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
21:56:02.0 (8363733)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
21:56:02.0 (8392290)|METHOD_ENTRY|[12]|01p1R00000JXU9D|svc_CauseAndResolution.svc_CauseAndResolution()
21:56:02.0 (8403149)|STATEMENT_EXECUTE|[12]
21:56:02.0 (8410011)|STATEMENT_EXECUTE|[12]
21:56:02.0 (8411810)|STATEMENT_EXECUTE|[29]
21:56:02.0 (8419812)|METHOD_EXIT|[12]|svc_CauseAndResolution
21:56:02.0 (8424750)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
21:56:02.0 (8428133)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:17
21:56:02.0 (8431107)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
21:56:02.0 (8434120)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:17
21:56:02.0 (8463668)|VARIABLE_SCOPE_BEGIN|[14]|recordTypeName|String|false|false
