66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:38:52.1 (1940071)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:38:52.1 (2050148)|EXECUTION_STARTED
22:38:52.1 (2148674)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:38:52.1 (2580582)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:38:52.1 (3428551)|HEAP_ALLOCATE|[95]|Bytes:3
22:38:52.1 (3531129)|HEAP_ALLOCATE|[100]|Bytes:152
22:38:52.1 (3610568)|HEAP_ALLOCATE|[417]|Bytes:408
22:38:52.1 (3654558)|HEAP_ALLOCATE|[430]|Bytes:408
22:38:52.1 (3715818)|HEAP_ALLOCATE|[317]|Bytes:6
22:38:52.1 (3740615)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:38:52.1 (3788554)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:38:52.1 (4794749)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x7827a5e1
22:38:52.1 (4931755)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:38:52.1 (4969942)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:38:52.1 (5037408)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x7827a5e1
22:38:52.1 (5058263)|STATEMENT_EXECUTE|[12]
22:38:52.1 (5064009)|STATEMENT_EXECUTE|[13]
22:38:52.1 (5082470)|HEAP_ALLOCATE|[13]|Bytes:4
22:38:52.1 (5426431)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:38:52.1 (5514999)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:38:52.1 (5567379)|HEAP_ALLOCATE|[68]|Bytes:5
22:38:52.1 (5625312)|HEAP_ALLOCATE|[74]|Bytes:5
22:38:52.1 (5645895)|HEAP_ALLOCATE|[82]|Bytes:7
22:38:52.1 (5868484)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:38:52.1 (5958900)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x7827a5e1
22:38:52.1 (6125878)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:38:52.1 (6488208)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:38:52.1 (6520357)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:38:52.1 (6546048)|HEAP_ALLOCATE|[16]|Bytes:5
22:38:52.1 (6567401)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:38:52.1 (6623647)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:38:52.1 (7110843)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (3327 more) ...","ReplayId":"28143409","EventUuid":"55a3902d-54d9-4a75-b (16 more) ...","CreatedDate":"2026-02-22T06:38:52.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5NxEAI"}|0xcabd1f4
22:38:52.1 (7145880)|STATEMENT_EXECUTE|[16]
22:38:52.1 (7152312)|STATEMENT_EXECUTE|[17]
22:38:52.1 (7221776)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:38:52.1 (7256273)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:38:52.1 (7297490)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
