66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:38:56.1 (1006696)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:38:56.1 (1090985)|EXECUTION_STARTED
22:38:56.1 (1114143)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:38:56.1 (1192829)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:38:56.1 (1894436)|HEAP_ALLOCATE|[95]|Bytes:3
22:38:56.1 (1963417)|HEAP_ALLOCATE|[100]|Bytes:152
22:38:56.1 (1978138)|HEAP_ALLOCATE|[417]|Bytes:408
22:38:56.1 (1990182)|HEAP_ALLOCATE|[430]|Bytes:408
22:38:56.1 (2014043)|HEAP_ALLOCATE|[317]|Bytes:6
22:38:56.1 (2034307)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:38:56.1 (2062502)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:38:56.1 (2224327)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x2bf415ed
22:38:56.1 (2295979)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:38:56.1 (2306700)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:38:56.1 (2363358)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x2bf415ed
22:38:56.1 (2372844)|STATEMENT_EXECUTE|[12]
22:38:56.1 (2374405)|STATEMENT_EXECUTE|[13]
22:38:56.1 (2518823)|HEAP_ALLOCATE|[13]|Bytes:4
22:38:56.1 (2589303)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:38:56.1 (2627464)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:38:56.1 (2657181)|HEAP_ALLOCATE|[68]|Bytes:5
