66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:38:57.0 (965550)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:38:57.0 (1049111)|EXECUTION_STARTED
22:38:57.0 (1076918)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:38:57.0 (1150745)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:38:57.0 (2095470)|HEAP_ALLOCATE|[95]|Bytes:3
22:38:57.0 (2154860)|HEAP_ALLOCATE|[100]|Bytes:152
22:38:57.0 (2170153)|HEAP_ALLOCATE|[417]|Bytes:408
22:38:57.0 (2182049)|HEAP_ALLOCATE|[430]|Bytes:408
22:38:57.0 (2204709)|HEAP_ALLOCATE|[317]|Bytes:6
22:38:57.0 (2224387)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:38:57.0 (2249094)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:38:57.0 (2398499)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x71f0b2db
22:38:57.0 (2435046)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:38:57.0 (2462348)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:38:57.0 (2488830)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x71f0b2db
22:38:57.0 (2497247)|STATEMENT_EXECUTE|[12]
22:38:57.0 (2498710)|STATEMENT_EXECUTE|[13]
22:38:57.0 (2649017)|HEAP_ALLOCATE|[13]|Bytes:4
22:38:57.0 (2746258)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:38:57.0 (2781810)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:38:57.0 (2804840)|HEAP_ALLOCATE|[68]|Bytes:5
22:38:57.0 (2845336)|HEAP_ALLOCATE|[74]|Bytes:5
22:38:57.0 (2871389)|HEAP_ALLOCATE|[82]|Bytes:7
22:38:57.0 (3087693)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:38:57.0 (3121693)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x71f0b2db
22:38:57.0 (3259025)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:38:57.0 (3387034)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:38:57.0 (3413657)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
