66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:39:00.1 (1221143)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:39:00.1 (1333811)|EXECUTION_STARTED
22:39:00.1 (1367398)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:39:00.1 (1453615)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:00.1 (2346165)|HEAP_ALLOCATE|[95]|Bytes:3
22:39:00.1 (2411884)|HEAP_ALLOCATE|[100]|Bytes:152
22:39:00.1 (2426461)|HEAP_ALLOCATE|[417]|Bytes:408
22:39:00.1 (2444033)|HEAP_ALLOCATE|[430]|Bytes:408
22:39:00.1 (2470716)|HEAP_ALLOCATE|[317]|Bytes:6
22:39:00.1 (2492344)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:00.1 (2539884)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:00.1 (2760633)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x12078120
22:39:00.1 (2818872)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:00.1 (2851028)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:00.1 (2878195)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x12078120
22:39:00.1 (2895276)|STATEMENT_EXECUTE|[12]
22:39:00.1 (2896974)|STATEMENT_EXECUTE|[13]
22:39:00.1 (3045881)|HEAP_ALLOCATE|[13]|Bytes:4
22:39:00.1 (3124606)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:39:00.1 (3165035)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:39:00.1 (3192699)|HEAP_ALLOCATE|[68]|Bytes:5
22:39:00.1 (3263371)|HEAP_ALLOCATE|[74]|Bytes:5
22:39:00.1 (3282041)|HEAP_ALLOCATE|[82]|Bytes:7
22:39:00.1 (3497884)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:00.1 (3544335)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x12078120
22:39:00.1 (3735326)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:39:00.1 (3873021)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:39:00.1 (3924728)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:00.1 (3945601)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:00.1 (3990670)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:00.1 (4059980)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:39:00.1 (4310992)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (3327 more) ...","ReplayId":"28143566","EventUuid":"18e1446d-71ec-4c3e-b (16 more) ...","CreatedDate":"2026-02-22T06:39:00.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5QUEAY"}|0x113f6655
22:39:00.1 (4324077)|STATEMENT_EXECUTE|[16]
22:39:00.1 (4326286)|STATEMENT_EXECUTE|[17]
22:39:00.1 (4416664)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:39:00.1 (4451730)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:39:00.1 (4482695)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
22:39:00.1 (4503443)|VARIABLE_ASSIGNMENT|[17]|log|"{\"attributes\":{\"type (3327 more) ..."
22:39:00.1 (4507231)|STATEMENT_EXECUTE|[18]
22:39:00.1 (4511873)|HEAP_ALLOCATE|[18]|Bytes:40
22:39:00.1 (4644598)|HEAP_ALLOCATE|[18]|Bytes:33
22:39:00.1 (4677388)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
22:39:00.1 (4681875)|STATEMENT_EXECUTE|[1]
22:39:00.1 (4697273)|SYSTEM_METHOD_EXIT|[1]|Type
22:39:00.1 (4704215)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:00.1 (4725078)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:00.1 (4756271)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
22:39:00.1 (4843490)|VARIABLE_ASSIGNMENT|[4]|this|{}|0xee04c52
22:39:00.1 (4851643)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
22:39:00.1 (5027662)|VARIABLE_ASSIGNMENT|[4]|apextype|"Service_Log__c"|0x4ecf745f
22:39:00.1 (7650649)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:00.1 (7721195)|HEAP_ALLOCATE|[18]|Bytes:24
22:39:00.1 (7743946)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
22:39:00.1 (7751173)|STATEMENT_EXECUTE|[1]
22:39:00.1 (7762124)|SYSTEM_METHOD_EXIT|[1]|JSON
22:39:00.1 (7792391)|METHOD_ENTRY|[18]||System.JSON.deserializeStrict(String, System.Type)
22:39:00.1 (8810996)|METHOD_EXIT|[18]||System.JSON.deserializeStrict(String, System.Type)
22:39:00.1 (8837359)|VARIABLE_SCOPE_BEGIN|[18]|newLog|Service_Log__c|true|false
22:39:00.1 (9036833)|VARIABLE_ASSIGNMENT|[18]|newLog|{"Service_Name__c":"Google Maps - Get La (5 more) ...","Method__c":"GET","Direction__c":"Outbound","Service_Start__c":"2026-02-22T06:39:00.545Z","Category__c":"Google Maps","RequestBody__c":"","ResponseBody__c":"{\n   \"results\" : \n   (2445 more) ...","attributes":{"type":"Service_Log__c"},"Service_End__c":"2026-02-22T06:39:00.607Z","RequestURI__c":"callout:GoogleMaps/g (111 more) ...","ResponseStatusCode__c":200.0,"ResponseHeaders__c":"(Alt-Svc, Server, Ac (143 more) ..."}|0x5fd43b2b
22:39:00.1 (9052928)|STATEMENT_EXECUTE|[19]
22:39:00.1 (9108366)|HEAP_ALLOCATE|[19]|Bytes:4
22:39:00.1 (9273625)|HEAP_ALLOCATE|[19]|Bytes:-4
22:39:00.1 (9344525)|VARIABLE_ASSIGNMENT|[19]|this.OwnerId|"00536000006CafHAAS"|0x5fd43b2b
22:39:00.1 (9352693)|STATEMENT_EXECUTE|[20]
22:39:00.1 (9420884)|SYSTEM_METHOD_ENTRY|[20]|List<Service_Log__c>.add(Object)
22:39:00.1 (9455373)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:00.1 (9468486)|SYSTEM_METHOD_EXIT|[20]|List<Service_Log__c>.add(Object)
22:39:00.1 (9482266)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:00.1 (9494982)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:00.1 (9507646)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:00.1 (9532529)|VARIABLE_ASSIGNMENT|[16]|evt|null|
22:39:00.1 (9549145)|SYSTEM_METHOD_ENTRY|[23]|List<Service_Log__c>.isEmpty()
22:39:00.1 (9564916)|SYSTEM_METHOD_EXIT|[23]|List<Service_Log__c>.isEmpty()
22:39:00.1 (9572617)|STATEMENT_EXECUTE|[23]
22:39:00.1 (9574657)|STATEMENT_EXECUTE|[24]
22:39:00.1 (9695260)|VARIABLE_SCOPE_BEGIN|[17]|ServiceLog.Error_Message_MAX_SIZE|Integer|false|true
22:39:00.1 (9712454)|VARIABLE_SCOPE_BEGIN|[24]|ServiceLog.MAX_PAYLOAD_SIZE|Integer|false|true
22:39:00.1 (9718767)|VARIABLE_SCOPE_BEGIN|[21]|ServiceLog.RequestBody_MAX_SIZE|Integer|false|true
22:39:00.1 (9724475)|VARIABLE_SCOPE_BEGIN|[19]|ServiceLog.RequestHeaders_MAX_SIZE|Integer|false|true
22:39:00.1 (9730131)|VARIABLE_SCOPE_BEGIN|[20]|ServiceLog.RequestParameters_MAX_SIZE|Integer|false|true
22:39:00.1 (9735822)|VARIABLE_SCOPE_BEGIN|[18]|ServiceLog.RequestURI_MAX_SIZE|Integer|false|true
22:39:00.1 (9741819)|VARIABLE_SCOPE_BEGIN|[22]|ServiceLog.ResponseBody_MAX_SIZE|Integer|false|true
22:39:00.1 (9747629)|VARIABLE_SCOPE_BEGIN|[23]|ServiceLog.ResponseHeaders_MAX_SIZE|Integer|false|true
22:39:00.1 (9752891)|VARIABLE_SCOPE_BEGIN|[15]|ServiceLog.includeRequestBody|Boolean|false|true
22:39:00.1 (9758237)|VARIABLE_SCOPE_BEGIN|[13]|ServiceLog.log|ServiceLog|true|true
22:39:00.1 (9775436)|VARIABLE_SCOPE_BEGIN|[11]|ServiceLog.logList|List<Service_Log__c>|true|true
22:39:00.1 (9782203)|VARIABLE_SCOPE_BEGIN|[14]|ServiceLog.serviceLogName|String|false|true
22:39:00.1 (9790131)|VARIABLE_SCOPE_BEGIN|[9]|ServiceLog.settings|AppSettings|true|true
22:39:00.1 (9804543)|HEAP_ALLOCATE|[24]|Bytes:88
22:39:00.1 (9811654)|HEAP_ALLOCATE|[24]|Bytes:84
22:39:00.1 (9814819)|HEAP_ALLOCATE|[24]|Bytes:19
22:39:00.1 (9871185)|METHOD_ENTRY|[8]|01p3600000JZQWB|ServiceLog.ServiceLog()
22:39:00.1 (9876660)|STATEMENT_EXECUTE|[8]
22:39:00.1 (9881082)|STATEMENT_EXECUTE|[8]
22:39:00.1 (9891785)|HEAP_ALLOCATE|[9]|Bytes:5
22:39:00.1 (9896274)|STATEMENT_EXECUTE|[9]
22:39:00.1 (9903040)|HEAP_ALLOCATE|[9]|Bytes:29
22:39:00.1 (9907279)|HEAP_ALLOCATE|[9]|Bytes:44
22:39:00.1 (9914305)|METHOD_ENTRY|[11]|01pbV0000002xX3|AppSettings.AppSettings()
22:39:00.1 (9917200)|STATEMENT_EXECUTE|[11]
22:39:00.1 (9919400)|STATEMENT_EXECUTE|[11]
22:39:00.1 (11103099)|SYSTEM_MODE_ENTER|false
22:39:00.1 (11123815)|HEAP_ALLOCATE|[9]|Bytes:5
22:39:00.1 (11133522)|STATEMENT_EXECUTE|[131]
22:39:00.1 (11142021)|SYSTEM_MODE_EXIT|false
22:39:00.1 (11160798)|METHOD_EXIT|[11]|AppSettings
22:39:00.1 (11168573)|HEAP_ALLOCATE|[9]|Bytes:12
22:39:00.1 (11174579)|HEAP_ALLOCATE|[9]|Bytes:10
22:39:00.1 (11201657)|CONSTRUCTOR_ENTRY|[9]|01pbV0000002xX3|<init>(String)|AppSettings
22:39:00.1 (11235913)|VARIABLE_SCOPE_BEGIN|[16]|this|AppSettings|true|false
22:39:00.1 (11332805)|VARIABLE_ASSIGNMENT|[16]|this|{}|0x1d829fc1
22:39:00.1 (11341034)|VARIABLE_SCOPE_BEGIN|[16]|applicationName|String|false|false
22:39:00.1 (11358124)|VARIABLE_ASSIGNMENT|[16]|applicationName|"ServiceLog"
22:39:00.1 (11373782)|SYSTEM_MODE_ENTER|false
22:39:00.1 (11381687)|HEAP_ALLOCATE|[17]|Bytes:5
22:39:00.1 (11387474)|STATEMENT_EXECUTE|[11]
22:39:00.1 (11390567)|HEAP_ALLOCATE|[17]|Bytes:5
22:39:00.1 (11394258)|STATEMENT_EXECUTE|[12]
22:39:00.1 (11396064)|STATEMENT_EXECUTE|[13]
22:39:00.1 (11423373)|STATEMENT_EXECUTE|[16]
22:39:00.1 (11425316)|STATEMENT_EXECUTE|[17]
22:39:00.1 (11447872)|VARIABLE_ASSIGNMENT|[17]|this.applicationName|"ServiceLog"|0x1d829fc1
22:39:00.1 (11453559)|STATEMENT_EXECUTE|[18]
22:39:00.1 (11554156)|HEAP_ALLOCATE|[18]|Bytes:22
22:39:00.1 (11571178)|METHOD_ENTRY|[1]|01pbV0000000ZVh|ApplicationSettings_Util.ApplicationSettings_Util()
22:39:00.1 (11575528)|STATEMENT_EXECUTE|[1]
22:39:00.1 (11579483)|STATEMENT_EXECUTE|[1]
22:39:00.1 (11584345)|HEAP_ALLOCATE|[18]|Bytes:5
22:39:00.1 (11593979)|METHOD_EXIT|[1]|ApplicationSettings_Util
22:39:00.1 (11613266)|METHOD_ENTRY|[18]|01pbV0000000ZVh|ApplicationSettings_Util.getApplicationConfigurationsByAppName(String)
22:39:00.1 (11634995)|VARIABLE_SCOPE_BEGIN|[33]|applicationName|String|false|false
22:39:00.1 (11647833)|VARIABLE_ASSIGNMENT|[33]|applicationName|"ServiceLog"
22:39:00.1 (11654344)|HEAP_ALLOCATE|[34]|Bytes:5
22:39:00.1 (11659192)|STATEMENT_EXECUTE|[33]
22:39:00.1 (11660429)|STATEMENT_EXECUTE|[34]
22:39:00.1 (11679340)|HEAP_ALLOCATE|[34]|Bytes:4
22:39:00.1 (11692944)|VARIABLE_SCOPE_BEGIN|[34]|applicationConfigMap|Map<String,String>|true|false
22:39:00.1 (11733133)|VARIABLE_ASSIGNMENT|[34]|applicationConfigMap|{}|0x2ca035cb
22:39:00.1 (11744457)|METHOD_ENTRY|[35]|01pbV0000000ZVh|ApplicationSettings_Util.getApplicationDefaultConfigurations(String)
22:39:00.1 (11755299)|VARIABLE_SCOPE_BEGIN|[65]|applicationName|String|false|false
22:39:00.1 (11763478)|VARIABLE_ASSIGNMENT|[65]|applicationName|"ServiceLog"
22:39:00.1 (11768706)|HEAP_ALLOCATE|[66]|Bytes:5
22:39:00.1 (11772166)|STATEMENT_EXECUTE|[65]
22:39:00.1 (11773419)|STATEMENT_EXECUTE|[66]
