66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:39:02.1 (1016983)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:39:02.1 (1095320)|EXECUTION_STARTED
22:39:02.1 (1121826)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:39:02.1 (1192559)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:02.1 (2050574)|HEAP_ALLOCATE|[95]|Bytes:3
22:39:02.1 (2105907)|HEAP_ALLOCATE|[100]|Bytes:152
22:39:02.1 (2120095)|HEAP_ALLOCATE|[417]|Bytes:408
22:39:02.1 (2132045)|HEAP_ALLOCATE|[430]|Bytes:408
22:39:02.1 (2153143)|HEAP_ALLOCATE|[317]|Bytes:6
22:39:02.1 (2171085)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:02.1 (2185670)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:02.1 (2339268)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x3def88b6
22:39:02.1 (2376170)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:02.1 (2384220)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:02.1 (2406846)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x3def88b6
22:39:02.1 (2414565)|STATEMENT_EXECUTE|[12]
22:39:02.1 (2416628)|STATEMENT_EXECUTE|[13]
22:39:02.1 (2522001)|HEAP_ALLOCATE|[13]|Bytes:4
22:39:02.1 (2587452)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:39:02.1 (2619950)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:39:02.1 (2643786)|HEAP_ALLOCATE|[68]|Bytes:5
22:39:02.1 (2673340)|HEAP_ALLOCATE|[74]|Bytes:5
22:39:02.1 (2682181)|HEAP_ALLOCATE|[82]|Bytes:7
22:39:02.1 (2858752)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:02.1 (2892987)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x3def88b6
22:39:02.1 (3006800)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:39:02.1 (3122211)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:39:02.1 (3141258)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:02.1 (3152863)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:02.1 (3201544)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:02.1 (3256397)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:39:02.1 (3483819)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (17981 more) ...","ReplayId":"28143569","EventUuid":"dec9b866-ff02-4019-8 (16 more) ...","CreatedDate":"2026-02-22T06:39:01.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5QXEAY"}|0x5c0f31c
22:39:02.1 (3493227)|STATEMENT_EXECUTE|[16]
22:39:02.1 (3494925)|STATEMENT_EXECUTE|[17]
22:39:02.1 (3560274)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:39:02.1 (3582804)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
