66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:39:05.0 (950518)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:39:05.0 (1057332)|EXECUTION_STARTED
22:39:05.0 (1080821)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:39:05.0 (1140397)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:05.0 (1806887)|HEAP_ALLOCATE|[95]|Bytes:3
22:39:05.0 (1845553)|HEAP_ALLOCATE|[100]|Bytes:152
22:39:05.0 (1857675)|HEAP_ALLOCATE|[417]|Bytes:408
22:39:05.0 (1869158)|HEAP_ALLOCATE|[430]|Bytes:408
22:39:05.0 (1891291)|HEAP_ALLOCATE|[317]|Bytes:6
22:39:05.0 (1908495)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:05.0 (1923431)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:05.0 (2095695)|VARIABLE_ASSIGNMENT|[12]|this|{}|0xc20d05d
22:39:05.0 (2156930)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:05.0 (2167484)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:05.0 (2214237)|VARIABLE_ASSIGNMENT|[12]|this|{}|0xc20d05d
22:39:05.0 (2220290)|STATEMENT_EXECUTE|[12]
22:39:05.0 (2221295)|STATEMENT_EXECUTE|[13]
22:39:05.0 (2336936)|HEAP_ALLOCATE|[13]|Bytes:4
22:39:05.0 (2387992)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:39:05.0 (2419692)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:39:05.0 (2438946)|HEAP_ALLOCATE|[68]|Bytes:5
22:39:05.0 (2482372)|HEAP_ALLOCATE|[74]|Bytes:5
22:39:05.0 (2488908)|HEAP_ALLOCATE|[82]|Bytes:7
22:39:05.0 (2660924)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
