66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:39:06.0 (723098)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:39:06.0 (797536)|EXECUTION_STARTED
22:39:06.0 (820853)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:39:06.0 (889428)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:06.0 (1596355)|HEAP_ALLOCATE|[95]|Bytes:3
22:39:06.0 (1651133)|HEAP_ALLOCATE|[100]|Bytes:152
22:39:06.0 (1666994)|HEAP_ALLOCATE|[417]|Bytes:408
22:39:06.0 (1682182)|HEAP_ALLOCATE|[430]|Bytes:408
22:39:06.0 (1710950)|HEAP_ALLOCATE|[317]|Bytes:6
22:39:06.0 (1733441)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:06.0 (1739312)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:06.0 (1898304)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x586c33ec
22:39:06.0 (1934449)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:06.0 (1938453)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:06.0 (1954175)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x586c33ec
22:39:06.0 (1960558)|STATEMENT_EXECUTE|[12]
22:39:06.0 (1961950)|STATEMENT_EXECUTE|[13]
22:39:06.0 (2102749)|HEAP_ALLOCATE|[13]|Bytes:4
22:39:06.0 (2177167)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:39:06.0 (2210148)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:39:06.0 (2234457)|HEAP_ALLOCATE|[68]|Bytes:5
22:39:06.0 (2261961)|HEAP_ALLOCATE|[74]|Bytes:5
22:39:06.0 (2269163)|HEAP_ALLOCATE|[82]|Bytes:7
22:39:06.0 (2460646)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:06.0 (2495029)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x586c33ec
22:39:06.0 (2606471)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:39:06.0 (2714793)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:39:06.0 (2731508)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:06.0 (2744375)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:06.0 (2748887)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:06.0 (2782433)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:39:06.0 (2926795)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (17981 more) ...","ReplayId":"28143583","EventUuid":"d7c10a3a-6ffb-4ea0-9 (16 more) ...","CreatedDate":"2026-02-22T06:39:06.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5QlEAI"}|0x4288f2e1
22:39:06.0 (2933570)|STATEMENT_EXECUTE|[16]
22:39:06.0 (2934921)|STATEMENT_EXECUTE|[17]
22:39:06.0 (2981130)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:39:06.0 (3000159)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:39:06.0 (3020857)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
