66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:39:07.1 (1201009)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:39:07.1 (1301311)|EXECUTION_STARTED
22:39:07.1 (1328599)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:39:07.1 (1415840)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:07.1 (2114069)|HEAP_ALLOCATE|[95]|Bytes:3
22:39:07.1 (2175174)|HEAP_ALLOCATE|[100]|Bytes:152
22:39:07.1 (2195424)|HEAP_ALLOCATE|[417]|Bytes:408
22:39:07.1 (2213437)|HEAP_ALLOCATE|[430]|Bytes:408
22:39:07.1 (2246696)|HEAP_ALLOCATE|[317]|Bytes:6
22:39:07.1 (2422766)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:07.1 (2432004)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:07.1 (2561376)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x70dd25d7
22:39:07.1 (2615904)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:07.1 (2623231)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:07.1 (2649035)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x70dd25d7
22:39:07.1 (2658971)|STATEMENT_EXECUTE|[12]
22:39:07.1 (2660693)|STATEMENT_EXECUTE|[13]
22:39:07.1 (2857926)|HEAP_ALLOCATE|[13]|Bytes:4
22:39:07.1 (2944001)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:39:07.1 (2985963)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:39:07.1 (3019188)|HEAP_ALLOCATE|[68]|Bytes:5
22:39:07.1 (3055330)|HEAP_ALLOCATE|[74]|Bytes:5
22:39:07.1 (3066935)|HEAP_ALLOCATE|[82]|Bytes:7
22:39:07.1 (3302193)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:07.1 (3342534)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x70dd25d7
22:39:07.1 (3507718)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:39:07.1 (3658398)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:39:07.1 (3684316)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:07.1 (3703458)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:07.1 (3710555)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:07.1 (3760130)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:39:07.1 (3958324)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"0051R00000JeE4nQAF","Payload__c":"{\"attributes\":{\"type (2145 more) ...","ReplayId":"28143586","EventUuid":"8284d396-b6dc-4fc8-8 (16 more) ...","CreatedDate":"2026-02-22T06:39:07.000Z","OwnerId__c":"0051R00000JeE4nQAF","Id":"e0Fxx000001u5QoEAI"}|0x6815ce46
22:39:07.1 (3969943)|STATEMENT_EXECUTE|[16]
22:39:07.1 (3971807)|STATEMENT_EXECUTE|[17]
22:39:07.1 (4037559)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:39:07.1 (4069737)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:39:07.1 (4099201)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
22:39:07.1 (4133422)|VARIABLE_ASSIGNMENT|[17]|log|"{\"attributes\":{\"type (2145 more) ..."
22:39:07.1 (4137956)|STATEMENT_EXECUTE|[18]
22:39:07.1 (4141244)|HEAP_ALLOCATE|[18]|Bytes:40
22:39:07.1 (4279487)|HEAP_ALLOCATE|[18]|Bytes:33
22:39:07.1 (4305506)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
22:39:07.1 (4310298)|STATEMENT_EXECUTE|[1]
22:39:07.1 (4322118)|SYSTEM_METHOD_EXIT|[1]|Type
22:39:07.1 (4327896)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:07.1 (4347582)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:07.1 (4351885)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
22:39:07.1 (4433616)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x6e85a93f
22:39:07.1 (4439048)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
22:39:07.1 (4707205)|VARIABLE_ASSIGNMENT|[4]|apextype|"Service_Log__c"|0x5edc7f6c
22:39:07.1 (7292524)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:07.1 (7358929)|HEAP_ALLOCATE|[18]|Bytes:24
22:39:07.1 (7381671)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
22:39:07.1 (7387677)|STATEMENT_EXECUTE|[1]
22:39:07.1 (7395769)|SYSTEM_METHOD_EXIT|[1]|JSON
22:39:07.1 (7419480)|METHOD_ENTRY|[18]||System.JSON.deserializeStrict(String, System.Type)
22:39:07.1 (8399884)|METHOD_EXIT|[18]||System.JSON.deserializeStrict(String, System.Type)
22:39:07.1 (8418884)|VARIABLE_SCOPE_BEGIN|[18]|newLog|Service_Log__c|true|false
22:39:07.1 (8570611)|VARIABLE_ASSIGNMENT|[18]|newLog|{"Method__c":"POST","Service_Start__c":"2026-02-22T06:39:07.219Z","ResponseBody__c":"{\"routed\":true}","Service_End__c":"2026-02-22T06:39:07.299Z","ResponseStatusCode__c":200.0,"Service_Name__c":"RabbitMQ","Direction__c":"Outbound","Category__c":"Truck Care Integrati (3 more) ...","Case__c":"500bV00000ZGcwUQAT","RequestBody__c":"{\n  \"properties\" : { (1192 more) ...","attributes":{"type":"Service_Log__c"},"RequestURI__c":"callout:RabbitMQ/exc (43 more) ...","ResponseHeaders__c":"(Server, vary, X-Con (151 more) ..."}|0x146634d3
22:39:07.1 (8583203)|STATEMENT_EXECUTE|[19]
22:39:07.1 (8632059)|HEAP_ALLOCATE|[19]|Bytes:4
22:39:07.1 (8814216)|HEAP_ALLOCATE|[19]|Bytes:-4
22:39:07.1 (8867943)|VARIABLE_ASSIGNMENT|[19]|this.OwnerId|"0051R00000JeE4nQAF"|0x146634d3
22:39:07.1 (8875383)|STATEMENT_EXECUTE|[20]
22:39:07.1 (8939432)|SYSTEM_METHOD_ENTRY|[20]|List<Service_Log__c>.add(Object)
22:39:07.1 (8969072)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:07.1 (8978155)|SYSTEM_METHOD_EXIT|[20]|List<Service_Log__c>.add(Object)
22:39:07.1 (9003126)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:07.1 (9015658)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:07.1 (9022771)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:07.1 (9038452)|VARIABLE_ASSIGNMENT|[16]|evt|null|
22:39:07.1 (9052042)|SYSTEM_METHOD_ENTRY|[23]|List<Service_Log__c>.isEmpty()
22:39:07.1 (9065802)|SYSTEM_METHOD_EXIT|[23]|List<Service_Log__c>.isEmpty()
22:39:07.1 (9072451)|STATEMENT_EXECUTE|[23]
22:39:07.1 (9073909)|STATEMENT_EXECUTE|[24]
22:39:07.1 (9212183)|VARIABLE_SCOPE_BEGIN|[17]|ServiceLog.Error_Message_MAX_SIZE|Integer|false|true
22:39:07.1 (9224198)|VARIABLE_SCOPE_BEGIN|[24]|ServiceLog.MAX_PAYLOAD_SIZE|Integer|false|true
22:39:07.1 (9231668)|VARIABLE_SCOPE_BEGIN|[21]|ServiceLog.RequestBody_MAX_SIZE|Integer|false|true
22:39:07.1 (9238979)|VARIABLE_SCOPE_BEGIN|[19]|ServiceLog.RequestHeaders_MAX_SIZE|Integer|false|true
22:39:07.1 (9245865)|VARIABLE_SCOPE_BEGIN|[20]|ServiceLog.RequestParameters_MAX_SIZE|Integer|false|true
22:39:07.1 (9252282)|VARIABLE_SCOPE_BEGIN|[18]|ServiceLog.RequestURI_MAX_SIZE|Integer|false|true
22:39:07.1 (9259370)|VARIABLE_SCOPE_BEGIN|[22]|ServiceLog.ResponseBody_MAX_SIZE|Integer|false|true
22:39:07.1 (9266894)|VARIABLE_SCOPE_BEGIN|[23]|ServiceLog.ResponseHeaders_MAX_SIZE|Integer|false|true
22:39:07.1 (9274333)|VARIABLE_SCOPE_BEGIN|[15]|ServiceLog.includeRequestBody|Boolean|false|true
22:39:07.1 (9281451)|VARIABLE_SCOPE_BEGIN|[13]|ServiceLog.log|ServiceLog|true|true
22:39:07.1 (9289605)|VARIABLE_SCOPE_BEGIN|[11]|ServiceLog.logList|List<Service_Log__c>|true|true
22:39:07.1 (9297325)|VARIABLE_SCOPE_BEGIN|[14]|ServiceLog.serviceLogName|String|false|true
22:39:07.1 (9305715)|VARIABLE_SCOPE_BEGIN|[9]|ServiceLog.settings|AppSettings|true|true
22:39:07.1 (9321451)|HEAP_ALLOCATE|[24]|Bytes:88
22:39:07.1 (9328259)|HEAP_ALLOCATE|[24]|Bytes:84
22:39:07.1 (9331870)|HEAP_ALLOCATE|[24]|Bytes:19
22:39:07.1 (9408164)|METHOD_ENTRY|[8]|01p3600000JZQWB|ServiceLog.ServiceLog()
22:39:07.1 (9414862)|STATEMENT_EXECUTE|[8]
22:39:07.1 (9419050)|STATEMENT_EXECUTE|[8]
22:39:07.1 (9432852)|HEAP_ALLOCATE|[9]|Bytes:5
22:39:07.1 (9437669)|STATEMENT_EXECUTE|[9]
22:39:07.1 (9441554)|HEAP_ALLOCATE|[9]|Bytes:29
22:39:07.1 (9446676)|HEAP_ALLOCATE|[9]|Bytes:44
22:39:07.1 (9454894)|METHOD_ENTRY|[11]|01pbV0000002xX3|AppSettings.AppSettings()
22:39:07.1 (9458921)|STATEMENT_EXECUTE|[11]
22:39:07.1 (9461277)|STATEMENT_EXECUTE|[11]
22:39:07.1 (10831991)|SYSTEM_MODE_ENTER|false
22:39:07.1 (10854049)|HEAP_ALLOCATE|[9]|Bytes:5
22:39:07.1 (10862846)|STATEMENT_EXECUTE|[131]
22:39:07.1 (10870989)|SYSTEM_MODE_EXIT|false
22:39:07.1 (10896338)|METHOD_EXIT|[11]|AppSettings
22:39:07.1 (10906367)|HEAP_ALLOCATE|[9]|Bytes:12
22:39:07.1 (10912485)|HEAP_ALLOCATE|[9]|Bytes:10
22:39:07.1 (10940199)|CONSTRUCTOR_ENTRY|[9]|01pbV0000002xX3|<init>(String)|AppSettings
22:39:07.1 (10971650)|VARIABLE_SCOPE_BEGIN|[16]|this|AppSettings|true|false
22:39:07.1 (11042340)|VARIABLE_ASSIGNMENT|[16]|this|{}|0x592b3be
22:39:07.1 (11049565)|VARIABLE_SCOPE_BEGIN|[16]|applicationName|String|false|false
22:39:07.1 (11059828)|VARIABLE_ASSIGNMENT|[16]|applicationName|"ServiceLog"
22:39:07.1 (11074688)|SYSTEM_MODE_ENTER|false
22:39:07.1 (11082199)|HEAP_ALLOCATE|[17]|Bytes:5
22:39:07.1 (11086702)|STATEMENT_EXECUTE|[11]
22:39:07.1 (11089841)|HEAP_ALLOCATE|[17]|Bytes:5
22:39:07.1 (11092683)|STATEMENT_EXECUTE|[12]
22:39:07.1 (11093834)|STATEMENT_EXECUTE|[13]
22:39:07.1 (11117348)|STATEMENT_EXECUTE|[16]
22:39:07.1 (11118866)|STATEMENT_EXECUTE|[17]
22:39:07.1 (11141579)|VARIABLE_ASSIGNMENT|[17]|this.applicationName|"ServiceLog"|0x592b3be
22:39:07.1 (11146744)|STATEMENT_EXECUTE|[18]
22:39:07.1 (11240396)|HEAP_ALLOCATE|[18]|Bytes:22
22:39:07.1 (11257548)|METHOD_ENTRY|[1]|01pbV0000000ZVh|ApplicationSettings_Util.ApplicationSettings_Util()
22:39:07.1 (11263205)|STATEMENT_EXECUTE|[1]
22:39:07.1 (11266146)|STATEMENT_EXECUTE|[1]
22:39:07.1 (11271817)|HEAP_ALLOCATE|[18]|Bytes:5
22:39:07.1 (11281930)|METHOD_EXIT|[1]|ApplicationSettings_Util
22:39:07.1 (11299755)|METHOD_ENTRY|[18]|01pbV0000000ZVh|ApplicationSettings_Util.getApplicationConfigurationsByAppName(String)
