66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:39:09.0 (919465)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:39:09.0 (1014037)|EXECUTION_STARTED
22:39:09.0 (1038146)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:39:09.0 (1105827)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:09.0 (1806693)|HEAP_ALLOCATE|[95]|Bytes:3
22:39:09.0 (1853436)|HEAP_ALLOCATE|[100]|Bytes:152
22:39:09.0 (1866709)|HEAP_ALLOCATE|[417]|Bytes:408
22:39:09.0 (1877688)|HEAP_ALLOCATE|[430]|Bytes:408
22:39:09.0 (1898061)|HEAP_ALLOCATE|[317]|Bytes:6
22:39:09.0 (1916067)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:09.0 (1921500)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:09.0 (2022455)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x78648a41
22:39:09.0 (2051014)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:09.0 (2054576)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:09.0 (2068884)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x78648a41
22:39:09.0 (2075801)|STATEMENT_EXECUTE|[12]
22:39:09.0 (2077260)|STATEMENT_EXECUTE|[13]
22:39:09.0 (2205235)|HEAP_ALLOCATE|[13]|Bytes:4
22:39:09.0 (2266063)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:39:09.0 (2298435)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:39:09.0 (2321316)|HEAP_ALLOCATE|[68]|Bytes:5
22:39:09.0 (2350486)|HEAP_ALLOCATE|[74]|Bytes:5
22:39:09.0 (2358561)|HEAP_ALLOCATE|[82]|Bytes:7
22:39:09.0 (2553179)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:09.0 (2581547)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x78648a41
22:39:09.0 (2688090)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:39:09.0 (2823001)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:39:09.0 (2840915)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:09.0 (2855027)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:09.0 (2860715)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:09.0 (2894935)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:39:09.0 (3040042)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (3327 more) ...","ReplayId":"28143655","EventUuid":"be1eaf50-b675-4f90-8 (16 more) ...","CreatedDate":"2026-02-22T06:39:09.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5RvEAI"}|0x22b784bc
22:39:09.0 (3048086)|STATEMENT_EXECUTE|[16]
22:39:09.0 (3049607)|STATEMENT_EXECUTE|[17]
22:39:09.0 (3095302)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:39:09.0 (3114403)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:39:09.0 (3134583)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
22:39:09.0 (3142982)|VARIABLE_ASSIGNMENT|[17]|log|"{\"attributes\":{\"type (3327 more) ..."
22:39:09.0 (3145413)|STATEMENT_EXECUTE|[18]
22:39:09.0 (3147658)|HEAP_ALLOCATE|[18]|Bytes:40
22:39:09.0 (3243083)|HEAP_ALLOCATE|[18]|Bytes:33
22:39:09.0 (3268952)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
22:39:09.0 (3272167)|STATEMENT_EXECUTE|[1]
22:39:09.0 (3281815)|SYSTEM_METHOD_EXIT|[1]|Type
22:39:09.0 (3285632)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:09.0 (3298969)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:09.0 (3301632)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
22:39:09.0 (3344942)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x6416d70c
22:39:09.0 (3348158)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
22:39:09.0 (3477504)|VARIABLE_ASSIGNMENT|[4]|apextype|"Service_Log__c"|0x52e71a7a
22:39:09.0 (5983842)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:09.0 (6029860)|HEAP_ALLOCATE|[18]|Bytes:24
22:39:09.0 (6048138)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
22:39:09.0 (6053316)|STATEMENT_EXECUTE|[1]
22:39:09.0 (6058656)|SYSTEM_METHOD_EXIT|[1]|JSON
22:39:09.0 (6077706)|METHOD_ENTRY|[18]||System.JSON.deserializeStrict(String, System.Type)
22:39:09.0 (6824716)|METHOD_EXIT|[18]||System.JSON.deserializeStrict(String, System.Type)
22:39:09.0 (6842410)|VARIABLE_SCOPE_BEGIN|[18]|newLog|Service_Log__c|true|false
22:39:09.0 (6932478)|VARIABLE_ASSIGNMENT|[18]|newLog|{"Service_Name__c":"Google Maps - Get La (5 more) ...","Method__c":"GET","Direction__c":"Outbound","Service_Start__c":"2026-02-22T06:39:09.642Z","Category__c":"Google Maps","RequestBody__c":"","ResponseBody__c":"{\n   \"results\" : \n   (2445 more) ...","attributes":{"type":"Service_Log__c"},"Service_End__c":"2026-02-22T06:39:09.703Z","RequestURI__c":"callout:GoogleMaps/g (111 more) ...","ResponseStatusCode__c":200.0,"ResponseHeaders__c":"(Alt-Svc, Server, Ac (143 more) ..."}|0x5b807f36
22:39:09.0 (6939264)|STATEMENT_EXECUTE|[19]
22:39:09.0 (6980324)|HEAP_ALLOCATE|[19]|Bytes:4
22:39:09.0 (7107682)|HEAP_ALLOCATE|[19]|Bytes:-4
22:39:09.0 (7146456)|VARIABLE_ASSIGNMENT|[19]|this.OwnerId|"00536000006CafHAAS"|0x5b807f36
22:39:09.0 (7150905)|STATEMENT_EXECUTE|[20]
22:39:09.0 (7197182)|SYSTEM_METHOD_ENTRY|[20]|List<Service_Log__c>.add(Object)
22:39:09.0 (7218659)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:09.0 (7224422)|SYSTEM_METHOD_EXIT|[20]|List<Service_Log__c>.add(Object)
22:39:09.0 (7233045)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:09.0 (7241983)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:09.0 (7245859)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:09.0 (7255143)|VARIABLE_ASSIGNMENT|[16]|evt|null|
22:39:09.0 (7262367)|SYSTEM_METHOD_ENTRY|[23]|List<Service_Log__c>.isEmpty()
22:39:09.0 (7268790)|SYSTEM_METHOD_EXIT|[23]|List<Service_Log__c>.isEmpty()
22:39:09.0 (7273145)|STATEMENT_EXECUTE|[23]
22:39:09.0 (7274222)|STATEMENT_EXECUTE|[24]
22:39:09.0 (7386471)|VARIABLE_SCOPE_BEGIN|[17]|ServiceLog.Error_Message_MAX_SIZE|Integer|false|true
22:39:09.0 (7393446)|VARIABLE_SCOPE_BEGIN|[24]|ServiceLog.MAX_PAYLOAD_SIZE|Integer|false|true
22:39:09.0 (7398236)|VARIABLE_SCOPE_BEGIN|[21]|ServiceLog.RequestBody_MAX_SIZE|Integer|false|true
22:39:09.0 (7402711)|VARIABLE_SCOPE_BEGIN|[19]|ServiceLog.RequestHeaders_MAX_SIZE|Integer|false|true
22:39:09.0 (7412351)|VARIABLE_SCOPE_BEGIN|[20]|ServiceLog.RequestParameters_MAX_SIZE|Integer|false|true
22:39:09.0 (7416994)|VARIABLE_SCOPE_BEGIN|[18]|ServiceLog.RequestURI_MAX_SIZE|Integer|false|true
22:39:09.0 (7421567)|VARIABLE_SCOPE_BEGIN|[22]|ServiceLog.ResponseBody_MAX_SIZE|Integer|false|true
22:39:09.0 (7426078)|VARIABLE_SCOPE_BEGIN|[23]|ServiceLog.ResponseHeaders_MAX_SIZE|Integer|false|true
22:39:09.0 (7429999)|VARIABLE_SCOPE_BEGIN|[15]|ServiceLog.includeRequestBody|Boolean|false|true
22:39:09.0 (7434051)|VARIABLE_SCOPE_BEGIN|[13]|ServiceLog.log|ServiceLog|true|true
22:39:09.0 (7445153)|VARIABLE_SCOPE_BEGIN|[11]|ServiceLog.logList|List<Service_Log__c>|true|true
22:39:09.0 (7450198)|VARIABLE_SCOPE_BEGIN|[14]|ServiceLog.serviceLogName|String|false|true
22:39:09.0 (7455438)|VARIABLE_SCOPE_BEGIN|[9]|ServiceLog.settings|AppSettings|true|true
22:39:09.0 (7466071)|HEAP_ALLOCATE|[24]|Bytes:88
22:39:09.0 (7470236)|HEAP_ALLOCATE|[24]|Bytes:84
22:39:09.0 (7472389)|HEAP_ALLOCATE|[24]|Bytes:19
