66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:39:11.1 (1008814)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:39:11.1 (1093079)|EXECUTION_STARTED
22:39:11.1 (1137852)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:39:11.1 (1214154)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
22:39:11.1 (1948987)|HEAP_ALLOCATE|[95]|Bytes:3
22:39:11.1 (1998087)|HEAP_ALLOCATE|[100]|Bytes:152
22:39:11.1 (2011614)|HEAP_ALLOCATE|[417]|Bytes:408
22:39:11.1 (2024065)|HEAP_ALLOCATE|[430]|Bytes:408
22:39:11.1 (2045193)|HEAP_ALLOCATE|[317]|Bytes:6
22:39:11.1 (2063308)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:11.1 (2068072)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:11.1 (2173801)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x571edb5e
22:39:11.1 (2203549)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:11.1 (2206781)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:11.1 (2220829)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x571edb5e
22:39:11.1 (2227320)|STATEMENT_EXECUTE|[12]
22:39:11.1 (2228347)|STATEMENT_EXECUTE|[13]
22:39:11.1 (2358528)|HEAP_ALLOCATE|[13]|Bytes:4
22:39:11.1 (2429950)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:39:11.1 (2461292)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:39:11.1 (2481190)|HEAP_ALLOCATE|[68]|Bytes:5
22:39:11.1 (2505719)|HEAP_ALLOCATE|[74]|Bytes:5
22:39:11.1 (2512909)|HEAP_ALLOCATE|[82]|Bytes:7
22:39:11.1 (2698283)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:11.1 (2725625)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x571edb5e
22:39:11.1 (2827945)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:39:11.1 (2929552)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:39:11.1 (2946409)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:11.1 (2959365)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:11.1 (2963680)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:11.1 (2997668)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:39:11.1 (3141428)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (17981 more) ...","ReplayId":"28143658","EventUuid":"d6120a66-4858-4082-b (16 more) ...","CreatedDate":"2026-02-22T06:39:10.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5RyEAI"}|0x3a901d55
22:39:11.1 (3149730)|STATEMENT_EXECUTE|[16]
22:39:11.1 (3151280)|STATEMENT_EXECUTE|[17]
22:39:11.1 (3199747)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:39:11.1 (3218488)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:39:11.1 (3237675)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
22:39:11.1 (3246019)|VARIABLE_ASSIGNMENT|[17]|log|"{\"attributes\":{\"type (17981 more) ..."
22:39:11.1 (3248528)|STATEMENT_EXECUTE|[18]
22:39:11.1 (3250488)|HEAP_ALLOCATE|[18]|Bytes:40
22:39:11.1 (3344902)|HEAP_ALLOCATE|[18]|Bytes:33
22:39:11.1 (3363172)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
22:39:11.1 (3366357)|STATEMENT_EXECUTE|[1]
22:39:11.1 (3409949)|SYSTEM_METHOD_EXIT|[1]|Type
22:39:11.1 (3414497)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:11.1 (3429187)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:11.1 (3432054)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
22:39:11.1 (3483285)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x4038b50f
22:39:11.1 (3486656)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
22:39:11.1 (3602895)|VARIABLE_ASSIGNMENT|[4]|apextype|"Service_Log__c"|0x440c27e9
22:39:11.1 (6114137)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:11.1 (6174700)|HEAP_ALLOCATE|[18]|Bytes:24
22:39:11.1 (6189312)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
22:39:11.1 (6195049)|STATEMENT_EXECUTE|[1]
22:39:11.1 (6201619)|SYSTEM_METHOD_EXIT|[1]|JSON
22:39:11.1 (6223785)|METHOD_ENTRY|[18]||System.JSON.deserializeStrict(String, System.Type)
22:39:11.1 (6964734)|METHOD_EXIT|[18]||System.JSON.deserializeStrict(String, System.Type)
22:39:11.1 (6976904)|VARIABLE_SCOPE_BEGIN|[18]|newLog|Service_Log__c|true|false
22:39:11.1 (7064494)|VARIABLE_ASSIGNMENT|[18]|newLog|{"Service_Name__c":"Google Maps - Get Ad (5 more) ...","Method__c":"GET","Direction__c":"Outbound","Service_Start__c":"2026-02-22T06:39:10.673Z","Category__c":"Google Maps","RequestBody__c":"","ResponseBody__c":"{\n   \"plus_code\" : \n (15881 more) ...","attributes":{"type":"Service_Log__c"},"Service_End__c":"2026-02-22T06:39:10.737Z","RequestURI__c":"callout:GoogleMaps/g (95 more) ...","ResponseStatusCode__c":200.0,"ResponseHeaders__c":"(Alt-Svc, Server, Ac (143 more) ..."}|0x2dcd7622
22:39:11.1 (7071323)|STATEMENT_EXECUTE|[19]
22:39:11.1 (7111010)|HEAP_ALLOCATE|[19]|Bytes:4
22:39:11.1 (7240737)|HEAP_ALLOCATE|[19]|Bytes:-4
22:39:11.1 (7279737)|VARIABLE_ASSIGNMENT|[19]|this.OwnerId|"00536000006CafHAAS"|0x2dcd7622
22:39:11.1 (7283926)|STATEMENT_EXECUTE|[20]
22:39:11.1 (7331756)|SYSTEM_METHOD_ENTRY|[20]|List<Service_Log__c>.add(Object)
22:39:11.1 (7354357)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:11.1 (7360097)|SYSTEM_METHOD_EXIT|[20]|List<Service_Log__c>.add(Object)
22:39:11.1 (7368490)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:11.1 (7409616)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:11.1 (7415046)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:11.1 (7433389)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:39:11.1 (7539575)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"0051R00000JeE4nQAF","Payload__c":"{\"attributes\":{\"type (2182 more) ...","ReplayId":"28143659","EventUuid":"eb79b710-8a12-4317-a (16 more) ...","CreatedDate":"2026-02-22T06:39:10.000Z","OwnerId__c":"0051R00000JeE4nQAF","Id":"e0Fxx000001u5RzEAI"}|0x555d3c9b
22:39:11.1 (7544954)|STATEMENT_EXECUTE|[16]
22:39:11.1 (7546246)|STATEMENT_EXECUTE|[17]
22:39:11.1 (7565895)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:39:11.1 (7573113)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:39:11.1 (7579933)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
22:39:11.1 (7586768)|VARIABLE_ASSIGNMENT|[17]|log|"{\"attributes\":{\"type (2182 more) ..."
22:39:11.1 (7588952)|STATEMENT_EXECUTE|[18]
22:39:11.1 (7655139)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:11.1 (7661569)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:11.1 (7664420)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
22:39:11.1 (7708490)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x11dd9116
22:39:11.1 (7712073)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
22:39:11.1 (7770261)|VARIABLE_ASSIGNMENT|[4]|apextype|"Service_Log__c"|0x440c27e9
22:39:11.1 (7801900)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:11.1 (7807729)|METHOD_ENTRY|[18]||System.JSON.deserializeStrict(String, System.Type)
22:39:11.1 (8048992)|METHOD_EXIT|[18]||System.JSON.deserializeStrict(String, System.Type)
22:39:11.1 (8056162)|VARIABLE_SCOPE_BEGIN|[18]|newLog|Service_Log__c|true|false
22:39:11.1 (8118871)|VARIABLE_ASSIGNMENT|[18]|newLog|{"Method__c":"POST","Service_Start__c":"2026-02-22T06:39:10.542Z","ResponseBody__c":"{\"routed\":true}","Service_End__c":"2026-02-22T06:39:10.625Z","ResponseStatusCode__c":200.0,"Service_Name__c":"RabbitMQ","Direction__c":"Outbound","Category__c":"Truck Care Integrati (3 more) ...","Case__c":"500bV00000ZGHYcQAP","RequestBody__c":"{\n  \"properties\" : { (1221 more) ...","attributes":{"type":"Service_Log__c"},"RequestURI__c":"callout:RabbitMQ/exc (43 more) ...","ResponseHeaders__c":"(Server, vary, X-Con (151 more) ..."}|0x21e4db62
22:39:11.1 (8125203)|STATEMENT_EXECUTE|[19]
22:39:11.1 (8134700)|HEAP_ALLOCATE|[19]|Bytes:4
22:39:11.1 (8167947)|HEAP_ALLOCATE|[19]|Bytes:-4
22:39:11.1 (8189320)|VARIABLE_ASSIGNMENT|[19]|this.OwnerId|"0051R00000JeE4nQAF"|0x21e4db62
22:39:11.1 (8192717)|STATEMENT_EXECUTE|[20]
22:39:11.1 (8209214)|SYSTEM_METHOD_ENTRY|[20]|List<Service_Log__c>.add(Object)
22:39:11.1 (8213520)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:11.1 (8218229)|SYSTEM_METHOD_EXIT|[20]|List<Service_Log__c>.add(Object)
22:39:11.1 (8223052)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:11.1 (8228390)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:11.1 (8231556)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:11.1 (8238390)|VARIABLE_ASSIGNMENT|[16]|evt|null|
22:39:11.1 (8249421)|SYSTEM_METHOD_ENTRY|[23]|List<Service_Log__c>.isEmpty()
22:39:11.1 (8264812)|SYSTEM_METHOD_EXIT|[23]|List<Service_Log__c>.isEmpty()
22:39:11.1 (8268543)|STATEMENT_EXECUTE|[23]
22:39:11.1 (8269517)|STATEMENT_EXECUTE|[24]
22:39:11.1 (8388545)|VARIABLE_SCOPE_BEGIN|[17]|ServiceLog.Error_Message_MAX_SIZE|Integer|false|true
22:39:11.1 (8395743)|VARIABLE_SCOPE_BEGIN|[24]|ServiceLog.MAX_PAYLOAD_SIZE|Integer|false|true
22:39:11.1 (8400245)|VARIABLE_SCOPE_BEGIN|[21]|ServiceLog.RequestBody_MAX_SIZE|Integer|false|true
22:39:11.1 (8404822)|VARIABLE_SCOPE_BEGIN|[19]|ServiceLog.RequestHeaders_MAX_SIZE|Integer|false|true
22:39:11.1 (8409323)|VARIABLE_SCOPE_BEGIN|[20]|ServiceLog.RequestParameters_MAX_SIZE|Integer|false|true
22:39:11.1 (8414015)|VARIABLE_SCOPE_BEGIN|[18]|ServiceLog.RequestURI_MAX_SIZE|Integer|false|true
22:39:11.1 (8418880)|VARIABLE_SCOPE_BEGIN|[22]|ServiceLog.ResponseBody_MAX_SIZE|Integer|false|true
22:39:11.1 (8423570)|VARIABLE_SCOPE_BEGIN|[23]|ServiceLog.ResponseHeaders_MAX_SIZE|Integer|false|true
22:39:11.1 (8427694)|VARIABLE_SCOPE_BEGIN|[15]|ServiceLog.includeRequestBody|Boolean|false|true
22:39:11.1 (8431839)|VARIABLE_SCOPE_BEGIN|[13]|ServiceLog.log|ServiceLog|true|true
22:39:11.1 (8436549)|VARIABLE_SCOPE_BEGIN|[11]|ServiceLog.logList|List<Service_Log__c>|true|true
22:39:11.1 (8441434)|VARIABLE_SCOPE_BEGIN|[14]|ServiceLog.serviceLogName|String|false|true
22:39:11.1 (8446702)|VARIABLE_SCOPE_BEGIN|[9]|ServiceLog.settings|AppSettings|true|true
22:39:11.1 (8458869)|HEAP_ALLOCATE|[24]|Bytes:88
22:39:11.1 (8462818)|HEAP_ALLOCATE|[24]|Bytes:84
22:39:11.1 (8465054)|HEAP_ALLOCATE|[24]|Bytes:19
22:39:11.1 (8511982)|METHOD_ENTRY|[8]|01p3600000JZQWB|ServiceLog.ServiceLog()
22:39:11.1 (8516180)|STATEMENT_EXECUTE|[8]
22:39:11.1 (8518553)|STATEMENT_EXECUTE|[8]
22:39:11.1 (8526795)|HEAP_ALLOCATE|[9]|Bytes:5
22:39:11.1 (8529649)|STATEMENT_EXECUTE|[9]
22:39:11.1 (8532581)|HEAP_ALLOCATE|[9]|Bytes:29
