66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:39:27.0 (928074)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:39:27.0 (1005371)|EXECUTION_STARTED
22:39:27.0 (1026991)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:39:27.0 (1082109)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:27.0 (1736788)|HEAP_ALLOCATE|[95]|Bytes:3
22:39:27.0 (1776286)|HEAP_ALLOCATE|[100]|Bytes:152
22:39:27.0 (1788751)|HEAP_ALLOCATE|[417]|Bytes:408
22:39:27.0 (1799980)|HEAP_ALLOCATE|[430]|Bytes:408
22:39:27.0 (1826286)|HEAP_ALLOCATE|[317]|Bytes:6
22:39:27.0 (1845583)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:27.0 (1851374)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:27.0 (1951135)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x535c1d6d
22:39:27.0 (2006217)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:27.0 (2010933)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:27.0 (2026469)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x535c1d6d
22:39:27.0 (2032779)|STATEMENT_EXECUTE|[12]
22:39:27.0 (2034162)|STATEMENT_EXECUTE|[13]
22:39:27.0 (2134097)|HEAP_ALLOCATE|[13]|Bytes:4
22:39:27.0 (2187605)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:39:27.0 (2302544)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:39:27.0 (2323759)|HEAP_ALLOCATE|[68]|Bytes:5
22:39:27.0 (2347122)|HEAP_ALLOCATE|[74]|Bytes:5
22:39:27.0 (2353774)|HEAP_ALLOCATE|[82]|Bytes:7
22:39:27.0 (2542157)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
