66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:39:28.0 (912014)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:39:28.0 (992566)|EXECUTION_STARTED
22:39:28.0 (1013611)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:39:28.0 (1080302)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:28.0 (1805494)|HEAP_ALLOCATE|[95]|Bytes:3
22:39:28.0 (1857938)|HEAP_ALLOCATE|[100]|Bytes:152
22:39:28.0 (1871603)|HEAP_ALLOCATE|[417]|Bytes:408
22:39:28.0 (1882811)|HEAP_ALLOCATE|[430]|Bytes:408
22:39:28.0 (1902662)|HEAP_ALLOCATE|[317]|Bytes:6
22:39:28.0 (1920000)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:28.0 (1925315)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:28.0 (2193034)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x65157e4e
22:39:28.0 (2229364)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:28.0 (2233713)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:28.0 (2250659)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x65157e4e
22:39:28.0 (2257423)|STATEMENT_EXECUTE|[12]
22:39:28.0 (2258544)|STATEMENT_EXECUTE|[13]
22:39:28.0 (2395586)|HEAP_ALLOCATE|[13]|Bytes:4
22:39:28.0 (2468671)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:39:28.0 (2500570)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:39:28.0 (2522668)|HEAP_ALLOCATE|[68]|Bytes:5
22:39:28.0 (2548818)|HEAP_ALLOCATE|[74]|Bytes:5
22:39:28.0 (2557260)|HEAP_ALLOCATE|[82]|Bytes:7
22:39:28.0 (2753380)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:28.0 (2783016)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x65157e4e
22:39:28.0 (2889426)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:39:28.0 (3003313)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:39:28.0 (3022044)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:28.0 (3035748)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:28.0 (3040365)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:28.0 (3075115)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
