66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:39:31.1 (1258837)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:39:31.1 (1370661)|EXECUTION_STARTED
22:39:31.1 (1401035)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:39:31.1 (1512267)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:31.1 (2590198)|HEAP_ALLOCATE|[95]|Bytes:3
22:39:31.1 (2648081)|HEAP_ALLOCATE|[100]|Bytes:152
22:39:31.1 (2661559)|HEAP_ALLOCATE|[417]|Bytes:408
22:39:31.1 (2672450)|HEAP_ALLOCATE|[430]|Bytes:408
22:39:31.1 (2692704)|HEAP_ALLOCATE|[317]|Bytes:6
22:39:31.1 (2763816)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:31.1 (2770892)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:31.1 (2940912)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x4a1f7086
22:39:31.1 (2989286)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:31.1 (2996711)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:31.1 (3032214)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x4a1f7086
22:39:31.1 (3041933)|STATEMENT_EXECUTE|[12]
22:39:31.1 (3043607)|STATEMENT_EXECUTE|[13]
22:39:31.1 (3204631)|HEAP_ALLOCATE|[13]|Bytes:4
22:39:31.1 (3288724)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:39:31.1 (3331198)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:39:31.1 (3364413)|HEAP_ALLOCATE|[68]|Bytes:5
22:39:31.1 (3398373)|HEAP_ALLOCATE|[74]|Bytes:5
22:39:31.1 (3410293)|HEAP_ALLOCATE|[82]|Bytes:7
22:39:31.1 (3620268)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:31.1 (3655292)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x4a1f7086
22:39:31.1 (3785347)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:39:31.1 (3904576)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:39:31.1 (3924779)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:31.1 (3938951)|HEAP_ALLOCATE|[16]|Bytes:5
