66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:39:32.1 (1039237)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:39:32.1 (1165396)|EXECUTION_STARTED
22:39:32.1 (1189618)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:39:32.1 (1278449)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:32.1 (2089579)|HEAP_ALLOCATE|[95]|Bytes:3
22:39:32.1 (2146085)|HEAP_ALLOCATE|[100]|Bytes:152
22:39:32.1 (2159834)|HEAP_ALLOCATE|[417]|Bytes:408
22:39:32.1 (2171314)|HEAP_ALLOCATE|[430]|Bytes:408
22:39:32.1 (2195469)|HEAP_ALLOCATE|[317]|Bytes:6
22:39:32.1 (2218369)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:32.1 (2226183)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:32.1 (2339950)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x3880027a
22:39:32.1 (2374030)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:32.1 (2378372)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:32.1 (2396308)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x3880027a
22:39:32.1 (2405147)|STATEMENT_EXECUTE|[12]
22:39:32.1 (2406867)|STATEMENT_EXECUTE|[13]
22:39:32.1 (2554256)|HEAP_ALLOCATE|[13]|Bytes:4
22:39:32.1 (2621179)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:39:32.1 (2652294)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:39:32.1 (2679579)|HEAP_ALLOCATE|[68]|Bytes:5
22:39:32.1 (2704303)|HEAP_ALLOCATE|[74]|Bytes:5
22:39:32.1 (2712063)|HEAP_ALLOCATE|[82]|Bytes:7
22:39:32.1 (2902941)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:32.1 (2933066)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x3880027a
22:39:32.1 (3038048)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:39:32.1 (3141253)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:39:32.1 (3158212)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:32.1 (3171113)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:32.1 (3175805)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
