66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:39:35.1 (1294232)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:39:35.1 (1396324)|EXECUTION_STARTED
22:39:35.1 (1423696)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:39:35.1 (1505965)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:35.1 (2403448)|HEAP_ALLOCATE|[95]|Bytes:3
22:39:35.1 (2458170)|HEAP_ALLOCATE|[100]|Bytes:152
22:39:35.1 (2476320)|HEAP_ALLOCATE|[417]|Bytes:408
22:39:35.1 (2494548)|HEAP_ALLOCATE|[430]|Bytes:408
22:39:35.1 (2526463)|HEAP_ALLOCATE|[317]|Bytes:6
22:39:35.1 (2550150)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:35.1 (2557947)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:35.1 (2688282)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x21beeb56
22:39:35.1 (2746808)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:35.1 (2753013)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:35.1 (2776849)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x21beeb56
22:39:35.1 (2786173)|STATEMENT_EXECUTE|[12]
22:39:35.1 (2787600)|STATEMENT_EXECUTE|[13]
22:39:35.1 (2948167)|HEAP_ALLOCATE|[13]|Bytes:4
22:39:35.1 (3031999)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:39:35.1 (3069641)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:39:35.1 (3098348)|HEAP_ALLOCATE|[68]|Bytes:5
22:39:35.1 (3130550)|HEAP_ALLOCATE|[74]|Bytes:5
22:39:35.1 (3140932)|HEAP_ALLOCATE|[82]|Bytes:7
22:39:35.1 (3378084)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:35.1 (3417063)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x21beeb56
22:39:35.1 (3580227)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:39:35.1 (3721671)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:39:35.1 (3742698)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:35.1 (3759981)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:35.1 (3767369)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:35.1 (3809945)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:39:35.1 (4019719)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (3327 more) ...","ReplayId":"28143962","EventUuid":"60c04731-e96d-46f4-9 (16 more) ...","CreatedDate":"2026-02-22T06:39:35.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5WsEAI"}|0x788572c5
22:39:35.1 (4032836)|STATEMENT_EXECUTE|[16]
22:39:35.1 (4034683)|STATEMENT_EXECUTE|[17]
22:39:35.1 (4093165)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:39:35.1 (4137975)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:39:35.1 (4166190)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
22:39:35.1 (4180992)|VARIABLE_ASSIGNMENT|[17]|log|"{\"attributes\":{\"type (3327 more) ..."
22:39:35.1 (4185268)|STATEMENT_EXECUTE|[18]
22:39:35.1 (4189011)|HEAP_ALLOCATE|[18]|Bytes:40
22:39:35.1 (4321924)|HEAP_ALLOCATE|[18]|Bytes:33
22:39:35.1 (4350976)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
22:39:35.1 (4356632)|STATEMENT_EXECUTE|[1]
22:39:35.1 (4368589)|SYSTEM_METHOD_EXIT|[1]|Type
22:39:35.1 (4374872)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:35.1 (4392797)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:35.1 (4396653)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
22:39:35.1 (4454765)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x24c18bbe
22:39:35.1 (4460062)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
22:39:35.1 (4632701)|VARIABLE_ASSIGNMENT|[4]|apextype|"Service_Log__c"|0x5f4fb356
22:39:35.1 (7384503)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:35.1 (7448212)|HEAP_ALLOCATE|[18]|Bytes:24
22:39:35.1 (7468023)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
22:39:35.1 (7481812)|STATEMENT_EXECUTE|[1]
22:39:35.1 (7489997)|SYSTEM_METHOD_EXIT|[1]|JSON
22:39:35.1 (7514789)|METHOD_ENTRY|[18]||System.JSON.deserializeStrict(String, System.Type)
22:39:35.1 (8513931)|METHOD_EXIT|[18]||System.JSON.deserializeStrict(String, System.Type)
22:39:35.1 (8533414)|VARIABLE_SCOPE_BEGIN|[18]|newLog|Service_Log__c|true|false
22:39:35.1 (8665694)|VARIABLE_ASSIGNMENT|[18]|newLog|{"Service_Name__c":"Google Maps - Get La (5 more) ...","Method__c":"GET","Direction__c":"Outbound","Service_Start__c":"2026-02-22T06:39:35.163Z","Category__c":"Google Maps","RequestBody__c":"","ResponseBody__c":"{\n   \"results\" : \n   (2445 more) ...","attributes":{"type":"Service_Log__c"},"Service_End__c":"2026-02-22T06:39:35.213Z","RequestURI__c":"callout:GoogleMaps/g (111 more) ...","ResponseStatusCode__c":200.0,"ResponseHeaders__c":"(Alt-Svc, Server, Ac (143 more) ..."}|0x1cbed37b
22:39:35.1 (8677504)|STATEMENT_EXECUTE|[19]
22:39:35.1 (8726145)|HEAP_ALLOCATE|[19]|Bytes:4
22:39:35.1 (8923485)|HEAP_ALLOCATE|[19]|Bytes:-4
22:39:35.1 (8978720)|VARIABLE_ASSIGNMENT|[19]|this.OwnerId|"00536000006CafHAAS"|0x1cbed37b
22:39:35.1 (8986723)|STATEMENT_EXECUTE|[20]
22:39:35.1 (9045296)|SYSTEM_METHOD_ENTRY|[20]|List<Service_Log__c>.add(Object)
22:39:35.1 (9075500)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:35.1 (9085161)|SYSTEM_METHOD_EXIT|[20]|List<Service_Log__c>.add(Object)
22:39:35.1 (9095885)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:35.1 (9107535)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:35.1 (9114640)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:35.1 (9128532)|VARIABLE_ASSIGNMENT|[16]|evt|null|
22:39:35.1 (9140045)|SYSTEM_METHOD_ENTRY|[23]|List<Service_Log__c>.isEmpty()
22:39:35.1 (9151750)|SYSTEM_METHOD_EXIT|[23]|List<Service_Log__c>.isEmpty()
22:39:35.1 (9157595)|STATEMENT_EXECUTE|[23]
22:39:35.1 (9159068)|STATEMENT_EXECUTE|[24]
22:39:35.1 (9294469)|VARIABLE_SCOPE_BEGIN|[17]|ServiceLog.Error_Message_MAX_SIZE|Integer|false|true
22:39:35.1 (9307994)|VARIABLE_SCOPE_BEGIN|[24]|ServiceLog.MAX_PAYLOAD_SIZE|Integer|false|true
22:39:35.1 (9314601)|VARIABLE_SCOPE_BEGIN|[21]|ServiceLog.RequestBody_MAX_SIZE|Integer|false|true
22:39:35.1 (9320836)|VARIABLE_SCOPE_BEGIN|[19]|ServiceLog.RequestHeaders_MAX_SIZE|Integer|false|true
22:39:35.1 (9326785)|VARIABLE_SCOPE_BEGIN|[20]|ServiceLog.RequestParameters_MAX_SIZE|Integer|false|true
22:39:35.1 (9332948)|VARIABLE_SCOPE_BEGIN|[18]|ServiceLog.RequestURI_MAX_SIZE|Integer|false|true
22:39:35.1 (9339078)|VARIABLE_SCOPE_BEGIN|[22]|ServiceLog.ResponseBody_MAX_SIZE|Integer|false|true
22:39:35.1 (9345548)|VARIABLE_SCOPE_BEGIN|[23]|ServiceLog.ResponseHeaders_MAX_SIZE|Integer|false|true
22:39:35.1 (9352288)|VARIABLE_SCOPE_BEGIN|[15]|ServiceLog.includeRequestBody|Boolean|false|true
22:39:35.1 (9358859)|VARIABLE_SCOPE_BEGIN|[13]|ServiceLog.log|ServiceLog|true|true
22:39:35.1 (9366423)|VARIABLE_SCOPE_BEGIN|[11]|ServiceLog.logList|List<Service_Log__c>|true|true
22:39:35.1 (9373672)|VARIABLE_SCOPE_BEGIN|[14]|ServiceLog.serviceLogName|String|false|true
22:39:35.1 (9381123)|VARIABLE_SCOPE_BEGIN|[9]|ServiceLog.settings|AppSettings|true|true
22:39:35.1 (9402953)|HEAP_ALLOCATE|[24]|Bytes:88
22:39:35.1 (9410978)|HEAP_ALLOCATE|[24]|Bytes:84
22:39:35.1 (9414761)|HEAP_ALLOCATE|[24]|Bytes:19
22:39:35.1 (9493344)|METHOD_ENTRY|[8]|01p3600000JZQWB|ServiceLog.ServiceLog()
22:39:35.1 (9500879)|STATEMENT_EXECUTE|[8]
22:39:35.1 (9505072)|STATEMENT_EXECUTE|[8]
22:39:35.1 (9517940)|HEAP_ALLOCATE|[9]|Bytes:5
22:39:35.1 (9523247)|STATEMENT_EXECUTE|[9]
22:39:35.1 (9527088)|HEAP_ALLOCATE|[9]|Bytes:29
22:39:35.1 (9532187)|HEAP_ALLOCATE|[9]|Bytes:44
22:39:35.1 (9539862)|METHOD_ENTRY|[11]|01pbV0000002xX3|AppSettings.AppSettings()
22:39:35.1 (9543863)|STATEMENT_EXECUTE|[11]
22:39:35.1 (9546617)|STATEMENT_EXECUTE|[11]
22:39:35.1 (10867791)|SYSTEM_MODE_ENTER|false
22:39:35.1 (10893664)|HEAP_ALLOCATE|[9]|Bytes:5
22:39:35.1 (10903822)|STATEMENT_EXECUTE|[131]
22:39:35.1 (10911093)|SYSTEM_MODE_EXIT|false
22:39:35.1 (10935892)|METHOD_EXIT|[11]|AppSettings
22:39:35.1 (10945149)|HEAP_ALLOCATE|[9]|Bytes:12
22:39:35.1 (10951336)|HEAP_ALLOCATE|[9]|Bytes:10
22:39:35.1 (10980081)|CONSTRUCTOR_ENTRY|[9]|01pbV0000002xX3|<init>(String)|AppSettings
22:39:35.1 (11011343)|VARIABLE_SCOPE_BEGIN|[16]|this|AppSettings|true|false
22:39:35.1 (11090582)|VARIABLE_ASSIGNMENT|[16]|this|{}|0x78a6adcb
22:39:35.1 (11096410)|VARIABLE_SCOPE_BEGIN|[16]|applicationName|String|false|false
22:39:35.1 (11108566)|VARIABLE_ASSIGNMENT|[16]|applicationName|"ServiceLog"
22:39:35.1 (11128950)|SYSTEM_MODE_ENTER|false
22:39:35.1 (11136370)|HEAP_ALLOCATE|[17]|Bytes:5
22:39:35.1 (11141284)|STATEMENT_EXECUTE|[11]
22:39:35.1 (11143859)|HEAP_ALLOCATE|[17]|Bytes:5
22:39:35.1 (11146715)|STATEMENT_EXECUTE|[12]
22:39:35.1 (11147902)|STATEMENT_EXECUTE|[13]
22:39:35.1 (11170346)|STATEMENT_EXECUTE|[16]
22:39:35.1 (11171844)|STATEMENT_EXECUTE|[17]
22:39:35.1 (11196135)|VARIABLE_ASSIGNMENT|[17]|this.applicationName|"ServiceLog"|0x78a6adcb
22:39:35.1 (11202551)|STATEMENT_EXECUTE|[18]
22:39:35.1 (11298400)|HEAP_ALLOCATE|[18]|Bytes:22
22:39:35.1 (11312833)|METHOD_ENTRY|[1]|01pbV0000000ZVh|ApplicationSettings_Util.ApplicationSettings_Util()
22:39:35.1 (11357823)|STATEMENT_EXECUTE|[1]
22:39:35.1 (11361677)|STATEMENT_EXECUTE|[1]
22:39:35.1 (11367019)|HEAP_ALLOCATE|[18]|Bytes:5
22:39:35.1 (11377319)|METHOD_EXIT|[1]|ApplicationSettings_Util
22:39:35.1 (11397240)|METHOD_ENTRY|[18]|01pbV0000000ZVh|ApplicationSettings_Util.getApplicationConfigurationsByAppName(String)
