66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:39:36.1 (1388921)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:39:36.1 (1543192)|EXECUTION_STARTED
22:39:36.1 (1569546)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:39:36.1 (1644845)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:36.1 (2517070)|HEAP_ALLOCATE|[95]|Bytes:3
22:39:36.1 (2582380)|HEAP_ALLOCATE|[100]|Bytes:152
22:39:36.1 (2609725)|HEAP_ALLOCATE|[417]|Bytes:408
22:39:36.1 (2656093)|HEAP_ALLOCATE|[430]|Bytes:408
22:39:36.1 (2690503)|HEAP_ALLOCATE|[317]|Bytes:6
22:39:36.1 (2714799)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:36.1 (2723147)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:36.1 (2871262)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x64fb176c
22:39:36.1 (2927529)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:36.1 (2933969)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:36.1 (2958661)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x64fb176c
22:39:36.1 (2968858)|STATEMENT_EXECUTE|[12]
22:39:36.1 (2970678)|STATEMENT_EXECUTE|[13]
22:39:36.1 (3127444)|HEAP_ALLOCATE|[13]|Bytes:4
22:39:36.1 (3243399)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:39:36.1 (3286330)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:39:36.1 (3345859)|HEAP_ALLOCATE|[68]|Bytes:5
22:39:36.1 (3384929)|HEAP_ALLOCATE|[74]|Bytes:5
22:39:36.1 (3396349)|HEAP_ALLOCATE|[82]|Bytes:7
22:39:36.1 (3683517)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:36.1 (3724728)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x64fb176c
22:39:36.1 (3879600)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:39:36.1 (4077625)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:39:36.1 (4101415)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:36.1 (4120309)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:36.1 (4128535)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:36.1 (4181824)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
