66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:39:37.1 (1835061)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:39:37.1 (2009904)|EXECUTION_STARTED
22:39:37.1 (2045398)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:39:37.1 (2150950)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:37.1 (3344540)|HEAP_ALLOCATE|[95]|Bytes:3
22:39:37.1 (3431563)|HEAP_ALLOCATE|[100]|Bytes:152
22:39:37.1 (3454122)|HEAP_ALLOCATE|[417]|Bytes:408
22:39:37.1 (3476784)|HEAP_ALLOCATE|[430]|Bytes:408
22:39:37.1 (3513947)|HEAP_ALLOCATE|[317]|Bytes:6
22:39:37.1 (3547493)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:37.1 (3559040)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:37.1 (3741161)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x36df0770
22:39:37.1 (3815146)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:37.1 (3822853)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:37.1 (3848949)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x36df0770
22:39:37.1 (3860201)|STATEMENT_EXECUTE|[12]
22:39:37.1 (3863417)|STATEMENT_EXECUTE|[13]
22:39:37.1 (4132259)|HEAP_ALLOCATE|[13]|Bytes:4
22:39:37.1 (4244820)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:39:37.1 (4307043)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:39:37.1 (4357384)|HEAP_ALLOCATE|[68]|Bytes:5
22:39:37.1 (4404112)|HEAP_ALLOCATE|[74]|Bytes:5
22:39:37.1 (4415733)|HEAP_ALLOCATE|[82]|Bytes:7
22:39:37.1 (4748813)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:37.1 (4813150)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x36df0770
