66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:39:40.1 (1220250)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:39:40.1 (1311090)|EXECUTION_STARTED
22:39:40.1 (1340762)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:39:40.1 (1394056)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:40.1 (2158898)|HEAP_ALLOCATE|[95]|Bytes:3
22:39:40.1 (2211005)|HEAP_ALLOCATE|[100]|Bytes:152
22:39:40.1 (2227413)|HEAP_ALLOCATE|[417]|Bytes:408
22:39:40.1 (2245893)|HEAP_ALLOCATE|[430]|Bytes:408
22:39:40.1 (2274338)|HEAP_ALLOCATE|[317]|Bytes:6
22:39:40.1 (2300189)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:40.1 (2314931)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:40.1 (2532374)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x5bc9ed16
22:39:40.1 (2574180)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:40.1 (2581557)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:40.1 (2600141)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x5bc9ed16
22:39:40.1 (2608528)|STATEMENT_EXECUTE|[12]
22:39:40.1 (2610066)|STATEMENT_EXECUTE|[13]
22:39:40.1 (2764852)|HEAP_ALLOCATE|[13]|Bytes:4
22:39:40.1 (2831176)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:39:40.1 (2885031)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:39:40.1 (2911505)|HEAP_ALLOCATE|[68]|Bytes:5
22:39:40.1 (3005067)|HEAP_ALLOCATE|[74]|Bytes:5
22:39:40.1 (3016104)|HEAP_ALLOCATE|[82]|Bytes:7
22:39:40.1 (3286598)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:40.1 (3339055)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x5bc9ed16
22:39:40.1 (3482229)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:39:40.1 (3646444)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:39:40.1 (3664642)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:40.1 (3679182)|HEAP_ALLOCATE|[16]|Bytes:5
