66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:39:43.0 (979979)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:39:43.0 (1063724)|EXECUTION_STARTED
22:39:43.0 (1088556)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:39:43.0 (1155649)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:43.0 (2038545)|HEAP_ALLOCATE|[95]|Bytes:3
22:39:43.0 (2088021)|HEAP_ALLOCATE|[100]|Bytes:152
22:39:43.0 (2104580)|HEAP_ALLOCATE|[417]|Bytes:408
22:39:43.0 (2118741)|HEAP_ALLOCATE|[430]|Bytes:408
22:39:43.0 (2144305)|HEAP_ALLOCATE|[317]|Bytes:6
22:39:43.0 (2162560)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:43.0 (2174778)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:43.0 (2280422)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x3b63049
22:39:43.0 (2311791)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:43.0 (2316369)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:43.0 (2330399)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x3b63049
22:39:43.0 (2336836)|STATEMENT_EXECUTE|[12]
22:39:43.0 (2338258)|STATEMENT_EXECUTE|[13]
22:39:43.0 (2457494)|HEAP_ALLOCATE|[13]|Bytes:4
22:39:43.0 (2509098)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:39:43.0 (2538525)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:39:43.0 (2558096)|HEAP_ALLOCATE|[68]|Bytes:5
22:39:43.0 (2582345)|HEAP_ALLOCATE|[74]|Bytes:5
22:39:43.0 (2588437)|HEAP_ALLOCATE|[82]|Bytes:7
22:39:43.0 (2795548)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:43.0 (2828703)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x3b63049
