66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:39:44.1 (1046107)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:39:44.1 (1135511)|EXECUTION_STARTED
22:39:44.1 (1159962)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:39:44.1 (1238413)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:44.1 (2097803)|HEAP_ALLOCATE|[95]|Bytes:3
22:39:44.1 (2148301)|HEAP_ALLOCATE|[100]|Bytes:152
22:39:44.1 (2162222)|HEAP_ALLOCATE|[417]|Bytes:408
22:39:44.1 (2173724)|HEAP_ALLOCATE|[430]|Bytes:408
22:39:44.1 (2193504)|HEAP_ALLOCATE|[317]|Bytes:6
22:39:44.1 (2211336)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:44.1 (2223067)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:44.1 (2318167)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x4cd6bb75
22:39:44.1 (2348639)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:44.1 (2352965)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:44.1 (2365623)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x4cd6bb75
22:39:44.1 (2372058)|STATEMENT_EXECUTE|[12]
22:39:44.1 (2373462)|STATEMENT_EXECUTE|[13]
22:39:44.1 (2502145)|HEAP_ALLOCATE|[13]|Bytes:4
22:39:44.1 (2558459)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:39:44.1 (2586935)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:39:44.1 (2607124)|HEAP_ALLOCATE|[68]|Bytes:5
22:39:44.1 (2629831)|HEAP_ALLOCATE|[74]|Bytes:5
22:39:44.1 (2635870)|HEAP_ALLOCATE|[82]|Bytes:7
22:39:44.1 (2834073)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:44.1 (2863227)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x4cd6bb75
22:39:44.1 (2967571)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:39:44.1 (3068639)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:39:44.1 (3086000)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:44.1 (3100058)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:44.1 (3104746)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:44.1 (3140284)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:39:44.1 (3277817)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (17981 more) ...","ReplayId":"28143991","EventUuid":"e1b2a41c-cb19-473d-8 (16 more) ...","CreatedDate":"2026-02-22T06:39:44.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5XLEAY"}|0x2455980c
22:39:44.1 (3284828)|STATEMENT_EXECUTE|[16]
22:39:44.1 (3285902)|STATEMENT_EXECUTE|[17]
22:39:44.1 (3331620)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:39:44.1 (3350054)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:39:44.1 (3370377)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
22:39:44.1 (3377764)|VARIABLE_ASSIGNMENT|[17]|log|"{\"attributes\":{\"type (17981 more) ..."
22:39:44.1 (3380055)|STATEMENT_EXECUTE|[18]
22:39:44.1 (3382427)|HEAP_ALLOCATE|[18]|Bytes:40
22:39:44.1 (3471744)|HEAP_ALLOCATE|[18]|Bytes:33
22:39:44.1 (3491992)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
22:39:44.1 (3494573)|STATEMENT_EXECUTE|[1]
22:39:44.1 (3503936)|SYSTEM_METHOD_EXIT|[1]|Type
22:39:44.1 (3507504)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:44.1 (3520448)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:44.1 (3523832)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
22:39:44.1 (3566077)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x49ff8c4a
22:39:44.1 (3569987)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
22:39:44.1 (3688740)|VARIABLE_ASSIGNMENT|[4]|apextype|"Service_Log__c"|0x4162f881
22:39:44.1 (6334332)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:44.1 (6391776)|HEAP_ALLOCATE|[18]|Bytes:24
22:39:44.1 (6407111)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
22:39:44.1 (6411774)|STATEMENT_EXECUTE|[1]
22:39:44.1 (6418029)|SYSTEM_METHOD_EXIT|[1]|JSON
22:39:44.1 (6428956)|METHOD_ENTRY|[18]||System.JSON.deserializeStrict(String, System.Type)
22:39:44.1 (7208094)|METHOD_EXIT|[18]||System.JSON.deserializeStrict(String, System.Type)
22:39:44.1 (7226075)|VARIABLE_SCOPE_BEGIN|[18]|newLog|Service_Log__c|true|false
22:39:44.1 (7309700)|VARIABLE_ASSIGNMENT|[18]|newLog|{"Service_Name__c":"Google Maps - Get Ad (5 more) ...","Method__c":"GET","Direction__c":"Outbound","Service_Start__c":"2026-02-22T06:39:44.139Z","Category__c":"Google Maps","RequestBody__c":"","ResponseBody__c":"{\n   \"plus_code\" : \n (15881 more) ...","attributes":{"type":"Service_Log__c"},"Service_End__c":"2026-02-22T06:39:44.248Z","RequestURI__c":"callout:GoogleMaps/g (95 more) ...","ResponseStatusCode__c":200.0,"ResponseHeaders__c":"(Alt-Svc, Server, Ac (143 more) ..."}|0x7c992737
22:39:44.1 (7316105)|STATEMENT_EXECUTE|[19]
22:39:44.1 (7354264)|HEAP_ALLOCATE|[19]|Bytes:4
22:39:44.1 (7477415)|HEAP_ALLOCATE|[19]|Bytes:-4
22:39:44.1 (7524316)|VARIABLE_ASSIGNMENT|[19]|this.OwnerId|"00536000006CafHAAS"|0x7c992737
22:39:44.1 (7530310)|STATEMENT_EXECUTE|[20]
22:39:44.1 (7573928)|SYSTEM_METHOD_ENTRY|[20]|List<Service_Log__c>.add(Object)
22:39:44.1 (7596662)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:44.1 (7602051)|SYSTEM_METHOD_EXIT|[20]|List<Service_Log__c>.add(Object)
22:39:44.1 (7609774)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:44.1 (7618492)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:44.1 (7622472)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:44.1 (7632567)|VARIABLE_ASSIGNMENT|[16]|evt|null|
22:39:44.1 (7639819)|SYSTEM_METHOD_ENTRY|[23]|List<Service_Log__c>.isEmpty()
22:39:44.1 (7646433)|SYSTEM_METHOD_EXIT|[23]|List<Service_Log__c>.isEmpty()
22:39:44.1 (7651031)|STATEMENT_EXECUTE|[23]
22:39:44.1 (7651969)|STATEMENT_EXECUTE|[24]
22:39:44.1 (7748113)|VARIABLE_SCOPE_BEGIN|[17]|ServiceLog.Error_Message_MAX_SIZE|Integer|false|true
22:39:44.1 (7753427)|VARIABLE_SCOPE_BEGIN|[24]|ServiceLog.MAX_PAYLOAD_SIZE|Integer|false|true
22:39:44.1 (7761564)|VARIABLE_SCOPE_BEGIN|[21]|ServiceLog.RequestBody_MAX_SIZE|Integer|false|true
22:39:44.1 (7765235)|VARIABLE_SCOPE_BEGIN|[19]|ServiceLog.RequestHeaders_MAX_SIZE|Integer|false|true
22:39:44.1 (7768896)|VARIABLE_SCOPE_BEGIN|[20]|ServiceLog.RequestParameters_MAX_SIZE|Integer|false|true
22:39:44.1 (7772377)|VARIABLE_SCOPE_BEGIN|[18]|ServiceLog.RequestURI_MAX_SIZE|Integer|false|true
