66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:39:47.1 (1092354)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:39:47.1 (1191678)|EXECUTION_STARTED
22:39:47.1 (1218493)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:39:47.1 (1299330)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:47.1 (2025228)|HEAP_ALLOCATE|[95]|Bytes:3
22:39:47.1 (2087579)|HEAP_ALLOCATE|[100]|Bytes:152
22:39:47.1 (2104869)|HEAP_ALLOCATE|[417]|Bytes:408
22:39:47.1 (2122614)|HEAP_ALLOCATE|[430]|Bytes:408
22:39:47.1 (2153068)|HEAP_ALLOCATE|[317]|Bytes:6
22:39:47.1 (2177338)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:47.1 (2192338)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:47.1 (2319740)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x7cc87f28
22:39:47.1 (2363510)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:47.1 (2369966)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:47.1 (2421287)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x7cc87f28
22:39:47.1 (2431020)|STATEMENT_EXECUTE|[12]
22:39:47.1 (2432695)|STATEMENT_EXECUTE|[13]
22:39:47.1 (2578358)|HEAP_ALLOCATE|[13]|Bytes:4
22:39:47.1 (2678937)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:39:47.1 (2717490)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:39:47.1 (2747112)|HEAP_ALLOCATE|[68]|Bytes:5
22:39:47.1 (2778091)|HEAP_ALLOCATE|[74]|Bytes:5
22:39:47.1 (2787866)|HEAP_ALLOCATE|[82]|Bytes:7
22:39:47.1 (3007651)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:47.1 (3044876)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x7cc87f28
22:39:47.1 (3178798)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:39:47.1 (3310891)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:39:47.1 (3332368)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:47.1 (3348707)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:47.1 (3355027)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:47.1 (3403048)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:39:47.1 (3594527)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (3327 more) ...","ReplayId":"28143994","EventUuid":"452059b6-7a45-4512-8 (16 more) ...","CreatedDate":"2026-02-22T06:39:47.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5XOEAY"}|0x21bb595
22:39:47.1 (3604223)|STATEMENT_EXECUTE|[16]
22:39:47.1 (3605785)|STATEMENT_EXECUTE|[17]
22:39:47.1 (3661255)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:39:47.1 (3686069)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:39:47.1 (3712994)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
