66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:39:48.0 (964150)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:39:48.0 (1049346)|EXECUTION_STARTED
22:39:48.0 (1072890)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:39:48.0 (1136497)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:48.0 (1881774)|HEAP_ALLOCATE|[95]|Bytes:3
22:39:48.0 (1931559)|HEAP_ALLOCATE|[100]|Bytes:152
22:39:48.0 (1944858)|HEAP_ALLOCATE|[417]|Bytes:408
22:39:48.0 (1956156)|HEAP_ALLOCATE|[430]|Bytes:408
22:39:48.0 (1977331)|HEAP_ALLOCATE|[317]|Bytes:6
22:39:48.0 (1994863)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:48.0 (2006822)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:48.0 (2108195)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x67c281e6
22:39:48.0 (2138857)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:48.0 (2143423)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:48.0 (2157119)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x67c281e6
22:39:48.0 (2163374)|STATEMENT_EXECUTE|[12]
22:39:48.0 (2164534)|STATEMENT_EXECUTE|[13]
22:39:48.0 (2288438)|HEAP_ALLOCATE|[13]|Bytes:4
22:39:48.0 (2343387)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:39:48.0 (2376051)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:39:48.0 (2397580)|HEAP_ALLOCATE|[68]|Bytes:5
22:39:48.0 (2422066)|HEAP_ALLOCATE|[74]|Bytes:5
22:39:48.0 (2429422)|HEAP_ALLOCATE|[82]|Bytes:7
22:39:48.0 (2629610)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:48.0 (2662468)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x67c281e6
22:39:48.0 (2773456)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:39:48.0 (2885295)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:39:48.0 (2902782)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:48.0 (2917106)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:48.0 (2921973)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:48.0 (2960207)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:39:48.0 (3108885)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (17981 more) ...","ReplayId":"28143998","EventUuid":"c35e4d01-282e-406a-9 (16 more) ...","CreatedDate":"2026-02-22T06:39:48.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5XSEAY"}|0x17c3077e
22:39:48.0 (3116742)|STATEMENT_EXECUTE|[16]
22:39:48.0 (3118087)|STATEMENT_EXECUTE|[17]
22:39:48.0 (3162231)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:39:48.0 (3180648)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:39:48.0 (3201979)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
22:39:48.0 (3281076)|VARIABLE_ASSIGNMENT|[17]|log|"{\"attributes\":{\"type (17981 more) ..."
22:39:48.0 (3284873)|STATEMENT_EXECUTE|[18]
22:39:48.0 (3288452)|HEAP_ALLOCATE|[18]|Bytes:40
22:39:48.0 (3407209)|HEAP_ALLOCATE|[18]|Bytes:33
22:39:48.0 (3430051)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
