66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:39:56.0 (985317)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:39:56.0 (1135119)|EXECUTION_STARTED
22:39:56.0 (1175060)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:39:56.0 (1281194)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:56.0 (2156504)|HEAP_ALLOCATE|[95]|Bytes:3
22:39:56.0 (2248805)|HEAP_ALLOCATE|[100]|Bytes:152
22:39:56.0 (2268384)|HEAP_ALLOCATE|[417]|Bytes:408
22:39:56.0 (2291003)|HEAP_ALLOCATE|[430]|Bytes:408
22:39:56.0 (2318969)|HEAP_ALLOCATE|[317]|Bytes:6
22:39:56.0 (2340045)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:56.0 (2388723)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:56.0 (2546459)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x5091a7bf
22:39:56.0 (2592189)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:56.0 (2600220)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:56.0 (2625299)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x5091a7bf
22:39:56.0 (2642856)|STATEMENT_EXECUTE|[12]
22:39:56.0 (2644124)|STATEMENT_EXECUTE|[13]
22:39:56.0 (2777575)|HEAP_ALLOCATE|[13]|Bytes:4
22:39:56.0 (2853073)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:39:56.0 (2913277)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:39:56.0 (2938400)|HEAP_ALLOCATE|[68]|Bytes:5
22:39:56.0 (2964741)|HEAP_ALLOCATE|[74]|Bytes:5
22:39:56.0 (2977421)|HEAP_ALLOCATE|[82]|Bytes:7
22:39:56.0 (3156726)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:56.0 (3201763)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x5091a7bf
22:39:56.0 (3329879)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:39:56.0 (3475711)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:39:56.0 (3495072)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:56.0 (3507830)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:56.0 (3514549)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:56.0 (3559799)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:39:56.0 (3743335)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (3327 more) ...","ReplayId":"28144179","EventUuid":"79f69c46-2762-4dae-9 (16 more) ...","CreatedDate":"2026-02-22T06:39:55.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5aNEAQ"}|0x69eab172
22:39:56.0 (3750632)|STATEMENT_EXECUTE|[16]
22:39:56.0 (3751902)|STATEMENT_EXECUTE|[17]
22:39:56.0 (3816268)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:39:56.0 (3849614)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
