66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:39:57.0 (713728)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:39:57.0 (815821)|EXECUTION_STARTED
22:39:57.0 (840561)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:39:57.0 (924066)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:57.0 (1729097)|HEAP_ALLOCATE|[95]|Bytes:3
22:39:57.0 (1789828)|HEAP_ALLOCATE|[100]|Bytes:152
22:39:57.0 (1804959)|HEAP_ALLOCATE|[417]|Bytes:408
22:39:57.0 (1816700)|HEAP_ALLOCATE|[430]|Bytes:408
22:39:57.0 (1842663)|HEAP_ALLOCATE|[317]|Bytes:6
22:39:57.0 (1861876)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:57.0 (1876036)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:57.0 (2011907)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x10d5d499
22:39:57.0 (2055547)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:57.0 (2068498)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:57.0 (2091774)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x10d5d499
22:39:57.0 (2098413)|STATEMENT_EXECUTE|[12]
22:39:57.0 (2099575)|STATEMENT_EXECUTE|[13]
22:39:57.0 (2259557)|HEAP_ALLOCATE|[13]|Bytes:4
22:39:57.0 (2329757)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:39:57.0 (2370312)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:39:57.0 (2517542)|HEAP_ALLOCATE|[68]|Bytes:5
22:39:57.0 (2556347)|HEAP_ALLOCATE|[74]|Bytes:5
22:39:57.0 (2574173)|HEAP_ALLOCATE|[82]|Bytes:7
22:39:57.0 (2875664)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:57.0 (2928485)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x10d5d499
22:39:57.0 (3123608)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:39:57.0 (3400741)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:39:57.0 (3426546)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:57.0 (3445341)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:57.0 (3451857)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:57.0 (3503743)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:39:57.0 (3737161)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (17981 more) ...","ReplayId":"28144222","EventUuid":"5730499d-cc9f-442d-b (16 more) ...","CreatedDate":"2026-02-22T06:39:56.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5b4EAA"}|0x218e25b8
22:39:57.0 (3745986)|STATEMENT_EXECUTE|[16]
22:39:57.0 (3747497)|STATEMENT_EXECUTE|[17]
22:39:57.0 (3806034)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:39:57.0 (3860369)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:39:57.0 (3893030)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
22:39:57.0 (3905812)|VARIABLE_ASSIGNMENT|[17]|log|"{\"attributes\":{\"type (17981 more) ..."
22:39:57.0 (3908412)|STATEMENT_EXECUTE|[18]
22:39:57.0 (3911633)|HEAP_ALLOCATE|[18]|Bytes:40
22:39:57.0 (4070644)|HEAP_ALLOCATE|[18]|Bytes:33
22:39:57.0 (4101537)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
22:39:57.0 (4105109)|STATEMENT_EXECUTE|[1]
22:39:57.0 (4115053)|SYSTEM_METHOD_EXIT|[1]|Type
22:39:57.0 (4120276)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:57.0 (4135759)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:57.0 (4140746)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
22:39:57.0 (4228895)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x10f036bf
22:39:57.0 (4242503)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
22:39:57.0 (4370277)|VARIABLE_ASSIGNMENT|[4]|apextype|"Service_Log__c"|0x20824a26
22:39:57.0 (6991398)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:57.0 (7065858)|HEAP_ALLOCATE|[18]|Bytes:24
22:39:57.0 (7088226)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
22:39:57.0 (7094896)|STATEMENT_EXECUTE|[1]
22:39:57.0 (7103978)|SYSTEM_METHOD_EXIT|[1]|JSON
22:39:57.0 (7120751)|METHOD_ENTRY|[18]||System.JSON.deserializeStrict(String, System.Type)
22:39:57.0 (8058032)|METHOD_EXIT|[18]||System.JSON.deserializeStrict(String, System.Type)
22:39:57.0 (8162353)|VARIABLE_SCOPE_BEGIN|[18]|newLog|Service_Log__c|true|false
22:39:57.0 (8335723)|VARIABLE_ASSIGNMENT|[18]|newLog|{"Service_Name__c":"Google Maps - Get Ad (5 more) ...","Method__c":"GET","Direction__c":"Outbound","Service_Start__c":"2026-02-22T06:39:56.887Z","Category__c":"Google Maps","RequestBody__c":"","ResponseBody__c":"{\n   \"plus_code\" : \n (15881 more) ...","attributes":{"type":"Service_Log__c"},"Service_End__c":"2026-02-22T06:39:56.941Z","RequestURI__c":"callout:GoogleMaps/g (95 more) ...","ResponseStatusCode__c":200.0,"ResponseHeaders__c":"(Alt-Svc, Server, Ac (143 more) ..."}|0x65c50b45
22:39:57.0 (8348366)|STATEMENT_EXECUTE|[19]
22:39:57.0 (8426767)|HEAP_ALLOCATE|[19]|Bytes:4
22:39:57.0 (8639644)|HEAP_ALLOCATE|[19]|Bytes:-4
22:39:57.0 (8711302)|VARIABLE_ASSIGNMENT|[19]|this.OwnerId|"00536000006CafHAAS"|0x65c50b45
22:39:57.0 (8719463)|STATEMENT_EXECUTE|[20]
22:39:57.0 (8908543)|SYSTEM_METHOD_ENTRY|[20]|List<Service_Log__c>.add(Object)
22:39:57.0 (8954014)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:57.0 (8965248)|SYSTEM_METHOD_EXIT|[20]|List<Service_Log__c>.add(Object)
22:39:57.0 (8976947)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:57.0 (8990430)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:57.0 (8998858)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:57.0 (9023411)|VARIABLE_ASSIGNMENT|[16]|evt|null|
22:39:57.0 (9047050)|SYSTEM_METHOD_ENTRY|[23]|List<Service_Log__c>.isEmpty()
22:39:57.0 (9060759)|SYSTEM_METHOD_EXIT|[23]|List<Service_Log__c>.isEmpty()
