66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:40:00.0 (692806)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:40:00.0 (803175)|EXECUTION_STARTED
22:40:00.0 (866335)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:40:00.0 (958898)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:00.0 (1853441)|HEAP_ALLOCATE|[95]|Bytes:3
22:40:00.0 (1982415)|HEAP_ALLOCATE|[100]|Bytes:152
22:40:00.0 (1996724)|HEAP_ALLOCATE|[417]|Bytes:408
22:40:00.0 (2007825)|HEAP_ALLOCATE|[430]|Bytes:408
22:40:00.0 (2030869)|HEAP_ALLOCATE|[317]|Bytes:6
22:40:00.0 (2050771)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:00.0 (2124677)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:00.0 (2281523)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x14cbfb29
22:40:00.0 (2328428)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:00.0 (2344522)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:00.0 (2393224)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x14cbfb29
22:40:00.0 (2407737)|STATEMENT_EXECUTE|[12]
22:40:00.0 (2409316)|STATEMENT_EXECUTE|[13]
22:40:00.0 (2578358)|HEAP_ALLOCATE|[13]|Bytes:4
22:40:00.0 (2684871)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:40:00.0 (2777383)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:40:00.0 (2805747)|HEAP_ALLOCATE|[68]|Bytes:5
22:40:00.0 (2842097)|HEAP_ALLOCATE|[74]|Bytes:5
22:40:00.0 (2852314)|HEAP_ALLOCATE|[82]|Bytes:7
22:40:00.0 (3097968)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:00.0 (3143720)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x14cbfb29
22:40:00.0 (3300154)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:40:00.0 (3435492)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:40:00.0 (3452798)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:00.0 (3466950)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:00.0 (3489434)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:00.0 (3534399)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:40:00.0 (3708497)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (3327 more) ...","ReplayId":"28144231","EventUuid":"7f2a4db0-4465-41f7-a (16 more) ...","CreatedDate":"2026-02-22T06:40:00.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5bDEAQ"}|0x1960f05c
22:40:00.0 (3715943)|STATEMENT_EXECUTE|[16]
22:40:00.0 (3717153)|STATEMENT_EXECUTE|[17]
