66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:40:02.0 (604658)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:40:02.0 (698171)|EXECUTION_STARTED
22:40:02.0 (721825)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:40:02.0 (794449)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:02.0 (1480697)|HEAP_ALLOCATE|[95]|Bytes:3
22:40:02.0 (1531791)|HEAP_ALLOCATE|[100]|Bytes:152
22:40:02.0 (1546386)|HEAP_ALLOCATE|[417]|Bytes:408
22:40:02.0 (1557564)|HEAP_ALLOCATE|[430]|Bytes:408
22:40:02.0 (1578236)|HEAP_ALLOCATE|[317]|Bytes:6
22:40:02.0 (1595979)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:02.0 (1605565)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:02.0 (1748582)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x32d0f1ba
22:40:02.0 (1783320)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:02.0 (1787775)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:02.0 (1802046)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x32d0f1ba
22:40:02.0 (1808787)|STATEMENT_EXECUTE|[12]
22:40:02.0 (1809749)|STATEMENT_EXECUTE|[13]
22:40:02.0 (1948781)|HEAP_ALLOCATE|[13]|Bytes:4
22:40:02.0 (2006672)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:40:02.0 (2037829)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:40:02.0 (2057451)|HEAP_ALLOCATE|[68]|Bytes:5
22:40:02.0 (2081780)|HEAP_ALLOCATE|[74]|Bytes:5
22:40:02.0 (2088111)|HEAP_ALLOCATE|[82]|Bytes:7
22:40:02.0 (2281086)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:02.0 (2309970)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x32d0f1ba
22:40:02.0 (2419692)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:40:02.0 (2522008)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:40:02.0 (2538243)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:02.0 (2551361)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:02.0 (2555351)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:02.0 (2592076)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:40:02.0 (2749023)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (17981 more) ...","ReplayId":"28144236","EventUuid":"6e7da2ac-b9cc-4398-b (16 more) ...","CreatedDate":"2026-02-22T06:40:01.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5bIEAQ"}|0x55f9ce8d
22:40:02.0 (2755637)|STATEMENT_EXECUTE|[16]
22:40:02.0 (2756933)|STATEMENT_EXECUTE|[17]
22:40:02.0 (2851529)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:40:02.0 (2871748)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:40:02.0 (2895217)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
22:40:02.0 (2903958)|VARIABLE_ASSIGNMENT|[17]|log|"{\"attributes\":{\"type (17981 more) ..."
22:40:02.0 (2906328)|STATEMENT_EXECUTE|[18]
22:40:02.0 (2908838)|HEAP_ALLOCATE|[18]|Bytes:40
22:40:02.0 (3004026)|HEAP_ALLOCATE|[18]|Bytes:33
22:40:02.0 (3027145)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
22:40:02.0 (3029909)|STATEMENT_EXECUTE|[1]
22:40:02.0 (3038723)|SYSTEM_METHOD_EXIT|[1]|Type
22:40:02.0 (3042559)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:02.0 (3056027)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:02.0 (3059277)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
22:40:02.0 (3103832)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x555829ed
22:40:02.0 (3107594)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
22:40:02.0 (3254692)|VARIABLE_ASSIGNMENT|[4]|apextype|"Service_Log__c"|0x2949375c
22:40:02.0 (5860758)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:02.0 (5923782)|HEAP_ALLOCATE|[18]|Bytes:24
22:40:02.0 (5943603)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
22:40:02.0 (5948723)|STATEMENT_EXECUTE|[1]
22:40:02.0 (5955000)|SYSTEM_METHOD_EXIT|[1]|JSON
22:40:02.0 (5967594)|METHOD_ENTRY|[18]||System.JSON.deserializeStrict(String, System.Type)
22:40:02.0 (6741781)|METHOD_EXIT|[18]||System.JSON.deserializeStrict(String, System.Type)
22:40:02.0 (6758962)|VARIABLE_SCOPE_BEGIN|[18]|newLog|Service_Log__c|true|false
22:40:02.0 (6841361)|VARIABLE_ASSIGNMENT|[18]|newLog|{"Service_Name__c":"Google Maps - Get Ad (5 more) ...","Method__c":"GET","Direction__c":"Outbound","Service_Start__c":"2026-02-22T06:40:01.390Z","Category__c":"Google Maps","RequestBody__c":"","ResponseBody__c":"{\n   \"plus_code\" : \n (15881 more) ...","attributes":{"type":"Service_Log__c"},"Service_End__c":"2026-02-22T06:40:01.458Z","RequestURI__c":"callout:GoogleMaps/g (95 more) ...","ResponseStatusCode__c":200.0,"ResponseHeaders__c":"(Alt-Svc, Server, Ac (143 more) ..."}|0x5fe6ab4c
22:40:02.0 (6847748)|STATEMENT_EXECUTE|[19]
22:40:02.0 (6887548)|HEAP_ALLOCATE|[19]|Bytes:4
22:40:02.0 (7075886)|HEAP_ALLOCATE|[19]|Bytes:-4
22:40:02.0 (7117311)|VARIABLE_ASSIGNMENT|[19]|this.OwnerId|"00536000006CafHAAS"|0x5fe6ab4c
22:40:02.0 (7121646)|STATEMENT_EXECUTE|[20]
22:40:02.0 (7169771)|SYSTEM_METHOD_ENTRY|[20]|List<Service_Log__c>.add(Object)
22:40:02.0 (7192396)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:02.0 (7197726)|SYSTEM_METHOD_EXIT|[20]|List<Service_Log__c>.add(Object)
22:40:02.0 (7205566)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:02.0 (7214881)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:02.0 (7219015)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:02.0 (7229000)|VARIABLE_ASSIGNMENT|[16]|evt|null|
22:40:02.0 (7236767)|SYSTEM_METHOD_ENTRY|[23]|List<Service_Log__c>.isEmpty()
