66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:40:04.0 (676403)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:40:04.0 (761633)|EXECUTION_STARTED
22:40:04.0 (783629)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:40:04.0 (843417)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:04.0 (1550151)|HEAP_ALLOCATE|[95]|Bytes:3
22:40:04.0 (1592836)|HEAP_ALLOCATE|[100]|Bytes:152
22:40:04.0 (1605609)|HEAP_ALLOCATE|[417]|Bytes:408
22:40:04.0 (1620499)|HEAP_ALLOCATE|[430]|Bytes:408
22:40:04.0 (1640722)|HEAP_ALLOCATE|[317]|Bytes:6
22:40:04.0 (1657537)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:04.0 (1665871)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:04.0 (1759084)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x5c8d9f30
22:40:04.0 (1785389)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:04.0 (1793079)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:04.0 (1806046)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x5c8d9f30
22:40:04.0 (1812297)|STATEMENT_EXECUTE|[12]
22:40:04.0 (1813495)|STATEMENT_EXECUTE|[13]
22:40:04.0 (1926916)|HEAP_ALLOCATE|[13]|Bytes:4
22:40:04.0 (1972173)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:40:04.0 (1999413)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:40:04.0 (2017274)|HEAP_ALLOCATE|[68]|Bytes:5
22:40:04.0 (2040606)|HEAP_ALLOCATE|[74]|Bytes:5
22:40:04.0 (2046828)|HEAP_ALLOCATE|[82]|Bytes:7
22:40:04.0 (2215934)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:04.0 (2245201)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x5c8d9f30
22:40:04.0 (2327457)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:40:04.0 (2427771)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:40:04.0 (2444417)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:04.0 (2455751)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:04.0 (2459574)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:04.0 (2491545)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:40:04.0 (2633320)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (3327 more) ...","ReplayId":"28144242","EventUuid":"02757ff7-8f08-4ea8-b (16 more) ...","CreatedDate":"2026-02-22T06:40:04.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5bOEAQ"}|0x1b5a7bc6
22:40:04.0 (2639651)|STATEMENT_EXECUTE|[16]
22:40:04.0 (2640696)|STATEMENT_EXECUTE|[17]
22:40:04.0 (2679317)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:40:04.0 (2696241)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
