66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:40:06.0 (619547)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:40:06.0 (714701)|EXECUTION_STARTED
22:40:06.0 (740972)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:40:06.0 (824507)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:06.0 (1642728)|HEAP_ALLOCATE|[95]|Bytes:3
22:40:06.0 (1691028)|HEAP_ALLOCATE|[100]|Bytes:152
22:40:06.0 (1705040)|HEAP_ALLOCATE|[417]|Bytes:408
22:40:06.0 (1716472)|HEAP_ALLOCATE|[430]|Bytes:408
22:40:06.0 (1737910)|HEAP_ALLOCATE|[317]|Bytes:6
22:40:06.0 (1754824)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:06.0 (1764145)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:06.0 (1868917)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x1e68cf5b
22:40:06.0 (1918901)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:06.0 (1924329)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:06.0 (1939795)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x1e68cf5b
22:40:06.0 (1945781)|STATEMENT_EXECUTE|[12]
22:40:06.0 (1946875)|STATEMENT_EXECUTE|[13]
22:40:06.0 (2073036)|HEAP_ALLOCATE|[13]|Bytes:4
22:40:06.0 (2131510)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:40:06.0 (2161865)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:40:06.0 (2181418)|HEAP_ALLOCATE|[68]|Bytes:5
22:40:06.0 (2204335)|HEAP_ALLOCATE|[74]|Bytes:5
22:40:06.0 (2210761)|HEAP_ALLOCATE|[82]|Bytes:7
22:40:06.0 (2430669)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:06.0 (2464695)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x1e68cf5b
22:40:06.0 (2569674)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:40:06.0 (2684809)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:40:06.0 (2700126)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:06.0 (2712083)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:06.0 (2716790)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:06.0 (2752393)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:40:06.0 (2900586)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (17981 more) ...","ReplayId":"28144244","EventUuid":"999acd2d-3f10-4495-b (16 more) ...","CreatedDate":"2026-02-22T06:40:06.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5bQEAQ"}|0x44be92d7
22:40:06.0 (2907535)|STATEMENT_EXECUTE|[16]
22:40:06.0 (2909012)|STATEMENT_EXECUTE|[17]
22:40:06.0 (2953532)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
