66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:40:09.0 (910218)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:40:09.0 (1062199)|EXECUTION_STARTED
22:40:09.0 (1108185)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:40:09.0 (1390273)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:09.0 (2692364)|HEAP_ALLOCATE|[95]|Bytes:3
22:40:09.0 (2874375)|HEAP_ALLOCATE|[100]|Bytes:152
22:40:09.0 (2908391)|HEAP_ALLOCATE|[417]|Bytes:408
22:40:09.0 (2931703)|HEAP_ALLOCATE|[430]|Bytes:408
22:40:09.0 (2972837)|HEAP_ALLOCATE|[317]|Bytes:6
22:40:09.0 (3010353)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:09.0 (3049116)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:09.0 (3278942)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x66717bcd
22:40:09.0 (3356784)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:09.0 (3363359)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:09.0 (3404617)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x66717bcd
22:40:09.0 (3420449)|STATEMENT_EXECUTE|[12]
22:40:09.0 (3422494)|STATEMENT_EXECUTE|[13]
22:40:09.0 (3745236)|HEAP_ALLOCATE|[13]|Bytes:4
22:40:09.0 (3877204)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:40:09.0 (3968098)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:40:09.0 (4019090)|HEAP_ALLOCATE|[68]|Bytes:5
22:40:09.0 (4087207)|HEAP_ALLOCATE|[74]|Bytes:5
22:40:09.0 (4098285)|HEAP_ALLOCATE|[82]|Bytes:7
22:40:09.0 (4480126)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:09.0 (4540631)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x66717bcd
22:40:09.0 (4774990)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:40:09.0 (5023210)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:40:09.0 (5067891)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:09.0 (5108474)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:09.0 (5148932)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:09.0 (5259463)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:40:09.0 (5491731)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (3327 more) ...","ReplayId":"28144249","EventUuid":"adad99f4-e623-4606-8 (16 more) ...","CreatedDate":"2026-02-22T06:40:09.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5bVEAQ"}|0x4b7aca8a
22:40:09.0 (5506031)|STATEMENT_EXECUTE|[16]
22:40:09.0 (5508241)|STATEMENT_EXECUTE|[17]
22:40:09.0 (5646145)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:40:09.0 (5688011)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:40:09.0 (5747918)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
22:40:09.0 (5762784)|VARIABLE_ASSIGNMENT|[17]|log|"{\"attributes\":{\"type (3327 more) ..."
22:40:09.0 (5766462)|STATEMENT_EXECUTE|[18]
22:40:09.0 (5769951)|HEAP_ALLOCATE|[18]|Bytes:40
22:40:09.0 (5971796)|HEAP_ALLOCATE|[18]|Bytes:33
22:40:09.0 (6003464)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
22:40:09.0 (6009770)|STATEMENT_EXECUTE|[1]
22:40:09.0 (6028694)|SYSTEM_METHOD_EXIT|[1]|Type
22:40:09.0 (6033814)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:09.0 (6063792)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:09.0 (6068797)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
22:40:09.0 (6135424)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x79986864
22:40:09.0 (6143474)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
22:40:09.0 (6316813)|VARIABLE_ASSIGNMENT|[4]|apextype|"Service_Log__c"|0x1c5121be
22:40:09.0 (9526541)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:09.0 (9636503)|HEAP_ALLOCATE|[18]|Bytes:24
22:40:09.0 (9660031)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
22:40:09.0 (9666861)|STATEMENT_EXECUTE|[1]
22:40:09.0 (9677086)|SYSTEM_METHOD_EXIT|[1]|JSON
22:40:09.0 (9693991)|METHOD_ENTRY|[18]||System.JSON.deserializeStrict(String, System.Type)
22:40:09.0 (11271994)|METHOD_EXIT|[18]||System.JSON.deserializeStrict(String, System.Type)
22:40:09.0 (11311601)|VARIABLE_SCOPE_BEGIN|[18]|newLog|Service_Log__c|true|false
22:40:09.0 (11516135)|VARIABLE_ASSIGNMENT|[18]|newLog|{"Service_Name__c":"Google Maps - Get La (5 more) ...","Method__c":"GET","Direction__c":"Outbound","Service_Start__c":"2026-02-22T06:40:09.181Z","Category__c":"Google Maps","RequestBody__c":"","ResponseBody__c":"{\n   \"results\" : \n   (2445 more) ...","attributes":{"type":"Service_Log__c"},"Service_End__c":"2026-02-22T06:40:09.242Z","RequestURI__c":"callout:GoogleMaps/g (111 more) ...","ResponseStatusCode__c":200.0,"ResponseHeaders__c":"(Alt-Svc, Server, Ac (143 more) ..."}|0x3a284685
22:40:09.0 (11558077)|STATEMENT_EXECUTE|[19]
22:40:09.0 (11685807)|HEAP_ALLOCATE|[19]|Bytes:4
22:40:09.0 (11976544)|HEAP_ALLOCATE|[19]|Bytes:-4
22:40:09.0 (12065509)|VARIABLE_ASSIGNMENT|[19]|this.OwnerId|"00536000006CafHAAS"|0x3a284685
22:40:09.0 (12078206)|STATEMENT_EXECUTE|[20]
22:40:09.0 (12160652)|SYSTEM_METHOD_ENTRY|[20]|List<Service_Log__c>.add(Object)
22:40:09.0 (12207711)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:09.0 (12224384)|SYSTEM_METHOD_EXIT|[20]|List<Service_Log__c>.add(Object)
22:40:09.0 (12250467)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:09.0 (12264489)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:09.0 (12271972)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:09.0 (12290260)|VARIABLE_ASSIGNMENT|[16]|evt|null|
22:40:09.0 (12312700)|SYSTEM_METHOD_ENTRY|[23]|List<Service_Log__c>.isEmpty()
22:40:09.0 (12336616)|SYSTEM_METHOD_EXIT|[23]|List<Service_Log__c>.isEmpty()
22:40:09.0 (12344752)|STATEMENT_EXECUTE|[23]
22:40:09.0 (12346484)|STATEMENT_EXECUTE|[24]
22:40:09.0 (12576339)|VARIABLE_SCOPE_BEGIN|[17]|ServiceLog.Error_Message_MAX_SIZE|Integer|false|true
22:40:09.0 (12622243)|VARIABLE_SCOPE_BEGIN|[24]|ServiceLog.MAX_PAYLOAD_SIZE|Integer|false|true
22:40:09.0 (12640744)|VARIABLE_SCOPE_BEGIN|[21]|ServiceLog.RequestBody_MAX_SIZE|Integer|false|true
22:40:09.0 (12647681)|VARIABLE_SCOPE_BEGIN|[19]|ServiceLog.RequestHeaders_MAX_SIZE|Integer|false|true
22:40:09.0 (12653807)|VARIABLE_SCOPE_BEGIN|[20]|ServiceLog.RequestParameters_MAX_SIZE|Integer|false|true
22:40:09.0 (12679429)|VARIABLE_SCOPE_BEGIN|[18]|ServiceLog.RequestURI_MAX_SIZE|Integer|false|true
22:40:09.0 (12688829)|VARIABLE_SCOPE_BEGIN|[22]|ServiceLog.ResponseBody_MAX_SIZE|Integer|false|true
22:40:09.0 (12695057)|VARIABLE_SCOPE_BEGIN|[23]|ServiceLog.ResponseHeaders_MAX_SIZE|Integer|false|true
22:40:09.0 (12703179)|VARIABLE_SCOPE_BEGIN|[15]|ServiceLog.includeRequestBody|Boolean|false|true
22:40:09.0 (12709249)|VARIABLE_SCOPE_BEGIN|[13]|ServiceLog.log|ServiceLog|true|true
22:40:09.0 (12716075)|VARIABLE_SCOPE_BEGIN|[11]|ServiceLog.logList|List<Service_Log__c>|true|true
22:40:09.0 (12731493)|VARIABLE_SCOPE_BEGIN|[14]|ServiceLog.serviceLogName|String|false|true
22:40:09.0 (12739440)|VARIABLE_SCOPE_BEGIN|[9]|ServiceLog.settings|AppSettings|true|true
22:40:09.0 (12763971)|HEAP_ALLOCATE|[24]|Bytes:88
22:40:09.0 (12795351)|HEAP_ALLOCATE|[24]|Bytes:84
22:40:09.0 (12800768)|HEAP_ALLOCATE|[24]|Bytes:19
22:40:09.0 (12912605)|METHOD_ENTRY|[8]|01p3600000JZQWB|ServiceLog.ServiceLog()
22:40:09.0 (12920326)|STATEMENT_EXECUTE|[8]
22:40:09.0 (12925934)|STATEMENT_EXECUTE|[8]
22:40:09.0 (12950858)|HEAP_ALLOCATE|[9]|Bytes:5
22:40:09.0 (12957788)|STATEMENT_EXECUTE|[9]
22:40:09.0 (12963237)|HEAP_ALLOCATE|[9]|Bytes:29
22:40:09.0 (12971591)|HEAP_ALLOCATE|[9]|Bytes:44
22:40:09.0 (12981222)|METHOD_ENTRY|[11]|01pbV0000002xX3|AppSettings.AppSettings()
22:40:09.0 (12985468)|STATEMENT_EXECUTE|[11]
22:40:09.0 (12988141)|STATEMENT_EXECUTE|[11]
22:40:09.0 (14569453)|SYSTEM_MODE_ENTER|false
22:40:09.0 (14601765)|HEAP_ALLOCATE|[9]|Bytes:5
22:40:09.0 (14613009)|STATEMENT_EXECUTE|[131]
22:40:09.0 (14648656)|SYSTEM_MODE_EXIT|false
22:40:09.0 (14699520)|METHOD_EXIT|[11]|AppSettings
22:40:09.0 (14717544)|HEAP_ALLOCATE|[9]|Bytes:12
22:40:09.0 (14725083)|HEAP_ALLOCATE|[9]|Bytes:10
22:40:09.0 (14754903)|CONSTRUCTOR_ENTRY|[9]|01pbV0000002xX3|<init>(String)|AppSettings
22:40:09.0 (14795636)|VARIABLE_SCOPE_BEGIN|[16]|this|AppSettings|true|false
22:40:09.0 (14891981)|VARIABLE_ASSIGNMENT|[16]|this|{}|0x6c8d5888
22:40:09.0 (14898699)|VARIABLE_SCOPE_BEGIN|[16]|applicationName|String|false|false
22:40:09.0 (14914298)|VARIABLE_ASSIGNMENT|[16]|applicationName|"ServiceLog"
22:40:09.0 (14932232)|SYSTEM_MODE_ENTER|false
22:40:09.0 (14944089)|HEAP_ALLOCATE|[17]|Bytes:5
22:40:09.0 (14949791)|STATEMENT_EXECUTE|[11]
22:40:09.0 (14954527)|HEAP_ALLOCATE|[17]|Bytes:5
22:40:09.0 (14958159)|STATEMENT_EXECUTE|[12]
22:40:09.0 (14959670)|STATEMENT_EXECUTE|[13]
22:40:09.0 (14993541)|STATEMENT_EXECUTE|[16]
22:40:09.0 (14995571)|STATEMENT_EXECUTE|[17]
22:40:09.0 (15029831)|VARIABLE_ASSIGNMENT|[17]|this.applicationName|"ServiceLog"|0x6c8d5888
