66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:40:10.0 (797738)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:40:10.0 (903378)|EXECUTION_STARTED
22:40:10.0 (931652)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:40:10.0 (1021078)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:10.0 (1908136)|HEAP_ALLOCATE|[95]|Bytes:3
22:40:10.0 (1969118)|HEAP_ALLOCATE|[100]|Bytes:152
22:40:10.0 (1988564)|HEAP_ALLOCATE|[417]|Bytes:408
22:40:10.0 (2007654)|HEAP_ALLOCATE|[430]|Bytes:408
22:40:10.0 (2045408)|HEAP_ALLOCATE|[317]|Bytes:6
22:40:10.0 (2072860)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:10.0 (2085426)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:10.0 (2213878)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x1c425ba9
22:40:10.0 (2265244)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:10.0 (2272674)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:10.0 (2300140)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x1c425ba9
22:40:10.0 (2311174)|STATEMENT_EXECUTE|[12]
22:40:10.0 (2313385)|STATEMENT_EXECUTE|[13]
22:40:10.0 (2482602)|HEAP_ALLOCATE|[13]|Bytes:4
22:40:10.0 (2559004)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:40:10.0 (2598644)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:40:10.0 (2633554)|HEAP_ALLOCATE|[68]|Bytes:5
22:40:10.0 (2670835)|HEAP_ALLOCATE|[74]|Bytes:5
22:40:10.0 (2684097)|HEAP_ALLOCATE|[82]|Bytes:7
22:40:10.0 (2929810)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:10.0 (2967838)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x1c425ba9
22:40:10.0 (3163272)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:40:10.0 (3376587)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:40:10.0 (3406429)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:10.0 (3432109)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:10.0 (3441544)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:10.0 (3502714)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:40:10.0 (3744373)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (17981 more) ...","ReplayId":"28144252","EventUuid":"0d040b4d-0bb6-4390-8 (16 more) ...","CreatedDate":"2026-02-22T06:40:10.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5bYEAQ"}|0x49c5aad9
22:40:10.0 (3755419)|STATEMENT_EXECUTE|[16]
22:40:10.0 (3757097)|STATEMENT_EXECUTE|[17]
22:40:10.0 (3825035)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:40:10.0 (3857119)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:40:10.0 (3891179)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
22:40:10.0 (3945055)|VARIABLE_ASSIGNMENT|[17]|log|"{\"attributes\":{\"type (17981 more) ..."
22:40:10.0 (3955085)|STATEMENT_EXECUTE|[18]
22:40:10.0 (3959031)|HEAP_ALLOCATE|[18]|Bytes:40
22:40:10.0 (4104872)|HEAP_ALLOCATE|[18]|Bytes:33
22:40:10.0 (4134182)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
22:40:10.0 (4139093)|STATEMENT_EXECUTE|[1]
22:40:10.0 (4151674)|SYSTEM_METHOD_EXIT|[1]|Type
22:40:10.0 (4157678)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:10.0 (4177039)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:10.0 (4182183)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
22:40:10.0 (4256976)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x34922a55
22:40:10.0 (4263322)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
22:40:10.0 (4475639)|VARIABLE_ASSIGNMENT|[4]|apextype|"Service_Log__c"|0xeada13
22:40:10.0 (7255624)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:10.0 (7343961)|HEAP_ALLOCATE|[18]|Bytes:24
22:40:10.0 (7365375)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
22:40:10.0 (7371832)|STATEMENT_EXECUTE|[1]
22:40:10.0 (7381577)|SYSTEM_METHOD_EXIT|[1]|JSON
22:40:10.0 (7394562)|METHOD_ENTRY|[18]||System.JSON.deserializeStrict(String, System.Type)
22:40:10.0 (8596739)|METHOD_EXIT|[18]||System.JSON.deserializeStrict(String, System.Type)
22:40:10.0 (8620343)|VARIABLE_SCOPE_BEGIN|[18]|newLog|Service_Log__c|true|false
22:40:10.0 (8786435)|VARIABLE_ASSIGNMENT|[18]|newLog|{"Service_Name__c":"Google Maps - Get Ad (5 more) ...","Method__c":"GET","Direction__c":"Outbound","Service_Start__c":"2026-02-22T06:40:10.287Z","Category__c":"Google Maps","RequestBody__c":"","ResponseBody__c":"{\n   \"plus_code\" : \n (15881 more) ...","attributes":{"type":"Service_Log__c"},"Service_End__c":"2026-02-22T06:40:10.362Z","RequestURI__c":"callout:GoogleMaps/g (95 more) ...","ResponseStatusCode__c":200.0,"ResponseHeaders__c":"(Alt-Svc, Server, Ac (143 more) ..."}|0x255fe9a
22:40:10.0 (8799389)|STATEMENT_EXECUTE|[19]
22:40:10.0 (8857796)|HEAP_ALLOCATE|[19]|Bytes:4
22:40:10.0 (9095315)|HEAP_ALLOCATE|[19]|Bytes:-4
22:40:10.0 (9182726)|VARIABLE_ASSIGNMENT|[19]|this.OwnerId|"00536000006CafHAAS"|0x255fe9a
22:40:10.0 (9192370)|STATEMENT_EXECUTE|[20]
22:40:10.0 (9257195)|SYSTEM_METHOD_ENTRY|[20]|List<Service_Log__c>.add(Object)
22:40:10.0 (9291784)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:10.0 (9309457)|SYSTEM_METHOD_EXIT|[20]|List<Service_Log__c>.add(Object)
22:40:10.0 (9323079)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:10.0 (9337492)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:10.0 (9345650)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:10.0 (9360472)|VARIABLE_ASSIGNMENT|[16]|evt|null|
22:40:10.0 (9374450)|SYSTEM_METHOD_ENTRY|[23]|List<Service_Log__c>.isEmpty()
22:40:10.0 (9387864)|SYSTEM_METHOD_EXIT|[23]|List<Service_Log__c>.isEmpty()
22:40:10.0 (9395198)|STATEMENT_EXECUTE|[23]
22:40:10.0 (9396687)|STATEMENT_EXECUTE|[24]
22:40:10.0 (9521526)|VARIABLE_SCOPE_BEGIN|[17]|ServiceLog.Error_Message_MAX_SIZE|Integer|false|true
22:40:10.0 (9529831)|VARIABLE_SCOPE_BEGIN|[24]|ServiceLog.MAX_PAYLOAD_SIZE|Integer|false|true
22:40:10.0 (9539361)|VARIABLE_SCOPE_BEGIN|[21]|ServiceLog.RequestBody_MAX_SIZE|Integer|false|true
22:40:10.0 (9545606)|VARIABLE_SCOPE_BEGIN|[19]|ServiceLog.RequestHeaders_MAX_SIZE|Integer|false|true
22:40:10.0 (9552196)|VARIABLE_SCOPE_BEGIN|[20]|ServiceLog.RequestParameters_MAX_SIZE|Integer|false|true
22:40:10.0 (9557972)|VARIABLE_SCOPE_BEGIN|[18]|ServiceLog.RequestURI_MAX_SIZE|Integer|false|true
22:40:10.0 (9564102)|VARIABLE_SCOPE_BEGIN|[22]|ServiceLog.ResponseBody_MAX_SIZE|Integer|false|true
22:40:10.0 (9570137)|VARIABLE_SCOPE_BEGIN|[23]|ServiceLog.ResponseHeaders_MAX_SIZE|Integer|false|true
22:40:10.0 (9577737)|VARIABLE_SCOPE_BEGIN|[15]|ServiceLog.includeRequestBody|Boolean|false|true
22:40:10.0 (9584136)|VARIABLE_SCOPE_BEGIN|[13]|ServiceLog.log|ServiceLog|true|true
22:40:10.0 (9590426)|VARIABLE_SCOPE_BEGIN|[11]|ServiceLog.logList|List<Service_Log__c>|true|true
22:40:10.0 (9597027)|VARIABLE_SCOPE_BEGIN|[14]|ServiceLog.serviceLogName|String|false|true
22:40:10.0 (9603727)|VARIABLE_SCOPE_BEGIN|[9]|ServiceLog.settings|AppSettings|true|true
