66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:40:14.0 (523553)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:40:14.0 (608017)|EXECUTION_STARTED
22:40:14.0 (630973)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:40:14.0 (702106)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:14.0 (1387238)|HEAP_ALLOCATE|[95]|Bytes:3
22:40:14.0 (1435950)|HEAP_ALLOCATE|[100]|Bytes:152
22:40:14.0 (1449300)|HEAP_ALLOCATE|[417]|Bytes:408
22:40:14.0 (1460819)|HEAP_ALLOCATE|[430]|Bytes:408
22:40:14.0 (1480726)|HEAP_ALLOCATE|[317]|Bytes:6
22:40:14.0 (1498277)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:14.0 (1507153)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:14.0 (1608031)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x4214a1ad
22:40:14.0 (1636352)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:14.0 (1640487)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:14.0 (1653617)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x4214a1ad
22:40:14.0 (1662212)|STATEMENT_EXECUTE|[12]
22:40:14.0 (1663162)|STATEMENT_EXECUTE|[13]
22:40:14.0 (1812794)|HEAP_ALLOCATE|[13]|Bytes:4
22:40:14.0 (1871640)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:40:14.0 (1901427)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:40:14.0 (1923883)|HEAP_ALLOCATE|[68]|Bytes:5
22:40:14.0 (1948305)|HEAP_ALLOCATE|[74]|Bytes:5
22:40:14.0 (1955421)|HEAP_ALLOCATE|[82]|Bytes:7
22:40:14.0 (2145443)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:14.0 (2176524)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x4214a1ad
22:40:14.0 (2275590)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:40:14.0 (2379500)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:40:14.0 (2395389)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:14.0 (2408988)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:14.0 (2413264)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:14.0 (2449431)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:40:14.0 (2604013)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (17981 more) ...","ReplayId":"28144269","EventUuid":"1f4e0a4a-e7b0-41a8-a (16 more) ...","CreatedDate":"2026-02-22T06:40:14.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5bpEAA"}|0xc1780ca
22:40:14.0 (2613629)|STATEMENT_EXECUTE|[16]
22:40:14.0 (2615387)|STATEMENT_EXECUTE|[17]
22:40:14.0 (2669566)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:40:14.0 (2689707)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:40:14.0 (2709670)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
22:40:14.0 (2718251)|VARIABLE_ASSIGNMENT|[17]|log|"{\"attributes\":{\"type (17981 more) ..."
22:40:14.0 (2720474)|STATEMENT_EXECUTE|[18]
22:40:14.0 (2722906)|HEAP_ALLOCATE|[18]|Bytes:40
22:40:14.0 (2819131)|HEAP_ALLOCATE|[18]|Bytes:33
22:40:14.0 (2839174)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
22:40:14.0 (2841871)|STATEMENT_EXECUTE|[1]
22:40:14.0 (2850148)|SYSTEM_METHOD_EXIT|[1]|Type
22:40:14.0 (2853983)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:14.0 (2866883)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:14.0 (2869703)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
22:40:14.0 (2915573)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x3cdc970a
22:40:14.0 (2921265)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
22:40:14.0 (3049347)|VARIABLE_ASSIGNMENT|[4]|apextype|"Service_Log__c"|0x3f353df7
22:40:14.0 (5773886)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:14.0 (5857385)|HEAP_ALLOCATE|[18]|Bytes:24
22:40:14.0 (5888281)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
22:40:14.0 (5894644)|STATEMENT_EXECUTE|[1]
22:40:14.0 (5901895)|SYSTEM_METHOD_EXIT|[1]|JSON
22:40:14.0 (5914544)|METHOD_ENTRY|[18]||System.JSON.deserializeStrict(String, System.Type)
22:40:14.0 (7145800)|METHOD_EXIT|[18]||System.JSON.deserializeStrict(String, System.Type)
22:40:14.0 (7170696)|VARIABLE_SCOPE_BEGIN|[18]|newLog|Service_Log__c|true|false
22:40:14.0 (7307487)|VARIABLE_ASSIGNMENT|[18]|newLog|{"Service_Name__c":"Google Maps - Get Ad (5 more) ...","Method__c":"GET","Direction__c":"Outbound","Service_Start__c":"2026-02-22T06:40:14.729Z","Category__c":"Google Maps","RequestBody__c":"","ResponseBody__c":"{\n   \"plus_code\" : \n (15881 more) ...","attributes":{"type":"Service_Log__c"},"Service_End__c":"2026-02-22T06:40:14.787Z","RequestURI__c":"callout:GoogleMaps/g (95 more) ...","ResponseStatusCode__c":200.0,"ResponseHeaders__c":"(Alt-Svc, Server, Ac (143 more) ..."}|0x2e55bbe4
22:40:14.0 (7315702)|STATEMENT_EXECUTE|[19]
22:40:14.0 (7369846)|HEAP_ALLOCATE|[19]|Bytes:4
22:40:14.0 (7520188)|HEAP_ALLOCATE|[19]|Bytes:-4
22:40:14.0 (7575093)|VARIABLE_ASSIGNMENT|[19]|this.OwnerId|"00536000006CafHAAS"|0x2e55bbe4
22:40:14.0 (7581572)|STATEMENT_EXECUTE|[20]
22:40:14.0 (7635483)|SYSTEM_METHOD_ENTRY|[20]|List<Service_Log__c>.add(Object)
22:40:14.0 (7661039)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:14.0 (7666831)|SYSTEM_METHOD_EXIT|[20]|List<Service_Log__c>.add(Object)
22:40:14.0 (7675078)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:14.0 (7713202)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:14.0 (7718271)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:14.0 (7734333)|VARIABLE_ASSIGNMENT|[16]|evt|null|
22:40:14.0 (7743656)|SYSTEM_METHOD_ENTRY|[23]|List<Service_Log__c>.isEmpty()
22:40:14.0 (7752645)|SYSTEM_METHOD_EXIT|[23]|List<Service_Log__c>.isEmpty()
22:40:14.0 (7757241)|STATEMENT_EXECUTE|[23]
22:40:14.0 (7758461)|STATEMENT_EXECUTE|[24]
22:40:14.0 (7860233)|VARIABLE_SCOPE_BEGIN|[17]|ServiceLog.Error_Message_MAX_SIZE|Integer|false|true
22:40:14.0 (7865037)|VARIABLE_SCOPE_BEGIN|[24]|ServiceLog.MAX_PAYLOAD_SIZE|Integer|false|true
22:40:14.0 (7871496)|VARIABLE_SCOPE_BEGIN|[21]|ServiceLog.RequestBody_MAX_SIZE|Integer|false|true
22:40:14.0 (7874855)|VARIABLE_SCOPE_BEGIN|[19]|ServiceLog.RequestHeaders_MAX_SIZE|Integer|false|true
22:40:14.0 (7878187)|VARIABLE_SCOPE_BEGIN|[20]|ServiceLog.RequestParameters_MAX_SIZE|Integer|false|true
22:40:14.0 (7881518)|VARIABLE_SCOPE_BEGIN|[18]|ServiceLog.RequestURI_MAX_SIZE|Integer|false|true
22:40:14.0 (7884907)|VARIABLE_SCOPE_BEGIN|[22]|ServiceLog.ResponseBody_MAX_SIZE|Integer|false|true
22:40:14.0 (7889240)|VARIABLE_SCOPE_BEGIN|[23]|ServiceLog.ResponseHeaders_MAX_SIZE|Integer|false|true
22:40:14.0 (7892562)|VARIABLE_SCOPE_BEGIN|[15]|ServiceLog.includeRequestBody|Boolean|false|true
22:40:14.0 (7895819)|VARIABLE_SCOPE_BEGIN|[13]|ServiceLog.log|ServiceLog|true|true
22:40:14.0 (7899648)|VARIABLE_SCOPE_BEGIN|[11]|ServiceLog.logList|List<Service_Log__c>|true|true
