66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:40:14.0 (923825)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:40:14.0 (1034874)|EXECUTION_STARTED
22:40:14.0 (1065707)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:40:14.0 (1148318)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:14.0 (1987020)|HEAP_ALLOCATE|[95]|Bytes:3
22:40:14.0 (2046974)|HEAP_ALLOCATE|[100]|Bytes:152
22:40:14.0 (2066547)|HEAP_ALLOCATE|[417]|Bytes:408
22:40:14.0 (2086181)|HEAP_ALLOCATE|[430]|Bytes:408
22:40:14.0 (2132162)|HEAP_ALLOCATE|[317]|Bytes:6
22:40:14.0 (2155110)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:14.0 (2168236)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:14.0 (2299664)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x64ccd144
22:40:14.0 (2345682)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:14.0 (2351292)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:14.0 (2369964)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x64ccd144
22:40:14.0 (2378494)|STATEMENT_EXECUTE|[12]
22:40:14.0 (2379937)|STATEMENT_EXECUTE|[13]
22:40:14.0 (2538001)|HEAP_ALLOCATE|[13]|Bytes:4
22:40:14.0 (2598767)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:40:14.0 (2640827)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:40:14.0 (2672965)|HEAP_ALLOCATE|[68]|Bytes:5
22:40:14.0 (2701298)|HEAP_ALLOCATE|[74]|Bytes:5
22:40:14.0 (2711375)|HEAP_ALLOCATE|[82]|Bytes:7
22:40:14.0 (2967818)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:14.0 (3013840)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x64ccd144
22:40:14.0 (3168606)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:40:14.0 (3289765)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:40:14.0 (3308439)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:14.0 (3325077)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:14.0 (3330742)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:14.0 (3378213)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:40:14.0 (3588007)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (3327 more) ...","ReplayId":"28144261","EventUuid":"efad0596-440d-4d0e-9 (16 more) ...","CreatedDate":"2026-02-22T06:40:13.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5bhEAA"}|0x54813a95
22:40:14.0 (3598335)|STATEMENT_EXECUTE|[16]
22:40:14.0 (3599992)|STATEMENT_EXECUTE|[17]
22:40:14.0 (3654152)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:40:14.0 (3683078)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:40:14.0 (3707584)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
22:40:14.0 (3718654)|VARIABLE_ASSIGNMENT|[17]|log|"{\"attributes\":{\"type (3327 more) ..."
22:40:14.0 (3722134)|STATEMENT_EXECUTE|[18]
22:40:14.0 (3725022)|HEAP_ALLOCATE|[18]|Bytes:40
22:40:14.0 (3834783)|HEAP_ALLOCATE|[18]|Bytes:33
22:40:14.0 (3898601)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
22:40:14.0 (3903290)|STATEMENT_EXECUTE|[1]
22:40:14.0 (3915463)|SYSTEM_METHOD_EXIT|[1]|Type
22:40:14.0 (3921006)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:14.0 (3938760)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:14.0 (3943898)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
22:40:14.0 (4010909)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x22f7c87a
22:40:14.0 (4017721)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
22:40:14.0 (4172960)|VARIABLE_ASSIGNMENT|[4]|apextype|"Service_Log__c"|0x5877e18b
22:40:14.0 (6872103)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:14.0 (6926174)|HEAP_ALLOCATE|[18]|Bytes:24
22:40:14.0 (6943135)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
22:40:14.0 (6948135)|STATEMENT_EXECUTE|[1]
22:40:14.0 (6955953)|SYSTEM_METHOD_EXIT|[1]|JSON
22:40:14.0 (6971085)|METHOD_ENTRY|[18]||System.JSON.deserializeStrict(String, System.Type)
22:40:14.0 (8054555)|METHOD_EXIT|[18]||System.JSON.deserializeStrict(String, System.Type)
22:40:14.0 (8076130)|VARIABLE_SCOPE_BEGIN|[18]|newLog|Service_Log__c|true|false
22:40:14.0 (8203023)|VARIABLE_ASSIGNMENT|[18]|newLog|{"Service_Name__c":"Google Maps - Get La (5 more) ...","Method__c":"GET","Direction__c":"Outbound","Service_Start__c":"2026-02-22T06:40:13.660Z","Category__c":"Google Maps","RequestBody__c":"","ResponseBody__c":"{\n   \"results\" : \n   (2445 more) ...","attributes":{"type":"Service_Log__c"},"Service_End__c":"2026-02-22T06:40:13.761Z","RequestURI__c":"callout:GoogleMaps/g (111 more) ...","ResponseStatusCode__c":200.0,"ResponseHeaders__c":"(Alt-Svc, Server, Ac (143 more) ..."}|0x5c309969
22:40:14.0 (8214304)|STATEMENT_EXECUTE|[19]
22:40:14.0 (8267239)|HEAP_ALLOCATE|[19]|Bytes:4
22:40:14.0 (8496846)|HEAP_ALLOCATE|[19]|Bytes:-4
22:40:14.0 (8554094)|VARIABLE_ASSIGNMENT|[19]|this.OwnerId|"00536000006CafHAAS"|0x5c309969
22:40:14.0 (8561107)|STATEMENT_EXECUTE|[20]
22:40:14.0 (8623609)|SYSTEM_METHOD_ENTRY|[20]|List<Service_Log__c>.add(Object)
22:40:14.0 (8650247)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:14.0 (8658339)|SYSTEM_METHOD_EXIT|[20]|List<Service_Log__c>.add(Object)
22:40:14.0 (8669008)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:14.0 (8680419)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:14.0 (8685972)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:14.0 (8697395)|VARIABLE_ASSIGNMENT|[16]|evt|null|
22:40:14.0 (8709091)|SYSTEM_METHOD_ENTRY|[23]|List<Service_Log__c>.isEmpty()
22:40:14.0 (8718835)|SYSTEM_METHOD_EXIT|[23]|List<Service_Log__c>.isEmpty()
22:40:14.0 (8724517)|STATEMENT_EXECUTE|[23]
22:40:14.0 (8725787)|STATEMENT_EXECUTE|[24]
22:40:14.0 (8845717)|VARIABLE_SCOPE_BEGIN|[17]|ServiceLog.Error_Message_MAX_SIZE|Integer|false|true
22:40:14.0 (8853372)|VARIABLE_SCOPE_BEGIN|[24]|ServiceLog.MAX_PAYLOAD_SIZE|Integer|false|true
22:40:14.0 (8859414)|VARIABLE_SCOPE_BEGIN|[21]|ServiceLog.RequestBody_MAX_SIZE|Integer|false|true
22:40:14.0 (8864769)|VARIABLE_SCOPE_BEGIN|[19]|ServiceLog.RequestHeaders_MAX_SIZE|Integer|false|true
22:40:14.0 (8870282)|VARIABLE_SCOPE_BEGIN|[20]|ServiceLog.RequestParameters_MAX_SIZE|Integer|false|true
22:40:14.0 (8875589)|VARIABLE_SCOPE_BEGIN|[18]|ServiceLog.RequestURI_MAX_SIZE|Integer|false|true
22:40:14.0 (8882478)|VARIABLE_SCOPE_BEGIN|[22]|ServiceLog.ResponseBody_MAX_SIZE|Integer|false|true
22:40:14.0 (8887862)|VARIABLE_SCOPE_BEGIN|[23]|ServiceLog.ResponseHeaders_MAX_SIZE|Integer|false|true
22:40:14.0 (8893899)|VARIABLE_SCOPE_BEGIN|[15]|ServiceLog.includeRequestBody|Boolean|false|true
