66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:40:18.0 (571422)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:40:18.0 (657067)|EXECUTION_STARTED
22:40:18.0 (684984)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:40:18.0 (757270)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:18.0 (1593321)|HEAP_ALLOCATE|[95]|Bytes:3
22:40:18.0 (1655461)|HEAP_ALLOCATE|[100]|Bytes:152
22:40:18.0 (1673529)|HEAP_ALLOCATE|[417]|Bytes:408
22:40:18.0 (1686211)|HEAP_ALLOCATE|[430]|Bytes:408
22:40:18.0 (1708990)|HEAP_ALLOCATE|[317]|Bytes:6
22:40:18.0 (1731927)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:18.0 (1743923)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:18.0 (1869604)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x3f598ab8
22:40:18.0 (1913389)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:18.0 (1920149)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:18.0 (1935592)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x3f598ab8
22:40:18.0 (1941997)|STATEMENT_EXECUTE|[12]
22:40:18.0 (1943257)|STATEMENT_EXECUTE|[13]
22:40:18.0 (2091535)|HEAP_ALLOCATE|[13]|Bytes:4
22:40:18.0 (2149169)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:40:18.0 (2180609)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:40:18.0 (2206224)|HEAP_ALLOCATE|[68]|Bytes:5
22:40:18.0 (2231285)|HEAP_ALLOCATE|[74]|Bytes:5
22:40:18.0 (2238431)|HEAP_ALLOCATE|[82]|Bytes:7
22:40:18.0 (2427201)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:18.0 (2456944)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x3f598ab8
22:40:18.0 (2566278)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:40:18.0 (2678947)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:40:18.0 (2696767)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
