66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:40:21.0 (534123)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:40:21.0 (617837)|EXECUTION_STARTED
22:40:21.0 (638541)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:40:21.0 (708849)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:21.0 (1612859)|HEAP_ALLOCATE|[95]|Bytes:3
22:40:21.0 (1664142)|HEAP_ALLOCATE|[100]|Bytes:152
22:40:21.0 (1677855)|HEAP_ALLOCATE|[417]|Bytes:408
22:40:21.0 (1688956)|HEAP_ALLOCATE|[430]|Bytes:408
22:40:21.0 (1710106)|HEAP_ALLOCATE|[317]|Bytes:6
22:40:21.0 (1729134)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:21.0 (1738134)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:21.0 (1839099)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x79e4a974
22:40:21.0 (1868466)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:21.0 (1872231)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:21.0 (1885916)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x79e4a974
22:40:21.0 (1892471)|STATEMENT_EXECUTE|[12]
22:40:21.0 (1893899)|STATEMENT_EXECUTE|[13]
22:40:21.0 (2034817)|HEAP_ALLOCATE|[13]|Bytes:4
22:40:21.0 (2093568)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:40:21.0 (2125444)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:40:21.0 (2145589)|HEAP_ALLOCATE|[68]|Bytes:5
22:40:21.0 (2168262)|HEAP_ALLOCATE|[74]|Bytes:5
22:40:21.0 (2174736)|HEAP_ALLOCATE|[82]|Bytes:7
22:40:21.0 (2356380)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:21.0 (2385497)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x79e4a974
22:40:21.0 (2482455)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:40:21.0 (2584151)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:40:21.0 (2600196)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:21.0 (2613214)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:21.0 (2617306)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
