66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:40:22.0 (529196)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:40:22.0 (612522)|EXECUTION_STARTED
22:40:22.0 (632815)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:40:22.0 (699963)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:22.0 (1412734)|HEAP_ALLOCATE|[95]|Bytes:3
22:40:22.0 (1459458)|HEAP_ALLOCATE|[100]|Bytes:152
22:40:22.0 (1473062)|HEAP_ALLOCATE|[417]|Bytes:408
22:40:22.0 (1484853)|HEAP_ALLOCATE|[430]|Bytes:408
22:40:22.0 (1505751)|HEAP_ALLOCATE|[317]|Bytes:6
22:40:22.0 (1551330)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:22.0 (1561018)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:22.0 (1657657)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x6d6e7d51
22:40:22.0 (1689761)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:22.0 (1693182)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:22.0 (1706191)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x6d6e7d51
22:40:22.0 (1712472)|STATEMENT_EXECUTE|[12]
22:40:22.0 (1713676)|STATEMENT_EXECUTE|[13]
22:40:22.0 (1843907)|HEAP_ALLOCATE|[13]|Bytes:4
22:40:22.0 (1899825)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:40:22.0 (1929493)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:40:22.0 (1950623)|HEAP_ALLOCATE|[68]|Bytes:5
22:40:22.0 (1974915)|HEAP_ALLOCATE|[74]|Bytes:5
22:40:22.0 (1980908)|HEAP_ALLOCATE|[82]|Bytes:7
22:40:22.0 (2180273)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:22.0 (2214619)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x6d6e7d51
22:40:22.0 (2332411)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:40:22.0 (2438648)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:40:22.0 (2456424)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:22.0 (2470649)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:22.0 (2474990)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:22.0 (2511904)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:40:22.0 (2653871)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (17981 more) ...","ReplayId":"28144483","EventUuid":"e4dd847a-6ba0-481b-a (16 more) ...","CreatedDate":"2026-02-22T06:40:22.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5fHEAQ"}|0xf8eb692
22:40:22.0 (2660174)|STATEMENT_EXECUTE|[16]
22:40:22.0 (2661630)|STATEMENT_EXECUTE|[17]
22:40:22.0 (2705638)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:40:22.0 (2723528)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:40:22.0 (2743832)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
