66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:40:26.0 (672253)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:40:26.0 (775061)|EXECUTION_STARTED
22:40:26.0 (803257)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:40:26.0 (928076)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:26.0 (1912928)|HEAP_ALLOCATE|[95]|Bytes:3
22:40:26.0 (1987254)|HEAP_ALLOCATE|[100]|Bytes:152
22:40:26.0 (2006657)|HEAP_ALLOCATE|[417]|Bytes:408
22:40:26.0 (2025594)|HEAP_ALLOCATE|[430]|Bytes:408
22:40:26.0 (2057834)|HEAP_ALLOCATE|[317]|Bytes:6
22:40:26.0 (2082186)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:26.0 (2091196)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:26.0 (2251561)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x1702b6a6
22:40:26.0 (2302344)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:26.0 (2308342)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:26.0 (2329543)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x1702b6a6
22:40:26.0 (2338591)|STATEMENT_EXECUTE|[12]
22:40:26.0 (2340537)|STATEMENT_EXECUTE|[13]
22:40:26.0 (2545305)|HEAP_ALLOCATE|[13]|Bytes:4
22:40:26.0 (2647632)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:40:26.0 (2703987)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:40:26.0 (2735795)|HEAP_ALLOCATE|[68]|Bytes:5
22:40:26.0 (2770453)|HEAP_ALLOCATE|[74]|Bytes:5
22:40:26.0 (2781773)|HEAP_ALLOCATE|[82]|Bytes:7
22:40:26.0 (3079049)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:26.0 (3112867)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x1702b6a6
22:40:26.0 (3282571)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:40:26.0 (3491571)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:40:26.0 (3517229)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:26.0 (3537119)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:26.0 (3544574)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:26.0 (3610434)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
