66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:40:30.0 (514738)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:40:30.0 (591695)|EXECUTION_STARTED
22:40:30.0 (612030)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:40:30.0 (678097)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:30.0 (1416267)|HEAP_ALLOCATE|[95]|Bytes:3
22:40:30.0 (1463626)|HEAP_ALLOCATE|[100]|Bytes:152
22:40:30.0 (1477246)|HEAP_ALLOCATE|[417]|Bytes:408
22:40:30.0 (1488242)|HEAP_ALLOCATE|[430]|Bytes:408
22:40:30.0 (1508035)|HEAP_ALLOCATE|[317]|Bytes:6
22:40:30.0 (1525594)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:30.0 (1531882)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:30.0 (1623068)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x2379c0bd
22:40:30.0 (1650540)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:30.0 (1653785)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:30.0 (1666020)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x2379c0bd
22:40:30.0 (1672063)|STATEMENT_EXECUTE|[12]
22:40:30.0 (1673085)|STATEMENT_EXECUTE|[13]
22:40:30.0 (1801499)|HEAP_ALLOCATE|[13]|Bytes:4
22:40:30.0 (1855587)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:40:30.0 (1884760)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:40:30.0 (1905041)|HEAP_ALLOCATE|[68]|Bytes:5
22:40:30.0 (1928007)|HEAP_ALLOCATE|[74]|Bytes:5
22:40:30.0 (1933813)|HEAP_ALLOCATE|[82]|Bytes:7
22:40:30.0 (2101056)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:30.0 (2119349)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x2379c0bd
22:40:30.0 (2208263)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:40:30.0 (2326150)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:40:30.0 (2343872)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:30.0 (2357987)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:30.0 (2361736)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:30.0 (2397567)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:40:30.0 (2548996)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (17981 more) ...","ReplayId":"28144510","EventUuid":"083a7c7d-830f-43a3-b (16 more) ...","CreatedDate":"2026-02-22T06:40:30.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5fiEAA"}|0x1be10589
22:40:30.0 (2556038)|STATEMENT_EXECUTE|[16]
22:40:30.0 (2557213)|STATEMENT_EXECUTE|[17]
22:40:30.0 (2602532)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:40:30.0 (2621906)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:40:30.0 (2641495)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
22:40:30.0 (2649050)|VARIABLE_ASSIGNMENT|[17]|log|"{\"attributes\":{\"type (17981 more) ..."
22:40:30.0 (2651327)|STATEMENT_EXECUTE|[18]
22:40:30.0 (2653347)|HEAP_ALLOCATE|[18]|Bytes:40
22:40:30.0 (2743884)|HEAP_ALLOCATE|[18]|Bytes:33
22:40:30.0 (2762341)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
22:40:30.0 (2765031)|STATEMENT_EXECUTE|[1]
22:40:30.0 (2773001)|SYSTEM_METHOD_EXIT|[1]|Type
22:40:30.0 (2776755)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:30.0 (2788338)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:30.0 (2790957)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
22:40:30.0 (2834091)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x28b7b7b
22:40:30.0 (2837277)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
22:40:30.0 (2942602)|VARIABLE_ASSIGNMENT|[4]|apextype|"Service_Log__c"|0x5f5242bc
22:40:30.0 (5546977)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:30.0 (5597310)|HEAP_ALLOCATE|[18]|Bytes:24
22:40:30.0 (5610733)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
22:40:30.0 (5613929)|STATEMENT_EXECUTE|[1]
22:40:30.0 (5619079)|SYSTEM_METHOD_EXIT|[1]|JSON
22:40:30.0 (5630822)|METHOD_ENTRY|[18]||System.JSON.deserializeStrict(String, System.Type)
22:40:30.0 (6370916)|METHOD_EXIT|[18]||System.JSON.deserializeStrict(String, System.Type)
22:40:30.0 (6384934)|VARIABLE_SCOPE_BEGIN|[18]|newLog|Service_Log__c|true|false
22:40:30.0 (6464291)|VARIABLE_ASSIGNMENT|[18]|newLog|{"Service_Name__c":"Google Maps - Get Ad (5 more) ...","Method__c":"GET","Direction__c":"Outbound","Service_Start__c":"2026-02-22T06:40:30.111Z","Category__c":"Google Maps","RequestBody__c":"","ResponseBody__c":"{\n   \"plus_code\" : \n (15881 more) ...","attributes":{"type":"Service_Log__c"},"Service_End__c":"2026-02-22T06:40:30.176Z","RequestURI__c":"callout:GoogleMaps/g (95 more) ...","ResponseStatusCode__c":200.0,"ResponseHeaders__c":"(Alt-Svc, Server, Ac (143 more) ..."}|0x381bf131
22:40:30.0 (6470533)|STATEMENT_EXECUTE|[19]
22:40:30.0 (6509479)|HEAP_ALLOCATE|[19]|Bytes:4
22:40:30.0 (6641062)|HEAP_ALLOCATE|[19]|Bytes:-4
22:40:30.0 (6682623)|VARIABLE_ASSIGNMENT|[19]|this.OwnerId|"00536000006CafHAAS"|0x381bf131
22:40:30.0 (6687032)|STATEMENT_EXECUTE|[20]
22:40:30.0 (6732969)|SYSTEM_METHOD_ENTRY|[20]|List<Service_Log__c>.add(Object)
22:40:30.0 (6754247)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:30.0 (6760364)|SYSTEM_METHOD_EXIT|[20]|List<Service_Log__c>.add(Object)
22:40:30.0 (6767728)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:30.0 (6777217)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:30.0 (6781146)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:30.0 (6789984)|VARIABLE_ASSIGNMENT|[16]|evt|null|
22:40:30.0 (6797263)|SYSTEM_METHOD_ENTRY|[23]|List<Service_Log__c>.isEmpty()
22:40:30.0 (6803776)|SYSTEM_METHOD_EXIT|[23]|List<Service_Log__c>.isEmpty()
22:40:30.0 (6808019)|STATEMENT_EXECUTE|[23]
22:40:30.0 (6808990)|STATEMENT_EXECUTE|[24]
22:40:30.0 (6900558)|VARIABLE_SCOPE_BEGIN|[17]|ServiceLog.Error_Message_MAX_SIZE|Integer|false|true
22:40:30.0 (6905167)|VARIABLE_SCOPE_BEGIN|[24]|ServiceLog.MAX_PAYLOAD_SIZE|Integer|false|true
22:40:30.0 (6908595)|VARIABLE_SCOPE_BEGIN|[21]|ServiceLog.RequestBody_MAX_SIZE|Integer|false|true
22:40:30.0 (6911809)|VARIABLE_SCOPE_BEGIN|[19]|ServiceLog.RequestHeaders_MAX_SIZE|Integer|false|true
22:40:30.0 (6914948)|VARIABLE_SCOPE_BEGIN|[20]|ServiceLog.RequestParameters_MAX_SIZE|Integer|false|true
22:40:30.0 (6918089)|VARIABLE_SCOPE_BEGIN|[18]|ServiceLog.RequestURI_MAX_SIZE|Integer|false|true
22:40:30.0 (6921261)|VARIABLE_SCOPE_BEGIN|[22]|ServiceLog.ResponseBody_MAX_SIZE|Integer|false|true
22:40:30.0 (6924459)|VARIABLE_SCOPE_BEGIN|[23]|ServiceLog.ResponseHeaders_MAX_SIZE|Integer|false|true
22:40:30.0 (6927734)|VARIABLE_SCOPE_BEGIN|[15]|ServiceLog.includeRequestBody|Boolean|false|true
22:40:30.0 (6930769)|VARIABLE_SCOPE_BEGIN|[13]|ServiceLog.log|ServiceLog|true|true
22:40:30.0 (6934364)|VARIABLE_SCOPE_BEGIN|[11]|ServiceLog.logList|List<Service_Log__c>|true|true
22:40:30.0 (6938092)|VARIABLE_SCOPE_BEGIN|[14]|ServiceLog.serviceLogName|String|false|true
22:40:30.0 (6941767)|VARIABLE_SCOPE_BEGIN|[9]|ServiceLog.settings|AppSettings|true|true
22:40:30.0 (6951481)|HEAP_ALLOCATE|[24]|Bytes:88
22:40:30.0 (6955549)|HEAP_ALLOCATE|[24]|Bytes:84
22:40:30.0 (6957688)|HEAP_ALLOCATE|[24]|Bytes:19
22:40:30.0 (6996204)|METHOD_ENTRY|[8]|01p3600000JZQWB|ServiceLog.ServiceLog()
22:40:30.0 (6999419)|STATEMENT_EXECUTE|[8]
22:40:30.0 (7001785)|STATEMENT_EXECUTE|[8]
22:40:30.0 (7012006)|HEAP_ALLOCATE|[9]|Bytes:5
22:40:30.0 (7014385)|STATEMENT_EXECUTE|[9]
22:40:30.0 (7016839)|HEAP_ALLOCATE|[9]|Bytes:29
22:40:30.0 (7019524)|HEAP_ALLOCATE|[9]|Bytes:44
22:40:30.0 (7023740)|METHOD_ENTRY|[11]|01pbV0000002xX3|AppSettings.AppSettings()
22:40:30.0 (7025736)|STATEMENT_EXECUTE|[11]
22:40:30.0 (7027389)|STATEMENT_EXECUTE|[11]
22:40:30.0 (8165763)|SYSTEM_MODE_ENTER|false
22:40:30.0 (8177076)|HEAP_ALLOCATE|[9]|Bytes:5
22:40:30.0 (8180700)|STATEMENT_EXECUTE|[131]
22:40:30.0 (8187263)|SYSTEM_MODE_EXIT|false
22:40:30.0 (8199457)|METHOD_EXIT|[11]|AppSettings
22:40:30.0 (8205494)|HEAP_ALLOCATE|[9]|Bytes:12
22:40:30.0 (8208733)|HEAP_ALLOCATE|[9]|Bytes:10
22:40:30.0 (8224694)|CONSTRUCTOR_ENTRY|[9]|01pbV0000002xX3|<init>(String)|AppSettings
22:40:30.0 (8244957)|VARIABLE_SCOPE_BEGIN|[16]|this|AppSettings|true|false
22:40:30.0 (8302591)|VARIABLE_ASSIGNMENT|[16]|this|{}|0x1d34c6f9
22:40:30.0 (8305808)|VARIABLE_SCOPE_BEGIN|[16]|applicationName|String|false|false
22:40:30.0 (8312794)|VARIABLE_ASSIGNMENT|[16]|applicationName|"ServiceLog"
22:40:30.0 (8321087)|SYSTEM_MODE_ENTER|false
22:40:30.0 (8324128)|HEAP_ALLOCATE|[17]|Bytes:5
22:40:30.0 (8326491)|STATEMENT_EXECUTE|[11]
22:40:30.0 (8328159)|HEAP_ALLOCATE|[17]|Bytes:5
22:40:30.0 (8329714)|STATEMENT_EXECUTE|[12]
22:40:30.0 (8330559)|STATEMENT_EXECUTE|[13]
22:40:30.0 (8345763)|STATEMENT_EXECUTE|[16]
22:40:30.0 (8346798)|STATEMENT_EXECUTE|[17]
22:40:30.0 (8356103)|VARIABLE_ASSIGNMENT|[17]|this.applicationName|"ServiceLog"|0x1d34c6f9
22:40:30.0 (8358769)|STATEMENT_EXECUTE|[18]
22:40:30.0 (8418433)|HEAP_ALLOCATE|[18]|Bytes:22
22:40:30.0 (8426697)|METHOD_ENTRY|[1]|01pbV0000000ZVh|ApplicationSettings_Util.ApplicationSettings_Util()
22:40:30.0 (8429638)|STATEMENT_EXECUTE|[1]
22:40:30.0 (8431713)|STATEMENT_EXECUTE|[1]
22:40:30.0 (8433928)|HEAP_ALLOCATE|[18]|Bytes:5
