66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:40:34.0 (877228)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:40:34.0 (975295)|EXECUTION_STARTED
22:40:34.0 (1000306)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:40:34.0 (1087857)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:34.0 (1848372)|HEAP_ALLOCATE|[95]|Bytes:3
22:40:34.0 (1912281)|HEAP_ALLOCATE|[100]|Bytes:152
22:40:34.0 (1931608)|HEAP_ALLOCATE|[417]|Bytes:408
22:40:34.0 (1950847)|HEAP_ALLOCATE|[430]|Bytes:408
22:40:34.0 (1985492)|HEAP_ALLOCATE|[317]|Bytes:6
22:40:34.0 (2010882)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:34.0 (2020694)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:34.0 (2138989)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x553dc5f1
22:40:34.0 (2182633)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:34.0 (2188495)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:34.0 (2209534)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x553dc5f1
22:40:34.0 (2218216)|STATEMENT_EXECUTE|[12]
22:40:34.0 (2219502)|STATEMENT_EXECUTE|[13]
22:40:34.0 (2395344)|HEAP_ALLOCATE|[13]|Bytes:4
22:40:34.0 (2469774)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:40:34.0 (2508724)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:40:34.0 (2537376)|HEAP_ALLOCATE|[68]|Bytes:5
22:40:34.0 (2568681)|HEAP_ALLOCATE|[74]|Bytes:5
22:40:34.0 (2578344)|HEAP_ALLOCATE|[82]|Bytes:7
22:40:34.0 (2806426)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:34.0 (2872196)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x553dc5f1
22:40:34.0 (3027314)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:40:34.0 (3171234)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:40:34.0 (3192044)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:34.0 (3210010)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:34.0 (3216581)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:34.0 (3261964)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:40:34.0 (3465032)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (3327 more) ...","ReplayId":"28144521","EventUuid":"913694ec-c311-4f2f-9 (16 more) ...","CreatedDate":"2026-02-22T06:40:34.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5ftEAA"}|0x3d9055a4
22:40:34.0 (3475509)|STATEMENT_EXECUTE|[16]
22:40:34.0 (3477396)|STATEMENT_EXECUTE|[17]
22:40:34.0 (3536895)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:40:34.0 (3565823)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:40:34.0 (3593244)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
22:40:34.0 (3604843)|VARIABLE_ASSIGNMENT|[17]|log|"{\"attributes\":{\"type (3327 more) ..."
22:40:34.0 (3608728)|STATEMENT_EXECUTE|[18]
22:40:34.0 (3611731)|HEAP_ALLOCATE|[18]|Bytes:40
22:40:34.0 (3735752)|HEAP_ALLOCATE|[18]|Bytes:33
22:40:34.0 (3759614)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
22:40:34.0 (3763904)|STATEMENT_EXECUTE|[1]
22:40:34.0 (3775379)|SYSTEM_METHOD_EXIT|[1]|Type
22:40:34.0 (3780739)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:34.0 (3799221)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:34.0 (3802958)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
22:40:34.0 (3858021)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x5fda2249
22:40:34.0 (3863503)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
22:40:34.0 (4024540)|VARIABLE_ASSIGNMENT|[4]|apextype|"Service_Log__c"|0x1ff577b0
22:40:34.0 (6689749)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:34.0 (6747681)|HEAP_ALLOCATE|[18]|Bytes:24
22:40:34.0 (6766784)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
22:40:34.0 (6770827)|STATEMENT_EXECUTE|[1]
22:40:34.0 (6776929)|SYSTEM_METHOD_EXIT|[1]|JSON
22:40:34.0 (6788068)|METHOD_ENTRY|[18]||System.JSON.deserializeStrict(String, System.Type)
22:40:34.0 (7593471)|METHOD_EXIT|[18]||System.JSON.deserializeStrict(String, System.Type)
22:40:34.0 (7612645)|VARIABLE_SCOPE_BEGIN|[18]|newLog|Service_Log__c|true|false
22:40:34.0 (7729799)|VARIABLE_ASSIGNMENT|[18]|newLog|{"Service_Name__c":"Google Maps - Get La (5 more) ...","Method__c":"GET","Direction__c":"Outbound","Service_Start__c":"2026-02-22T06:40:33.935Z","Category__c":"Google Maps","RequestBody__c":"","ResponseBody__c":"{\n   \"results\" : \n   (2445 more) ...","attributes":{"type":"Service_Log__c"},"Service_End__c":"2026-02-22T06:40:34.086Z","RequestURI__c":"callout:GoogleMaps/g (111 more) ...","ResponseStatusCode__c":200.0,"ResponseHeaders__c":"(Alt-Svc, Server, Ac (143 more) ..."}|0x6eeda166
22:40:34.0 (7740488)|STATEMENT_EXECUTE|[19]
22:40:34.0 (7791512)|HEAP_ALLOCATE|[19]|Bytes:4
22:40:34.0 (7986554)|HEAP_ALLOCATE|[19]|Bytes:-4
