66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:40:35.0 (525868)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:40:35.0 (618737)|EXECUTION_STARTED
22:40:35.0 (647005)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:40:35.0 (706548)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:35.0 (1448942)|HEAP_ALLOCATE|[95]|Bytes:3
22:40:35.0 (1493928)|HEAP_ALLOCATE|[100]|Bytes:152
22:40:35.0 (1506720)|HEAP_ALLOCATE|[417]|Bytes:408
22:40:35.0 (1524203)|HEAP_ALLOCATE|[430]|Bytes:408
22:40:35.0 (1544290)|HEAP_ALLOCATE|[317]|Bytes:6
22:40:35.0 (1559688)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:35.0 (1568735)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:35.0 (1676398)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x5ce1d2e0
22:40:35.0 (1704114)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:35.0 (1711802)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:35.0 (1726609)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x5ce1d2e0
22:40:35.0 (1732301)|STATEMENT_EXECUTE|[12]
22:40:35.0 (1733212)|STATEMENT_EXECUTE|[13]
22:40:35.0 (1876846)|HEAP_ALLOCATE|[13]|Bytes:4
22:40:35.0 (1942545)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:40:35.0 (1972321)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:40:35.0 (1991397)|HEAP_ALLOCATE|[68]|Bytes:5
22:40:35.0 (2024846)|HEAP_ALLOCATE|[74]|Bytes:5
22:40:35.0 (2032323)|HEAP_ALLOCATE|[82]|Bytes:7
22:40:35.0 (2229652)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:35.0 (2257783)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x5ce1d2e0
22:40:35.0 (2381422)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:40:35.0 (2506379)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:40:35.0 (2521551)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:35.0 (2532709)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:35.0 (2536768)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:35.0 (2569913)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:40:35.0 (2761804)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (17981 more) ...","ReplayId":"28144523","EventUuid":"86bf2df7-15d9-497f-a (16 more) ...","CreatedDate":"2026-02-22T06:40:35.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5fvEAA"}|0x1647f434
22:40:35.0 (2774150)|STATEMENT_EXECUTE|[16]
22:40:35.0 (2775571)|STATEMENT_EXECUTE|[17]
22:40:35.0 (2824149)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:40:35.0 (2849487)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:40:35.0 (2867685)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
22:40:35.0 (2875706)|VARIABLE_ASSIGNMENT|[17]|log|"{\"attributes\":{\"type (17981 more) ..."
22:40:35.0 (2878275)|STATEMENT_EXECUTE|[18]
22:40:35.0 (2880603)|HEAP_ALLOCATE|[18]|Bytes:40
22:40:35.0 (2990410)|HEAP_ALLOCATE|[18]|Bytes:33
22:40:35.0 (3007327)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
22:40:35.0 (3010783)|STATEMENT_EXECUTE|[1]
22:40:35.0 (3017609)|SYSTEM_METHOD_EXIT|[1]|Type
22:40:35.0 (3021302)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:35.0 (3033531)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:35.0 (3041499)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
22:40:35.0 (3095211)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x677bde70
22:40:35.0 (3098916)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
22:40:35.0 (3213593)|VARIABLE_ASSIGNMENT|[4]|apextype|"Service_Log__c"|0x3902ed9d
22:40:35.0 (5869606)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:35.0 (6043341)|HEAP_ALLOCATE|[18]|Bytes:24
22:40:35.0 (6060548)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
22:40:35.0 (6064197)|STATEMENT_EXECUTE|[1]
22:40:35.0 (6069626)|SYSTEM_METHOD_EXIT|[1]|JSON
22:40:35.0 (6079549)|METHOD_ENTRY|[18]||System.JSON.deserializeStrict(String, System.Type)
22:40:35.0 (6861230)|METHOD_EXIT|[18]||System.JSON.deserializeStrict(String, System.Type)
22:40:35.0 (6871947)|VARIABLE_SCOPE_BEGIN|[18]|newLog|Service_Log__c|true|false
22:40:35.0 (6943202)|VARIABLE_ASSIGNMENT|[18]|newLog|{"Service_Name__c":"Google Maps - Get Ad (5 more) ...","Method__c":"GET","Direction__c":"Outbound","Service_Start__c":"2026-02-22T06:40:35.234Z","Category__c":"Google Maps","RequestBody__c":"","ResponseBody__c":"{\n   \"plus_code\" : \n (15881 more) ...","attributes":{"type":"Service_Log__c"},"Service_End__c":"2026-02-22T06:40:35.304Z","RequestURI__c":"callout:GoogleMaps/g (95 more) ...","ResponseStatusCode__c":200.0,"ResponseHeaders__c":"(Alt-Svc, Server, Ac (143 more) ..."}|0x11bb7f0c
22:40:35.0 (6949474)|STATEMENT_EXECUTE|[19]
22:40:35.0 (6981700)|HEAP_ALLOCATE|[19]|Bytes:4
22:40:35.0 (7103133)|HEAP_ALLOCATE|[19]|Bytes:-4
22:40:35.0 (7140098)|VARIABLE_ASSIGNMENT|[19]|this.OwnerId|"00536000006CafHAAS"|0x11bb7f0c
22:40:35.0 (7144234)|STATEMENT_EXECUTE|[20]
22:40:35.0 (7188423)|SYSTEM_METHOD_ENTRY|[20]|List<Service_Log__c>.add(Object)
22:40:35.0 (7209540)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:35.0 (7215387)|SYSTEM_METHOD_EXIT|[20]|List<Service_Log__c>.add(Object)
22:40:35.0 (7221965)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:35.0 (7229070)|HEAP_ALLOCATE|[16]|Bytes:5
