66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:40:39.0 (456486)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:40:39.0 (599958)|EXECUTION_STARTED
22:40:39.0 (622407)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:40:39.0 (687314)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:39.0 (1388329)|HEAP_ALLOCATE|[95]|Bytes:3
22:40:39.0 (1462859)|HEAP_ALLOCATE|[100]|Bytes:152
22:40:39.0 (1477563)|HEAP_ALLOCATE|[417]|Bytes:408
22:40:39.0 (1488488)|HEAP_ALLOCATE|[430]|Bytes:408
22:40:39.0 (1508358)|HEAP_ALLOCATE|[317]|Bytes:6
22:40:39.0 (1525263)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:39.0 (1531520)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:39.0 (1628497)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x3d8c107a
22:40:39.0 (1656093)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:39.0 (1659559)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:39.0 (1672044)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x3d8c107a
22:40:39.0 (1678031)|STATEMENT_EXECUTE|[12]
22:40:39.0 (1679216)|STATEMENT_EXECUTE|[13]
22:40:39.0 (1803356)|HEAP_ALLOCATE|[13]|Bytes:4
22:40:39.0 (1860512)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:40:39.0 (1891895)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:40:39.0 (1910230)|HEAP_ALLOCATE|[68]|Bytes:5
22:40:39.0 (1932415)|HEAP_ALLOCATE|[74]|Bytes:5
22:40:39.0 (1938185)|HEAP_ALLOCATE|[82]|Bytes:7
22:40:39.0 (2108153)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:39.0 (2125029)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x3d8c107a
22:40:39.0 (2222337)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:40:39.0 (2324118)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:40:39.0 (2340087)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:39.0 (2352627)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:39.0 (2356362)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:39.0 (2390284)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:40:39.0 (2532140)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (17981 more) ...","ReplayId":"28144687","EventUuid":"4919c8b4-0d9d-4170-a (16 more) ...","CreatedDate":"2026-02-22T06:40:39.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5iZEAQ"}|0x3e2aab3b
22:40:39.0 (2538447)|STATEMENT_EXECUTE|[16]
22:40:39.0 (2539845)|STATEMENT_EXECUTE|[17]
22:40:39.0 (2583710)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:40:39.0 (2600712)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:40:39.0 (2621092)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
22:40:39.0 (2628755)|VARIABLE_ASSIGNMENT|[17]|log|"{\"attributes\":{\"type (17981 more) ..."
22:40:39.0 (2631256)|STATEMENT_EXECUTE|[18]
22:40:39.0 (2633736)|HEAP_ALLOCATE|[18]|Bytes:40
22:40:39.0 (2717294)|HEAP_ALLOCATE|[18]|Bytes:33
22:40:39.0 (2737848)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
22:40:39.0 (2740349)|STATEMENT_EXECUTE|[1]
22:40:39.0 (2748412)|SYSTEM_METHOD_EXIT|[1]|Type
22:40:39.0 (2752213)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:39.0 (2764620)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:39.0 (2767438)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
22:40:39.0 (2810728)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x1c5313f4
22:40:39.0 (2813996)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
22:40:39.0 (2923917)|VARIABLE_ASSIGNMENT|[4]|apextype|"Service_Log__c"|0xae0c11f
22:40:39.0 (5849836)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:39.0 (5898243)|HEAP_ALLOCATE|[18]|Bytes:24
22:40:39.0 (5915147)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
22:40:39.0 (5918168)|STATEMENT_EXECUTE|[1]
22:40:39.0 (5923895)|SYSTEM_METHOD_EXIT|[1]|JSON
22:40:39.0 (5934826)|METHOD_ENTRY|[18]||System.JSON.deserializeStrict(String, System.Type)
22:40:39.0 (6674100)|METHOD_EXIT|[18]||System.JSON.deserializeStrict(String, System.Type)
22:40:39.0 (6687029)|VARIABLE_SCOPE_BEGIN|[18]|newLog|Service_Log__c|true|false
22:40:39.0 (6766439)|VARIABLE_ASSIGNMENT|[18]|newLog|{"Service_Name__c":"Google Maps - Get Ad (5 more) ...","Method__c":"GET","Direction__c":"Outbound","Service_Start__c":"2026-02-22T06:40:39.528Z","Category__c":"Google Maps","RequestBody__c":"","ResponseBody__c":"{\n   \"plus_code\" : \n (15881 more) ...","attributes":{"type":"Service_Log__c"},"Service_End__c":"2026-02-22T06:40:39.654Z","RequestURI__c":"callout:GoogleMaps/g (95 more) ...","ResponseStatusCode__c":200.0,"ResponseHeaders__c":"(Alt-Svc, Server, Ac (143 more) ..."}|0x413a6d33
22:40:39.0 (6773073)|STATEMENT_EXECUTE|[19]
22:40:39.0 (6810785)|HEAP_ALLOCATE|[19]|Bytes:4
22:40:39.0 (6941094)|HEAP_ALLOCATE|[19]|Bytes:-4
22:40:39.0 (6978968)|VARIABLE_ASSIGNMENT|[19]|this.OwnerId|"00536000006CafHAAS"|0x413a6d33
22:40:39.0 (6983278)|STATEMENT_EXECUTE|[20]
22:40:39.0 (7027753)|SYSTEM_METHOD_ENTRY|[20]|List<Service_Log__c>.add(Object)
22:40:39.0 (7049866)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:39.0 (7056541)|SYSTEM_METHOD_EXIT|[20]|List<Service_Log__c>.add(Object)
22:40:39.0 (7064269)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:39.0 (7072066)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:39.0 (7075653)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:39.0 (7083860)|VARIABLE_ASSIGNMENT|[16]|evt|null|
22:40:39.0 (7091613)|SYSTEM_METHOD_ENTRY|[23]|List<Service_Log__c>.isEmpty()
22:40:39.0 (7098160)|SYSTEM_METHOD_EXIT|[23]|List<Service_Log__c>.isEmpty()
22:40:39.0 (7102928)|STATEMENT_EXECUTE|[23]
22:40:39.0 (7103823)|STATEMENT_EXECUTE|[24]
22:40:39.0 (7195400)|VARIABLE_SCOPE_BEGIN|[17]|ServiceLog.Error_Message_MAX_SIZE|Integer|false|true
22:40:39.0 (7200182)|VARIABLE_SCOPE_BEGIN|[24]|ServiceLog.MAX_PAYLOAD_SIZE|Integer|false|true
22:40:39.0 (7203704)|VARIABLE_SCOPE_BEGIN|[21]|ServiceLog.RequestBody_MAX_SIZE|Integer|false|true
22:40:39.0 (7206965)|VARIABLE_SCOPE_BEGIN|[19]|ServiceLog.RequestHeaders_MAX_SIZE|Integer|false|true
22:40:39.0 (7210125)|VARIABLE_SCOPE_BEGIN|[20]|ServiceLog.RequestParameters_MAX_SIZE|Integer|false|true
22:40:39.0 (7213295)|VARIABLE_SCOPE_BEGIN|[18]|ServiceLog.RequestURI_MAX_SIZE|Integer|false|true
22:40:39.0 (7216700)|VARIABLE_SCOPE_BEGIN|[22]|ServiceLog.ResponseBody_MAX_SIZE|Integer|false|true
22:40:39.0 (7219871)|VARIABLE_SCOPE_BEGIN|[23]|ServiceLog.ResponseHeaders_MAX_SIZE|Integer|false|true
22:40:39.0 (7223082)|VARIABLE_SCOPE_BEGIN|[15]|ServiceLog.includeRequestBody|Boolean|false|true
22:40:39.0 (7226230)|VARIABLE_SCOPE_BEGIN|[13]|ServiceLog.log|ServiceLog|true|true
22:40:39.0 (7229989)|VARIABLE_SCOPE_BEGIN|[11]|ServiceLog.logList|List<Service_Log__c>|true|true
22:40:39.0 (7233698)|VARIABLE_SCOPE_BEGIN|[14]|ServiceLog.serviceLogName|String|false|true
22:40:39.0 (7237486)|VARIABLE_SCOPE_BEGIN|[9]|ServiceLog.settings|AppSettings|true|true
22:40:39.0 (7247892)|HEAP_ALLOCATE|[24]|Bytes:88
22:40:39.0 (7252201)|HEAP_ALLOCATE|[24]|Bytes:84
22:40:39.0 (7254506)|HEAP_ALLOCATE|[24]|Bytes:19
22:40:39.0 (7301882)|METHOD_ENTRY|[8]|01p3600000JZQWB|ServiceLog.ServiceLog()
22:40:39.0 (7305187)|STATEMENT_EXECUTE|[8]
22:40:39.0 (7307319)|STATEMENT_EXECUTE|[8]
22:40:39.0 (7316007)|HEAP_ALLOCATE|[9]|Bytes:5
22:40:39.0 (7318499)|STATEMENT_EXECUTE|[9]
22:40:39.0 (7320947)|HEAP_ALLOCATE|[9]|Bytes:29
22:40:39.0 (7324104)|HEAP_ALLOCATE|[9]|Bytes:44
22:40:39.0 (7328494)|METHOD_ENTRY|[11]|01pbV0000002xX3|AppSettings.AppSettings()
22:40:39.0 (7330673)|STATEMENT_EXECUTE|[11]
22:40:39.0 (7332424)|STATEMENT_EXECUTE|[11]
22:40:39.0 (8529384)|SYSTEM_MODE_ENTER|false
22:40:39.0 (8540420)|HEAP_ALLOCATE|[9]|Bytes:5
22:40:39.0 (8544637)|STATEMENT_EXECUTE|[131]
22:40:39.0 (8550946)|SYSTEM_MODE_EXIT|false
22:40:39.0 (8563646)|METHOD_EXIT|[11]|AppSettings
22:40:39.0 (8570341)|HEAP_ALLOCATE|[9]|Bytes:12
22:40:39.0 (8574137)|HEAP_ALLOCATE|[9]|Bytes:10
22:40:39.0 (8591384)|CONSTRUCTOR_ENTRY|[9]|01pbV0000002xX3|<init>(String)|AppSettings
22:40:39.0 (8612199)|VARIABLE_SCOPE_BEGIN|[16]|this|AppSettings|true|false
22:40:39.0 (8670168)|VARIABLE_ASSIGNMENT|[16]|this|{}|0x2ff7c629
22:40:39.0 (8673284)|VARIABLE_SCOPE_BEGIN|[16]|applicationName|String|false|false
22:40:39.0 (8680256)|VARIABLE_ASSIGNMENT|[16]|applicationName|"ServiceLog"
22:40:39.0 (8688173)|SYSTEM_MODE_ENTER|false
22:40:39.0 (8691591)|HEAP_ALLOCATE|[17]|Bytes:5
22:40:39.0 (8693880)|STATEMENT_EXECUTE|[11]
22:40:39.0 (8695574)|HEAP_ALLOCATE|[17]|Bytes:5
22:40:39.0 (8697220)|STATEMENT_EXECUTE|[12]
22:40:39.0 (8698081)|STATEMENT_EXECUTE|[13]
22:40:39.0 (8712364)|STATEMENT_EXECUTE|[16]
22:40:39.0 (8713313)|STATEMENT_EXECUTE|[17]
22:40:39.0 (8722292)|VARIABLE_ASSIGNMENT|[17]|this.applicationName|"ServiceLog"|0x2ff7c629
22:40:39.0 (8725370)|STATEMENT_EXECUTE|[18]
22:40:39.0 (8781998)|HEAP_ALLOCATE|[18]|Bytes:22
22:40:39.0 (8790490)|METHOD_ENTRY|[1]|01pbV0000000ZVh|ApplicationSettings_Util.ApplicationSettings_Util()
22:40:39.0 (8793295)|STATEMENT_EXECUTE|[1]
22:40:39.0 (8795327)|STATEMENT_EXECUTE|[1]
