66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:40:43.0 (482267)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:40:43.0 (588472)|EXECUTION_STARTED
22:40:43.0 (619230)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:40:43.0 (707658)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:43.0 (1502664)|HEAP_ALLOCATE|[95]|Bytes:3
22:40:43.0 (1551684)|HEAP_ALLOCATE|[100]|Bytes:152
22:40:43.0 (1565382)|HEAP_ALLOCATE|[417]|Bytes:408
22:40:43.0 (1578552)|HEAP_ALLOCATE|[430]|Bytes:408
22:40:43.0 (1606276)|HEAP_ALLOCATE|[317]|Bytes:6
22:40:43.0 (1629092)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:43.0 (1637707)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:43.0 (1746286)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x52bff7cf
22:40:43.0 (1779052)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:43.0 (1782521)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:43.0 (1844026)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x52bff7cf
22:40:43.0 (1850867)|STATEMENT_EXECUTE|[12]
22:40:43.0 (1851843)|STATEMENT_EXECUTE|[13]
22:40:43.0 (1993865)|HEAP_ALLOCATE|[13]|Bytes:4
22:40:43.0 (2093692)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:40:43.0 (2131017)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:40:43.0 (2153943)|HEAP_ALLOCATE|[68]|Bytes:5
22:40:43.0 (2187916)|HEAP_ALLOCATE|[74]|Bytes:5
22:40:43.0 (2194733)|HEAP_ALLOCATE|[82]|Bytes:7
22:40:43.0 (2380702)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:43.0 (2397917)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x52bff7cf
22:40:43.0 (2498940)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:40:43.0 (2601780)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
