66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:40:44.0 (550061)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:40:44.0 (625755)|EXECUTION_STARTED
22:40:44.0 (674607)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:40:44.0 (729918)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:44.0 (1429099)|HEAP_ALLOCATE|[95]|Bytes:3
22:40:44.0 (1468952)|HEAP_ALLOCATE|[100]|Bytes:152
22:40:44.0 (1481059)|HEAP_ALLOCATE|[417]|Bytes:408
22:40:44.0 (1492598)|HEAP_ALLOCATE|[430]|Bytes:408
22:40:44.0 (1513598)|HEAP_ALLOCATE|[317]|Bytes:6
22:40:44.0 (1530390)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:44.0 (1535089)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:44.0 (1586670)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x33c532a7
22:40:44.0 (1611762)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:44.0 (1614853)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:44.0 (1621822)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x33c532a7
22:40:44.0 (1632393)|STATEMENT_EXECUTE|[12]
22:40:44.0 (1633593)|STATEMENT_EXECUTE|[13]
22:40:44.0 (1749085)|HEAP_ALLOCATE|[13]|Bytes:4
22:40:44.0 (1799400)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:40:44.0 (1827522)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:40:44.0 (1846544)|HEAP_ALLOCATE|[68]|Bytes:5
22:40:44.0 (1868723)|HEAP_ALLOCATE|[74]|Bytes:5
22:40:44.0 (1876522)|HEAP_ALLOCATE|[82]|Bytes:7
22:40:44.0 (2047316)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:44.0 (2062814)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x33c532a7
22:40:44.0 (2148850)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:40:44.0 (2245203)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:40:44.0 (2260336)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:44.0 (2271944)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:44.0 (2275427)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:44.0 (2304979)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:40:44.0 (2436937)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (17981 more) ...","ReplayId":"28144740","EventUuid":"56c3976c-5572-4f7c-8 (16 more) ...","CreatedDate":"2026-02-22T06:40:44.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5jQEAQ"}|0x7ac94a96
22:40:44.0 (2443841)|STATEMENT_EXECUTE|[16]
22:40:44.0 (2445107)|STATEMENT_EXECUTE|[17]
22:40:44.0 (2480194)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:40:44.0 (2496850)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:40:44.0 (2515446)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
22:40:44.0 (2523525)|VARIABLE_ASSIGNMENT|[17]|log|"{\"attributes\":{\"type (17981 more) ..."
22:40:44.0 (2526083)|STATEMENT_EXECUTE|[18]
22:40:44.0 (2528423)|HEAP_ALLOCATE|[18]|Bytes:40
22:40:44.0 (2615020)|HEAP_ALLOCATE|[18]|Bytes:33
22:40:44.0 (2682177)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
22:40:44.0 (2685815)|STATEMENT_EXECUTE|[1]
22:40:44.0 (2700965)|SYSTEM_METHOD_EXIT|[1]|Type
22:40:44.0 (2705647)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:44.0 (2718726)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:44.0 (2721651)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
22:40:44.0 (2801966)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x31f45e85
22:40:44.0 (2805479)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
22:40:44.0 (2935282)|VARIABLE_ASSIGNMENT|[4]|apextype|"Service_Log__c"|0x5d160637
22:40:44.0 (5599042)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:44.0 (5649322)|HEAP_ALLOCATE|[18]|Bytes:24
22:40:44.0 (5657185)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
22:40:44.0 (5660487)|STATEMENT_EXECUTE|[1]
22:40:44.0 (5665998)|SYSTEM_METHOD_EXIT|[1]|JSON
22:40:44.0 (5680808)|METHOD_ENTRY|[18]||System.JSON.deserializeStrict(String, System.Type)
22:40:44.0 (6392326)|METHOD_EXIT|[18]||System.JSON.deserializeStrict(String, System.Type)
22:40:44.0 (6405215)|VARIABLE_SCOPE_BEGIN|[18]|newLog|Service_Log__c|true|false
22:40:44.0 (6478018)|VARIABLE_ASSIGNMENT|[18]|newLog|{"Service_Name__c":"Google Maps - Get Ad (5 more) ...","Method__c":"GET","Direction__c":"Outbound","Service_Start__c":"2026-02-22T06:40:44.445Z","Category__c":"Google Maps","RequestBody__c":"","ResponseBody__c":"{\n   \"plus_code\" : \n (15881 more) ...","attributes":{"type":"Service_Log__c"},"Service_End__c":"2026-02-22T06:40:44.507Z","RequestURI__c":"callout:GoogleMaps/g (95 more) ...","ResponseStatusCode__c":200.0,"ResponseHeaders__c":"(Alt-Svc, Server, Ac (143 more) ..."}|0x153b1023
22:40:44.0 (6484215)|STATEMENT_EXECUTE|[19]
22:40:44.0 (6519568)|HEAP_ALLOCATE|[19]|Bytes:4
22:40:44.0 (6639789)|HEAP_ALLOCATE|[19]|Bytes:-4
22:40:44.0 (6680863)|VARIABLE_ASSIGNMENT|[19]|this.OwnerId|"00536000006CafHAAS"|0x153b1023
22:40:44.0 (6685404)|STATEMENT_EXECUTE|[20]
22:40:44.0 (6724249)|SYSTEM_METHOD_ENTRY|[20]|List<Service_Log__c>.add(Object)
22:40:44.0 (6745614)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:44.0 (6751525)|SYSTEM_METHOD_EXIT|[20]|List<Service_Log__c>.add(Object)
22:40:44.0 (6758713)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:44.0 (6766871)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:44.0 (6770901)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:44.0 (6778619)|VARIABLE_ASSIGNMENT|[16]|evt|null|
22:40:44.0 (6785448)|SYSTEM_METHOD_ENTRY|[23]|List<Service_Log__c>.isEmpty()
22:40:44.0 (6791708)|SYSTEM_METHOD_EXIT|[23]|List<Service_Log__c>.isEmpty()
22:40:44.0 (6795531)|STATEMENT_EXECUTE|[23]
22:40:44.0 (6796504)|STATEMENT_EXECUTE|[24]
22:40:44.0 (6886180)|VARIABLE_SCOPE_BEGIN|[17]|ServiceLog.Error_Message_MAX_SIZE|Integer|false|true
22:40:44.0 (6890541)|VARIABLE_SCOPE_BEGIN|[24]|ServiceLog.MAX_PAYLOAD_SIZE|Integer|false|true
22:40:44.0 (6894024)|VARIABLE_SCOPE_BEGIN|[21]|ServiceLog.RequestBody_MAX_SIZE|Integer|false|true
22:40:44.0 (6897300)|VARIABLE_SCOPE_BEGIN|[19]|ServiceLog.RequestHeaders_MAX_SIZE|Integer|false|true
22:40:44.0 (6900457)|VARIABLE_SCOPE_BEGIN|[20]|ServiceLog.RequestParameters_MAX_SIZE|Integer|false|true
22:40:44.0 (6903673)|VARIABLE_SCOPE_BEGIN|[18]|ServiceLog.RequestURI_MAX_SIZE|Integer|false|true
22:40:44.0 (6906897)|VARIABLE_SCOPE_BEGIN|[22]|ServiceLog.ResponseBody_MAX_SIZE|Integer|false|true
22:40:44.0 (6923397)|VARIABLE_SCOPE_BEGIN|[23]|ServiceLog.ResponseHeaders_MAX_SIZE|Integer|false|true
22:40:44.0 (6929392)|VARIABLE_SCOPE_BEGIN|[15]|ServiceLog.includeRequestBody|Boolean|false|true
22:40:44.0 (6932862)|VARIABLE_SCOPE_BEGIN|[13]|ServiceLog.log|ServiceLog|true|true
22:40:44.0 (6936572)|VARIABLE_SCOPE_BEGIN|[11]|ServiceLog.logList|List<Service_Log__c>|true|true
22:40:44.0 (6940326)|VARIABLE_SCOPE_BEGIN|[14]|ServiceLog.serviceLogName|String|false|true
22:40:44.0 (6943846)|VARIABLE_SCOPE_BEGIN|[9]|ServiceLog.settings|AppSettings|true|true
22:40:44.0 (6955359)|HEAP_ALLOCATE|[24]|Bytes:88
22:40:44.0 (6959012)|HEAP_ALLOCATE|[24]|Bytes:84
22:40:44.0 (6961318)|HEAP_ALLOCATE|[24]|Bytes:19
22:40:44.0 (7005517)|METHOD_ENTRY|[8]|01p3600000JZQWB|ServiceLog.ServiceLog()
22:40:44.0 (7009124)|STATEMENT_EXECUTE|[8]
22:40:44.0 (7011397)|STATEMENT_EXECUTE|[8]
22:40:44.0 (7020328)|HEAP_ALLOCATE|[9]|Bytes:5
22:40:44.0 (7023240)|STATEMENT_EXECUTE|[9]
22:40:44.0 (7025716)|HEAP_ALLOCATE|[9]|Bytes:29
22:40:44.0 (7028814)|HEAP_ALLOCATE|[9]|Bytes:44
22:40:44.0 (7032578)|METHOD_ENTRY|[11]|01pbV0000002xX3|AppSettings.AppSettings()
22:40:44.0 (7034617)|STATEMENT_EXECUTE|[11]
22:40:44.0 (7036250)|STATEMENT_EXECUTE|[11]
22:40:44.0 (8171749)|SYSTEM_MODE_ENTER|false
22:40:44.0 (8178868)|HEAP_ALLOCATE|[9]|Bytes:5
22:40:44.0 (8182103)|STATEMENT_EXECUTE|[131]
22:40:44.0 (8188095)|SYSTEM_MODE_EXIT|false
22:40:44.0 (8197058)|METHOD_EXIT|[11]|AppSettings
22:40:44.0 (8202047)|HEAP_ALLOCATE|[9]|Bytes:12
22:40:44.0 (8205399)|HEAP_ALLOCATE|[9]|Bytes:10
22:40:44.0 (8219419)|CONSTRUCTOR_ENTRY|[9]|01pbV0000002xX3|<init>(String)|AppSettings
22:40:44.0 (8304924)|VARIABLE_SCOPE_BEGIN|[16]|this|AppSettings|true|false
22:40:44.0 (8337612)|VARIABLE_ASSIGNMENT|[16]|this|{}|0xa5660f3
22:40:44.0 (8340731)|VARIABLE_SCOPE_BEGIN|[16]|applicationName|String|false|false
22:40:44.0 (8347145)|VARIABLE_ASSIGNMENT|[16]|applicationName|"ServiceLog"
22:40:44.0 (8354364)|SYSTEM_MODE_ENTER|false
22:40:44.0 (8357411)|HEAP_ALLOCATE|[17]|Bytes:5
