66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:40:52.0 (473249)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:40:52.0 (555808)|EXECUTION_STARTED
22:40:52.0 (579663)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:40:52.0 (649092)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:52.0 (1373034)|HEAP_ALLOCATE|[95]|Bytes:3
22:40:52.0 (1422979)|HEAP_ALLOCATE|[100]|Bytes:152
22:40:52.0 (1436520)|HEAP_ALLOCATE|[417]|Bytes:408
22:40:52.0 (1447849)|HEAP_ALLOCATE|[430]|Bytes:408
22:40:52.0 (1468523)|HEAP_ALLOCATE|[317]|Bytes:6
22:40:52.0 (1486483)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:52.0 (1492668)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:52.0 (1564878)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x48449812
22:40:52.0 (1593432)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:52.0 (1596702)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:52.0 (1604157)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x48449812
22:40:52.0 (1610533)|STATEMENT_EXECUTE|[12]
22:40:52.0 (1611580)|STATEMENT_EXECUTE|[13]
22:40:52.0 (1756755)|HEAP_ALLOCATE|[13]|Bytes:4
22:40:52.0 (1814147)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:40:52.0 (1846078)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:40:52.0 (1865255)|HEAP_ALLOCATE|[68]|Bytes:5
22:40:52.0 (1889126)|HEAP_ALLOCATE|[74]|Bytes:5
22:40:52.0 (1895785)|HEAP_ALLOCATE|[82]|Bytes:7
22:40:52.0 (2080912)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:52.0 (2097928)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x48449812
22:40:52.0 (2187614)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:40:52.0 (2286903)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:40:52.0 (2303679)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:52.0 (2317223)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:52.0 (2321026)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:52.0 (2356170)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
