66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:40:53.0 (448642)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:40:53.0 (524545)|EXECUTION_STARTED
22:40:53.0 (544835)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:40:53.0 (600340)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:53.0 (1258174)|HEAP_ALLOCATE|[95]|Bytes:3
22:40:53.0 (1298951)|HEAP_ALLOCATE|[100]|Bytes:152
22:40:53.0 (1312063)|HEAP_ALLOCATE|[417]|Bytes:408
22:40:53.0 (1322921)|HEAP_ALLOCATE|[430]|Bytes:408
22:40:53.0 (1342236)|HEAP_ALLOCATE|[317]|Bytes:6
22:40:53.0 (1358976)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:53.0 (1365098)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:53.0 (1431455)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x3caa0cec
22:40:53.0 (1456975)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:53.0 (1460094)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:53.0 (1467210)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x3caa0cec
22:40:53.0 (1473455)|STATEMENT_EXECUTE|[12]
22:40:53.0 (1474438)|STATEMENT_EXECUTE|[13]
22:40:53.0 (1577793)|HEAP_ALLOCATE|[13]|Bytes:4
22:40:53.0 (1631551)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:40:53.0 (1664726)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:40:53.0 (1682475)|HEAP_ALLOCATE|[68]|Bytes:5
22:40:53.0 (1704598)|HEAP_ALLOCATE|[74]|Bytes:5
22:40:53.0 (1710610)|HEAP_ALLOCATE|[82]|Bytes:7
22:40:53.0 (1874957)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:53.0 (1891056)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x3caa0cec
22:40:53.0 (1984725)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:40:53.0 (2082694)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:40:53.0 (2099064)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:53.0 (2111207)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:53.0 (2115212)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:53.0 (2147764)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
