66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:40:58.0 (718927)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:40:58.0 (857901)|EXECUTION_STARTED
22:40:58.0 (917530)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:40:58.0 (1006323)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:58.0 (2270467)|HEAP_ALLOCATE|[95]|Bytes:3
22:40:58.0 (2321625)|HEAP_ALLOCATE|[100]|Bytes:152
22:40:58.0 (2339097)|HEAP_ALLOCATE|[417]|Bytes:408
22:40:58.0 (2356349)|HEAP_ALLOCATE|[430]|Bytes:408
22:40:58.0 (2385888)|HEAP_ALLOCATE|[317]|Bytes:6
22:40:58.0 (2407047)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:58.0 (2413549)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:58.0 (2496146)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x1e82c555
22:40:58.0 (2539459)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:40:58.0 (2545785)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:40:58.0 (2559295)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x1e82c555
22:40:58.0 (2567200)|STATEMENT_EXECUTE|[12]
22:40:58.0 (2568638)|STATEMENT_EXECUTE|[13]
22:40:58.0 (2717534)|HEAP_ALLOCATE|[13]|Bytes:4
22:40:58.0 (2785119)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:40:58.0 (2813053)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:40:58.0 (2838173)|HEAP_ALLOCATE|[68]|Bytes:5
22:40:58.0 (2861794)|HEAP_ALLOCATE|[74]|Bytes:5
22:40:58.0 (2869193)|HEAP_ALLOCATE|[82]|Bytes:7
22:40:58.0 (3072891)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:58.0 (3098028)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x1e82c555
22:40:58.0 (3238685)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:40:58.0 (3350732)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:40:58.0 (3366721)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:40:58.0 (3380003)|HEAP_ALLOCATE|[16]|Bytes:5
22:40:58.0 (3384457)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:40:58.0 (3419454)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:40:58.0 (3602502)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (17981 more) ...","ReplayId":"28144771","EventUuid":"3d5382af-dcd9-4d4e-9 (16 more) ...","CreatedDate":"2026-02-22T06:40:57.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5jvEAA"}|0x7a404bb4
22:40:58.0 (3610342)|STATEMENT_EXECUTE|[16]
22:40:58.0 (3611776)|STATEMENT_EXECUTE|[17]
22:40:58.0 (3649645)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:40:58.0 (3673102)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:40:58.0 (3692965)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
22:40:58.0 (3700755)|VARIABLE_ASSIGNMENT|[17]|log|"{\"attributes\":{\"type (17981 more) ..."
22:40:58.0 (3702892)|STATEMENT_EXECUTE|[18]
22:40:58.0 (3705485)|HEAP_ALLOCATE|[18]|Bytes:40
22:40:58.0 (3810519)|HEAP_ALLOCATE|[18]|Bytes:33
22:40:58.0 (3824499)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
22:40:58.0 (3827077)|STATEMENT_EXECUTE|[1]
22:40:58.0 (3834746)|SYSTEM_METHOD_EXIT|[1]|Type
22:40:58.0 (3838464)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:58.0 (3854178)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:58.0 (3857755)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
22:40:58.0 (3887068)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x6e37e61a
22:40:58.0 (3891181)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
22:40:58.0 (4025310)|VARIABLE_ASSIGNMENT|[4]|apextype|"Service_Log__c"|0xa9bcd8f
22:40:58.0 (6514725)|HEAP_ALLOCATE|[18]|Bytes:8
22:40:58.0 (6589892)|HEAP_ALLOCATE|[18]|Bytes:24
22:40:58.0 (6602666)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
22:40:58.0 (6607313)|STATEMENT_EXECUTE|[1]
22:40:58.0 (6614923)|SYSTEM_METHOD_EXIT|[1]|JSON
22:40:58.0 (6629995)|METHOD_ENTRY|[18]||System.JSON.deserializeStrict(String, System.Type)
22:40:58.0 (7717627)|METHOD_EXIT|[18]||System.JSON.deserializeStrict(String, System.Type)
22:40:58.0 (7736741)|VARIABLE_SCOPE_BEGIN|[18]|newLog|Service_Log__c|true|false
22:40:58.0 (7837525)|VARIABLE_ASSIGNMENT|[18]|newLog|{"Service_Name__c":"Google Maps - Get Ad (5 more) ...","Method__c":"GET","Direction__c":"Outbound","Service_Start__c":"2026-02-22T06:40:57.714Z","Category__c":"Google Maps","RequestBody__c":"","ResponseBody__c":"{\n   \"plus_code\" : \n (15881 more) ...","attributes":{"type":"Service_Log__c"},"Service_End__c":"2026-02-22T06:40:57.774Z","RequestURI__c":"callout:GoogleMaps/g (95 more) ...","ResponseStatusCode__c":200.0,"ResponseHeaders__c":"(Alt-Svc, Server, Ac (143 more) ..."}|0x4e67bb9
22:40:58.0 (7843889)|STATEMENT_EXECUTE|[19]
22:40:58.0 (7891144)|HEAP_ALLOCATE|[19]|Bytes:4
22:40:58.0 (8060301)|HEAP_ALLOCATE|[19]|Bytes:-4
22:40:58.0 (8107430)|VARIABLE_ASSIGNMENT|[19]|this.OwnerId|"00536000006CafHAAS"|0x4e67bb9
22:40:58.0 (8112538)|STATEMENT_EXECUTE|[20]
22:40:58.0 (8159613)|SYSTEM_METHOD_ENTRY|[20]|List<Service_Log__c>.add(Object)
22:40:58.0 (8185237)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:40:58.0 (8192504)|SYSTEM_METHOD_EXIT|[20]|List<Service_Log__c>.add(Object)
